SOA Code,SOA Name,2015 Default Urban/Rural,Urban,mixed urban/rural,Rural,20 minutes   (Yes / No),30 minutes  (Yes / No),BELFAST,DERRY,ANTRIM,ARMAGH,BALLYMENA,BALLYMONEY,BANBRIDGE,BANGOR,CARRICKFERGUS,COLERAINE,COOKSTOWN,CRAIGAVON,DOWNPATRICK,DUNGANNON,ENNISKILLEN,HOLYWOOD,LARNE,LIMAVADY,LISBURN,LURGAN,NEWRY,NEWTOWNARDS,OMAGH,PORTADOWN,STRABANE
95GG16S3,Chichester Park_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG17S1,Cliftonville_1,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG17S2,Cliftonville_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG17S3,Cliftonville_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG18S1,Clonard_1,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG18S2,Clonard_2,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG19S1,Crumlin_1,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG19S2,Crumlin_2,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG20S1,Duncairn_1,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG20S2,Duncairn_2,Urban,8,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG21S1,Falls_1,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,20-30min,>30min
95GG21S2,Falls_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,20-30min,>30min
95GG21S3,Falls_3,Urban,2,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,0-20min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,20-30min,>30min
95GG22S1,Falls Park_1,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,20-30min,>30min
95GG22S2,Falls Park_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,20-30min,>30min
95GG22S3,Falls Park_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG23S1,Finaghy_1,Urban,4,1,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG23S2,Finaghy_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG23S3,Finaghy_3,Urban,5,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG24S1,Fortwilliam_1,Urban,3,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG24S2,Fortwilliam_2,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG24S3,Fortwilliam_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG25S1,Glen Road_1,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG25S2,Glen Road_2,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG25S3,Glen Road_3,Urban,5,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG26S1,Glencairn_1,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG26S2,Glencairn_2,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG27S1,Glencolin_1,Mixed urban/rural,3,1,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG27S2,Glencolin_2,Urban,3,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG27S3,Glencolin_3,Urban,3,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG27S4,Glencolin_4,Urban,5,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG28S1,Highfield_1,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG28S2,Highfield_2,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG28S3,Highfield_3,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG29S1,Island_1,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,0-20min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG29S2,Island_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,0-20min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG30S1,Knock_1,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG30S2,Knock_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG30S3,Knock_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG31S1,Ladybrook_1,Urban,5,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG31S2,Ladybrook_2,Urban,6,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG31S3,Ladybrook_3,Urban,6,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG32S1,Legoniel_1,Urban,4,2,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG32S2,Legoniel_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG32S3,Legoniel_3,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG33S1,Malone_1,Urban,3,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,20-30min,>30min
95GG33S2,Malone_2,Urban,3,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,20-30min,>30min
95GG33S3,Malone_3,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG34S1,Musgrave_1,Urban,3,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG34S2,Musgrave_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG34S3,Musgrave_3,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG35S1,New Lodge_1,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,0-20min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,20-30min,>30min
95GG35S2,New Lodge_2,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,0-20min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG35S3,New Lodge_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG36S1,Orangefield_1,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG36S2,Orangefield_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG36S3,Orangefield_3,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG37S1,Ravenhill_1,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG37S2,Ravenhill_2,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG37S3,Ravenhill_3,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG38S1,Rosetta_1,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG38S2,Rosetta_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG38S3,Rosetta_3,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG39S1,Shaftesbury_1,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,0-20min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG39S2,Shaftesbury_2,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG39S3,Shaftesbury_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG40S1,Shankill_1,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG40S2,Shankill_2,Urban,8,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,0-20min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,20-30min,>30min
95GG41S1,Stormont_1,Urban,4,2,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG41S2,Stormont_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG41S3,Stormont_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG42S1,Stranmillis_1,Urban,5,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG42S2,Stranmillis_2,Urban,2,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG42S3,Stranmillis_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG42S4,Stranmillis_4,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG43S1,Sydenham_1,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,0-20min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG43S2,Sydenham_2,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,>30min,0-20min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG43S3,Sydenham_3,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,>30min,0-20min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG44S1,The Mount_1,Urban,8,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,0-20min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG44S2,The Mount_2,Urban,8,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG45S1,Upper Malone_1,Urban,5,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG45S2,Upper Malone_2,Urban,6,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG45S3,Upper Malone_3,Urban,6,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG46S1,Upper Springfield_1,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG46S2,Upper Springfield_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95GG46S3,Upper Springfield_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG47S1,Water Works_1,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,>30min
95GG47S2,Water Works_2,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG47S3,Water Works_3,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG48S1,Whiterock_1,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG48S2,Whiterock_2,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG48S3,Whiterock_3,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG49S1,Windsor_1,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG49S2,Windsor_2,Urban,7,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG49S3,Windsor_3,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG49S4,Windsor_4,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,20-30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,>30min
95GG50S1,Woodstock_1,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
95GG50S2,Woodstock_2,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,>30min
