LAD19CD,Proportion,Extent,Score
N09000001,0.11931818181818182,0.11429982592746818,0
N09000002,0.139186295503212,0.11362705104903298,0
N09000003,0.40168243953732913,0.39742826965131134,0
N09000004,0.19883040935672514,0.17890387331442933,0
N09000005,0.45121951219512196,0.39578759998739677,0
N09000006,0.17490494296577946,0.08133390968064784,0
N09000007,0.02318840579710145,0.032405758157619556,0
N09000008,0.12466124661246612,0.11339602695599466,0
N09000009,0.034013605442176874,0.021324009157281477,0
N09000010,0.23376623376623376,0.21005956386831756,0
N09000011,0.05668934240362812,0.06732328780477945,0
