MSOA11CD,Proportion,Extent,Score
E02000250,0,0,0
E02000251,0,0,0
E02000252,0.2,0,0
E02000253,0.5,0.12349146876048281,0
E02000254,0,0,0
E02000255,0.16666666666666666,0.10689950267105405,0
E02000256,0,0,0
E02000257,0,0,0
E02000258,0,0,0
E02000259,0,0,0
E02000260,0.2,0,0
E02000261,0,0,0
E02000262,0.2,0,0
E02000263,0.16666666666666666,0,0
E02000264,0,0,0
E02000265,0.5,0.2490547503705398,0
E02000266,0.8571428571428571,0.022135860258020314,0
E02000267,0,0,0
E02000268,0,0,0
E02000269,0,0,0
E02000270,0.6,0.12985877696152423,0
E02000271,0,0,0
E02000272,0,0,0
E02000274,0,0,0
E02000275,0.25,0,0
E02000276,0,0,0
E02000277,0,0,0
E02000278,0.6,0,0
E02000279,0.3333333333333333,0,0
E02000280,0.2,0.15924965817623876,0
E02000281,0.4,0.23850906683257322,0
E02000282,1,0,0
E02000283,0.4,0,0
E02000284,0,0,0
E02000285,0,0,0
E02000286,0,0,0
E02000287,0,0,0
E02000288,0.5,0,0
E02000289,0,0,0
E02000290,1,0,0
E02000291,0.2,0.0739557368574602,0
E02000292,0,0,0
E02000293,0,0,0
E02000294,0.2,0,0
E02000295,0,0,0
E02000296,0,0,0
E02000297,0,0,0
E02000298,0,0,0
E02000299,0.6,0,0
E02000300,0.4,0,0
E02000301,0.8333333333333334,0.046494766760120244,0
E02000302,0,0,0
E02000303,0.8,0,0
E02000304,0,0,0
E02000305,0,0,0
E02000306,1,0,0
E02000307,0,0,0
E02000308,0.2,0.05747379539095358,0
E02000309,0.8333333333333334,0,0
E02000311,0.3333333333333333,0,0
E02000312,0,0,0
E02000313,0.25,0,0
E02000314,0.14285714285714285,0,0
E02000315,0.8,0.04072715470924175,0
E02000316,0.25,0.051888843663789645,0
E02000317,0.6,0,0
E02000318,0.2,0,0
E02000319,0.16666666666666666,0.009836766088368504,0
E02000320,0.25,0.0956580742442737,0
E02000321,0.5,0,0
E02000323,0.5,0,0
E02000324,0.25,0,0
E02000326,0.25,0.09053309147886476,0
E02000327,0.25,0,0
E02000328,0,0,0
E02000329,0,0,0
E02000331,0.25,0.11940050089355382,0
E02000332,0,0,0
E02000333,0,0,0
E02000334,0.25,0,0
E02000335,0,0,0
E02000337,0.2,0,0
E02000339,0,0,0
E02000340,0,0,0
E02000341,1,0,0
E02000342,0,0,0
E02000343,0.25,0.04955404706097225,0
E02000344,0,0,0
E02000345,0,0,0
E02000346,1,0,0
E02000347,0.2,0,0
E02000348,0.6,0,0
E02000350,0,0,0
E02000351,0.3333333333333333,0,0
E02000352,0,0,0
E02000353,0,0,0
E02000354,0.8333333333333334,0,0
E02000355,0,0,0
E02000356,0,0,0
E02000357,1,0,0
E02000358,0.16666666666666666,0.0350547343682355,0
E02000359,0,0,0
E02000360,0.6666666666666666,0,0
E02000361,0.5,0,0
E02000362,1,0.0949198443251749,0
E02000363,1,0,0
E02000364,0,0,0
E02000365,0.375,0,0
E02000366,0.4,0.08972764832071553,0
E02000367,0.5,0.08041504889272359,0
