MSOA11CD,Proportion,Extent,Score
S02001431,0,0.06409516943042537,0
S02001432,0,0.008554873892297194,0
S02001433,0,0,0
S02001434,0,0,0
S02001435,0,0,0
S02001436,0,0,0
S02001437,0,0,0
S02001438,0,0,0
S02001439,0,0,0
S02001440,0,0,0
S02001441,0,0.10113248046707303,0
S02001442,0,0.1801783219109721,0
S02001443,0,0.02450331125827814,0
S02001444,0,0.10577000454279965,0
S02001445,0,0,0
S02001446,0,0.025456399936596753,0
S02001447,0,0.10175376306913207,0
S02001448,0.3333333333333333,0.347029173176944,0
S02001449,0,0.3636970662163977,0
S02001450,0.6666666666666666,0.8490071189791317,0
S02001451,0.6666666666666666,0.6898150870658957,0
S02001452,0.14285714285714285,0.5859525255363309,0
S02001453,0,0,0
S02001454,0,0.11503654631236707,0
S02001455,0.3333333333333333,0.7973428081294227,0
S02001456,0,0,0
S02001457,0.5,0.861188258376669,0
S02001458,0,0,0
S02001459,0,0.08182565789473684,0
S02001460,0,0.05104954468282142,0
S02001461,0,0,0
S02001462,0.6666666666666666,0.7099346636515855,0
S02001463,0.2222222222222222,0.313876455156583,0
S02001464,0.7142857142857143,0.8103677749614829,0
S02001465,0.25,0.4723319714812145,0
S02001466,0.2,0.5940047729618163,0
S02001467,0,0.05668066404125235,0
S02001468,0.2,0.17959848073792728,0
S02001469,0,0.6117214749768769,0
S02001470,0,0.13084271532360933,0
S02001471,0.3333333333333333,0.5066453715621788,0
S02001472,0.6,0.8121248981204771,0
S02001473,0.7142857142857143,0.664756446991404,0
S02001474,0.25,0.6883976608187135,0
S02001475,0,0,0
S02001476,0.4,0.5621368088992197,0
S02001477,0.16666666666666666,0.41948597420368444,0
S02001478,0.14285714285714285,0.279203797696375,0
S02001479,0,0.30143571932117125,0
S02001480,0,0.14114014953220846,0
S02001481,0.25,0.4614595558364178,0
S02001482,0.5,0.5410226641263792,0
S02001483,0.14285714285714285,0.3920308936460893,0
S02001484,0,0.2742724377453806,0
S02001485,0.5,0.6506009458931747,0
S02001486,0,0,0
S02001487,0,0,0
S02001488,0,0.12623258592366604,0
S02001489,0,0,0
S02001490,0.25,0.5267612216478129,0
S02001491,0.16666666666666666,0.27988421052631574,0
S02001492,0,0.31803776759839203,0
S02001493,0.6666666666666666,0.9725330443944256,0
S02001494,0,0.2543398077544025,0
S02001495,0.25,0.5657237311694654,0
S02001496,0,0.033305433837165395,0
S02001497,0,0.34239179610918413,0
S02001498,0,0.11207193748563547,0
S02001499,0,0,0
S02001500,0.3333333333333333,0.6627498443875786,0
S02001501,0.7142857142857143,0.7709381670187234,0
S02001502,0,0.2808693157758137,0
S02001503,0,0,0
S02001504,0,0.01728949076868756,0
S02001505,0,0,0
S02001506,0,0,0
S02001507,0,0,0
S02001508,0,0,0
S02001509,0,0.06244564586263401,0
S02001510,0,0,0
S02001511,0,0,0
S02001512,0,0,0
S02001513,0,0,0
S02001514,0,0,0
S02001515,0,0,0
S02001516,0,0,0
S02001517,0,0,0
S02001518,0,0,0
S02001519,0,0,0
S02001520,0,0,0
S02001521,0,0.16824147953422067,0
S02001522,0,0,0
S02001523,0,0,0
S02001524,0,0,0
S02001525,0,0,0
S02001526,0,0.02599739708411446,0
S02001527,0,0.10987621337607976,0
S02001528,0.4,0.6742751150209819,0
S02001529,0,0.04182618571511774,0
S02001530,0,0,0
S02001531,0,0.0804070331582293,0
S02001532,0,0,0
S02001533,0.2,0.20608714224690303,0
S02001534,0,0.15326716893654013,0
S02001535,0,0.04050878720527917,0
S02001536,0,0,0
S02001537,0,0.15056904852058203,0
S02001538,0,0.22599377960457623,0
S02001539,0,0.2974308652988403,0
S02001540,0,0.34522358667583175,0
S02001541,0,0.07720588235294115,0
S02001542,0,0,0
S02001543,0.125,0.23978552650852264,0
S02001544,0,0.1365961183882835,0
S02001545,0,0,0
S02001546,0,0,0
S02001547,0,0,0
S02001548,0,0,0
S02001549,0,0.08336326476647969,0
S02001550,0,0,0
S02001551,0,0,0
S02001552,0,0,0
S02001553,0,0,0
S02001554,0,0,0
S02001555,0,0,0
S02001556,0,0.06310553125890178,0
S02001557,0,0,0
S02001558,0.3333333333333333,0.5502278108785037,0
S02001559,0,0,0
S02001560,0,0.2546485748248565,0
S02001561,0,0,0
S02001562,0,0,0
S02001563,0,0,0
S02001564,0,0,0
S02001565,0,0,0
S02001566,0,0,0
S02001567,0,0,0
S02001568,0,0,0
S02001569,0,0,0
S02001570,0,0,0
S02001571,0,0,0
S02001572,0,0,0
S02001573,0,0,0
S02001574,0,0,0
S02001575,0,0.03183506210782428,0
S02001576,0,0,0
S02001577,0,0,0
S02001578,0,0,0
S02001579,0,0,0
S02001580,0,0,0
S02001581,0,0,0
S02001582,0.4,0.5954177052916458,0
S02001583,0.2,0.6431764309386058,0
S02001584,1,1,0
S02001585,0,0,0
S02001586,0,0.38548779816766165,0
S02001587,0,0.31087633747223276,0
S02001588,0,0.058134380414482115,0
S02001589,0,0,0
S02001590,0,0.04425470305988918,0
S02001591,0,0.06909736842105262,0
S02001592,0,0,0
S02001593,0,0,0
S02001594,0,0,0
S02001595,0,0,0
S02001596,0,0.20949102661796778,0
S02001597,0.25,0.336682765582629,0
S02001598,0,0,0
S02001599,0,0,0
S02001600,0,0,0
S02001601,0,0,0
S02001602,0,0.6163706269545265,0
S02001603,0.2,0.4117570619931421,0
S02001604,0,0.32419954083144065,0
S02001605,0.25,0.5037620013308406,0
S02001606,0,0,0
S02001607,0,0,0
S02001608,0,0.12881825252787138,0
S02001609,0,0,0
S02001610,0,0.12772785622593066,0
S02001611,0,0,0
S02001612,0,0,0
S02001613,0,0,0
S02001614,0,0,0
S02001615,0,0,0
S02001616,0,0,0
S02001617,0,0,0
S02001618,0,0,0
S02001619,0,0.01020163620128164,0
S02001620,0,0,0
S02001621,0,0,0
S02001622,0,0.14200848211124312,0
S02001623,0,0.036842978671371415,0
S02001624,0,0,0
S02001625,0,0,0
S02001626,0,0,0
S02001627,0.2,0.56584609827295,0
S02001628,0.8333333333333334,0.992396798652064,0
S02001629,0.4,0.7906897335056011,0
S02001630,0,0,0
S02001631,0,0,0
S02001632,0,0,0
S02001633,0,0,0
S02001634,0,0,0
S02001635,0,0.1738136203879354,0
S02001636,0,0,0
S02001637,0.2,0.28650596829854935,0
S02001638,0.5,0.7891452593362235,0
S02001639,0,0,0
S02001640,0,0,0
S02001641,0,0.29547239157277355,0
S02001642,0,0,0
S02001643,0.14285714285714285,0.24242802619799272,0
S02001644,0,0.012907132988890773,0
S02001645,0,0,0
S02001646,0,0,0
S02001647,0,0,0
S02001648,0,0,0
S02001649,0,0.014584408879710874,0
S02001650,0,0,0
S02001651,0,0,0
S02001652,0,0,0
S02001653,0,0,0
S02001654,0,0,0
S02001655,0,0,0
S02001656,0,0,0
S02001657,0,0,0
S02001658,0,0,0
S02001659,0,0,0
S02001660,0,0,0
S02001661,0,0,0
S02001662,0,0,0
S02001663,0,0,0
S02001664,0,0,0
S02001665,0,0.20326074948075476,0
S02001666,0,0.470102061236742,0
S02001667,0,0,0
S02001668,0.5,0.8665053604628937,0
S02001669,0.25,0.3775245592349229,0
S02001670,0,0.2103500141781016,0
S02001671,0.3333333333333333,0.5801074185380214,0
S02001672,0,0,0
S02001673,0,0,0
S02001674,0,0,0
S02001675,0,0.12981051282915806,0
S02001676,0,0,0
S02001677,0,0,0
S02001678,0,0,0
S02001679,0,0,0
S02001680,0,0,0
S02001681,0,0,0
