WD20CD,Proportion,Extent,Score,Income_Proportion,Income_Extent,Income_Score,Employment_Proportion,Employment_Extent,Employment_Score,Education_Proportion,Education_Extent,Education_Score,Health_Proportion,Health_Extent,Health_Score,Crime_Proportion,Crime_Extent,Crime_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Housing_and_Access_Score,Environment_Proportion,Environment_Extent,Environment_Score
E05000026,0,0.42054500550679164,31.345440519974638,0,0.39468611287254274,0.1902289156626506,0,0.0530325735073257,0.09313056436271401,0,0,16.34814299302473,0,0.006116043119847804,0.00512923272035511,0.14285714285714285,0.5030390815338918,0.673542041851617,1,1,50.15187032339886,0.14285714285714285,0.43986132897239927,34.97465979708307
E05000027,0,0.6186806530392477,35.44456202046035,0,0.5922965982731764,0.21468761417610524,0,0.3059703286348864,0.1368929484837413,0,0.06631083783627864,26.591469857508223,0,0.1329392054304559,0.3712950310559006,0.16666666666666666,0.31573298655846777,0.6110301424917793,1,1,46.127954055535255,0,0.03254980481895274,26.566574716843256
E05000028,0,0.6126757576071099,35.38270663783501,0,0.5352558465162316,0.20810163160998624,0,0.19465683079331902,0.12496343620994693,0,0.057161357295341726,25.757357053928313,0,0.09513293258702091,0.3634509534106546,0.125,0.5497387561689756,0.7894521328877531,1,1,44.812883231767245,0.125,0.38799175055783747,33.118914291330846
E05000029,0,0.45136877119268753,32.151825805322126,0,0.44295826883384926,0.19104919467787113,0,0.2953797637476043,0.12192638305322129,0,0.24437080753353968,27.00002643557423,0.16666666666666666,0.15134803921568626,0.1791833858543417,0.16666666666666666,0.4681245853604599,0.6060516456582633,0.8333333333333334,0.969563154209052,43.29089907212885,0,0.12509006892230576,24.245278098739494
E05000030,0,0.19917263375981387,25.581972116712706,0,0.2120697332073277,0.1541841332872928,0,0.1135381833381797,0.10069414709944752,0,0.10683201875545215,23.84629316298343,0,0.05402188136086072,0.10141902624309392,0,0,0.17976363950276245,0.5714285714285714,0.7641622292090723,38.91658839779006,0,0,21.748123273480665
E05000031,0,0.4645808024427881,33.18593613537118,0,0.34401369143382465,0.18556542420461636,0,0.13783859211347144,0.11401598565190268,0,0.17723142463144753,28.52392248908297,0,0.02997525199461535,0.16683975358702435,0.2857142857142857,0.37653351446301336,0.5891246101060512,1,1,46.86675904553961,0.14285714285714285,0.40146784811373404,32.9559481441048
E05000032,0.14285714285714285,0.6771400270645179,36.60001047795599,0.2857142857142857,0.58758298583567,0.22496913032965263,0,0.18242418329211435,0.1257887482872572,0,0.031732935142725016,24.712562343838155,0,0.08431615429320456,0.23970089465624245,0,0.24975714049369407,0.5064777947932618,1,1,52.761572741194485,0,0.44383497431416047,32.49843273958249
E05000033,0,0.48792324271709653,33.212020805812415,0,0.4582671382882569,0.19781522457067371,0,0.10464219912396575,0.11988086195508588,0,0.06957388931377317,27.36119567371202,0,0.06999343843426264,0.2603777245706737,0.14285714285714285,0.22360773134950981,0.5145125495376486,1,1,45.94398670739761,0,0.14291546443718273,28.80175800858653
E05000034,0.16666666666666666,0.5868296798158418,35.82044814446653,0.16666666666666666,0.4946821265390115,0.2077357521537442,0,0.3422186181158662,0.13565175612988734,0,0.2374319870252171,30.505073144466536,0,0.22354687663492723,0.41062475149105365,0.16666666666666666,0.2127624603257647,0.4546694831013917,1,1,47.127021040424125,0,0.19547190540964732,26.50775795228628
E05000035,0,0,21.26667493177388,0,0,0.12265029239766082,0,0,0.07348350877192983,0,0,15.850235477582848,0,0,-0.26128397660818714,0,0.2240771519441879,0.2465212475633528,0.6666666666666666,0.9257125269313635,40.72720771929825,0,0.041864778906330134,24.275567407407408
E05000036,0,0.7451705016706557,38.19107843313822,0,0.6681866868883147,0.22231931562359294,0,0.3161477760136495,0.1375202161188654,0,0.45010426787364627,34.73905411976587,0,0.1317317945922889,0.3947393966681675,0.5,0.536189246190668,0.7496064835659614,1,1,46.25930895992796,0,0.2542785374060997,29.74057622692481
E05000037,0,0.44655848635775097,32.504395941820796,0,0.39813535454725874,0.19277123361465257,0,0.205305922824659,0.12892808403663136,0,0.18264263639886205,29.07325543185491,0,0.007236487699766555,0.15686281199497215,0,0.016539868255663396,0.20661258753815767,1,1,44.73283650565631,0,0.2943035223180954,31.016971898006823
E05000038,0,0.4578317907933806,32.92745677994061,0,0.34095117991283047,0.18688460903992082,0,0.1456636684088975,0.11526484658528538,0,0.172977478337877,27.66132538766084,0,0.0864095139696817,0.11358198614318708,0.2857142857142857,0.4818339873934258,0.6636542395249093,1,1,45.44323490597163,0,0.34826941777075476,32.35570018145826
