WD17CD,Proportion,Extent,Score
W05000327,0,0,0
W05000328,0,0,0
W05000329,0,0,0
W05000330,0,0,0
W05000331,0,0,0
W05000332,0,0,0
W05000333,0,0,0
W05000334,0,0,0
W05000335,0,0.3263230523410642,0
W05000336,0,0.5236842105263158,0
W05000337,0,0,0
W05000338,0,0,0
W05000339,0,0.7605263157894736,0
W05000340,0,0,0
W05000341,0,0,0
W05000342,0,0,0
W05000343,0,0,0
W05000344,0,0,0
W05000345,0,0.08165960567052302,0
W05000346,0,0,0
W05000347,0,0,0
W05000349,0,0,0
W05000350,0,0,0
W05000351,0,0.7605263157894736,0
W05000352,0,0.022796242774566444,0
W05000353,0,0,0
W05000354,0,0,0
W05000355,0,0,0
W05000356,0.5,0.4492641363284276,0
W05000357,0,0,0
W05000358,0,0,0
W05000359,0,0,0
W05000360,0,0.5710526315789473,0
W05000361,1,1,0
W05000362,0,0,0
W05000363,0,0,0
W05000364,0,0,0
W05000365,0,0.0627692686443807,0
W05000366,0,0,0
W05000367,0,0,0
W05000368,0,0,0
W05000369,0,0,0
W05000370,0,0,0
W05000371,0,0,0
W05000372,0,0,0
W05000373,0,0,0
W05000374,0,0,0
W05000376,0,0,0
W05000377,0,0,0
W05000378,0,0,0
W05000379,0,0,0
W05000380,0,0,0
W05000381,0,0,0
W05000382,0,0,0
W05000383,0,0,0
W05000384,0,0,0
W05000385,0,0,0
W05000386,0,0,0
W05000387,0,0,0
W05000388,0,0,0
W05000389,0,0,0
W05000390,0,0,0
W05000391,0,0,0
W05000392,0,0,0
W05000393,0,0,0
W05000394,0,0,0
W05000395,0,0,0
W05000396,0,0,0
W05000400,0,0,0
W05000402,0,0,0
W05000406,0,0,0
W05000407,0,0,0
W05000408,0,0,0
W05000409,0,0.4289473684210525,0
W05000410,0.5,0.5579505300353357,0
W05000413,0,0,0
W05000414,0,0,0
W05000415,0,0,0
W05000417,0,0,0
W05000418,0,0,0
W05000419,0,0,0
W05000421,0,0,0
W05000422,0,0,0
W05000423,0,0,0
W05000425,0,0.09736842105263155,0
W05000426,0,0,0
W05000427,0,0.713157894736842,0
W05000428,0,0,0
W05000429,0,0.3692434210526315,0
W05000430,0,0,0
W05000431,0,0.713157894736842,0
W05000432,0,0,0
W05000433,0,0,0
W05000434,0,0,0
W05000435,0,0,0
W05000436,0,0,0
W05000437,1,1,0
W05000438,0.5,0.5405797101449276,0
W05000439,0,0,0
W05000440,0,0.3510471245378019,0
W05000441,1,1,0
W05000442,0,0.47631578947368414,0
W05000443,0,0,0
W05000444,0,0,0
W05000447,0,0,0
W05000448,0,0,0
W05000449,0,0,0
W05000450,0,0,0
W05000451,0,0,0
W05000452,0,0,0
W05000454,0,0,0
W05000455,0,0,0
W05000456,0,0,0
W05000457,0,0,0
W05000458,0,0.44445509257484567,0
W05000459,0,0,0
W05000460,0.25,0.26970461629805553,0
W05000461,0,0.12805032562146818,0
W05000463,0,0.12903326413956007,0
W05000464,0,0.22970458761316753,0
W05000465,0,0,0
W05000466,0,0,0
W05000467,0,0,0
W05000468,0,0,0
W05000469,0,0,0
W05000470,0,0.07991705454111464,0
W05000471,0,0.15354183861342133,0
W05000472,0,0.5710526315789473,0
W05000473,0,0,0
W05000474,0,0.12272222345648835,0
W05000475,0.25,0.7369298787425637,0
W05000476,0,0,0
W05000477,0,0,0
W05000478,0,0,0
W05000479,0,0,0
W05000480,0,0.28709015224952955,0
W05000481,0,0,0
W05000482,0,0,0
W05000483,0,0,0
W05000484,0,0,0
W05000485,0,0,0
W05000486,0,0.1156099085627436,0
W05000487,0,0,0
W05000488,0,0,0
W05000489,0,0,0
W05000490,0,0,0
W05000491,0,0.050988788539395806,0
W05000493,0,0,0
W05000494,0,0.12766936533828172,0
W05000495,0,0,0
W05000496,0,0,0
W05000497,0,0,0
W05000498,0,0.2531236745710429,0
W05000499,0.3333333333333333,0.6159285313639338,0
W05000500,0,0,0
W05000501,0,0.222066918920287,0
W05000502,0,0,0
W05000503,0,0.12212203816313691,0
W05000504,0,0,0
W05000505,0,0,0
W05000506,0,0,0
W05000507,0,0,0
W05000508,0,0,0
W05000509,0,0,0
W05000510,0,0,0
W05000511,0,0.3600963676797627,0
W05000512,0,0,0
W05000513,0.6666666666666666,0.8225951741961135,0
W05000514,0,0,0
W05000524,0,0,0
W05000525,0,0,0
W05000526,0,0,0
W05000527,0,0,0
W05000532,0,0,0
W05000533,0,0,0
W05000534,0,0,0
W05000537,0,0,0
W05000538,0,0,0
W05000544,0,0.09665365177826409,0
W05000545,0,0.3101164640743333,0
W05000546,0,0.06293571674114816,0
W05000548,0,0,0
W05000550,0,0.07452581430524212,0
W05000551,0.75,0.7638698630136986,0
W05000552,0,0,0
W05000553,0,0,0
W05000555,0,0.09736842105263156,0
W05000557,0.5,0.9140786804740044,0
W05000559,0,0,0
W05000560,0,0.11446073616344898,0
