dz11_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Housing_decile,Crime_decile
S01001375,4751,4992,4741,4583,4082,6123,1189,5300,8,8,8,8,7,2,10,9
S01001376,969,1394,682,732,2273,1843,6239,9,2,3,2,2,4,10,3,1
S01001377,1474,1036,1121,1822,2325,3879,4206,3373,3,2,2,3,4,7,6,6
S01001378,4750,3893,4561,3484,4262,5676,5668,3266,8,6,8,6,7,9,9,6
S01001379,2076,2346,2091,1588,2314,3819,1557,3222,4,4,4,3,4,3,6,5
S01001380,1572,1200,1747,1638,1316,3212,3484,3621,3,2,3,3,3,6,5,6
S01001381,3021,3062,3176,1884,3488,4786,3388,1439,5,5,5,3,6,6,8,3
S01001382,43,136,46,119,23,1525,5591,54,1,1,1,1,1,9,3,1
S01001383,1858,2348,2933,1418,1457,2865,1829,294,3,4,5,3,3,3,5,1
S01001384,841,847,1060,835,824,4627,1920,956,2,2,2,2,2,3,8,2
S01001385,1464,1350,1775,611,2151,1983,3873,2057,3,3,3,1,4,6,4,4
S01001386,315,465,281,203,807,3255,4826,68,1,1,1,1,2,8,6,1
S01001387,2691,2940,2814,1980,3021,4444,2121,1743,5,5,5,4,5,4,7,3
S01001388,70,54,110,78,359,1496,4093,302,1,1,1,1,1,7,3,1
S01001389,2409,2414,2827,2195,2209,4780,1596,2864,4,4,5,4,4,3,8,5
S01001390,3435,3690,3030,3203,4078,4318,1709,3092,6,6,5,5,7,3,7,5
S01001391,1510,935,1657,3000,2051,2280,1766,2223,3,2,3,5,4,3,4,4
S01001392,145,66,313,210,129,1793,5254,1635,1,1,1,1,1,9,3,3
S01001393,4887,4338,4781,3872,4780,5927,3065,3715,8,7,8,6,8,5,10,6
S01001394,201,188,508,188,182,1425,6229,86,1,1,1,1,1,10,3,1
S01001395,1998,1816,2701,2173,2473,3548,1020,1270,4,3,5,4,4,2,6,2
S01001396,2304,1865,2434,3130,1759,4652,3204,2778,4,3,4,5,3,5,8,5
S01001397,52,81,98,84,99,2305,4323,156,1,1,1,1,1,7,4,1
S01001398,5299,5218,5216,5446,4732,5589,1439,6237,9,9,9,9,8,3,9,10
S01001399,110,127,280,68,187,1434,2022,361,1,1,1,1,1,4,3,1
S01001400,781,621,1213,696,606,1632,2437,2408,2,1,2,2,1,4,3,4
S01001401,1263,1360,1430,895,1114,2053,1887,4156,2,3,3,2,2,3,4,7
S01001402,5597,5438,5945,5332,4953,5987,1400,6363,9,9,10,9,8,3,10,10
S01001403,5349,5715,5695,5319,5342,6170,756,5944,9,9,9,9,9,2,10,10
S01001404,5748,6228,6323,6195,4814,6500,841,5984,9,10,10,10,8,2,10,10
S01001405,5859,6124,5996,5547,5462,6412,1313,5789,10,10,10,9,9,3,10,9
S01001406,4129,4535,4804,2844,3441,5264,1186,5288,7,7,8,5,6,2,9,9
S01001407,3637,3010,3714,2945,4452,5177,2389,3642,6,5,6,5,7,4,8,6
S01001408,1784,1686,1889,1083,2350,4169,2707,3026,3,3,3,2,4,5,7,5
S01001409,2874,3086,3006,2493,1848,4703,2112,5131,5,5,5,4,3,4,8,8
S01001410,4785,4213,4367,3158,5431,5265,3458,5139,8,7,7,5,9,6,9,8
S01001411,4430,4851,5211,4829,4966,4685,299,5846,7,8,9,8,8,1,8,9
S01001412,1023,540,1151,2199,1158,3044,2383,2661,2,1,2,4,2,4,5,5
S01001413,6446,6096,6116,5761,5833,6482,4458,6187,10,10,10,9,9,7,10,10
S01001414,2003,1650,2482,1926,1348,3562,3440,3295,4,3,4,3,3,6,6,6
S01001415,2005,1136,2030,2083,3783,2353,6429,1334,4,2,4,4,6,10,4,3
S01001416,2852,2034,2539,2345,3747,2661,4754,5745,5,4,4,4,6,8,5,9
S01001417,5023,4377,4535,4822,4485,4656,3094,6019,8,7,7,8,7,5,8,10
S01001418,5830,5076,5351,5263,5317,5882,3867,5474,9,8,9,9,9,6,10,9
S01001419,3633,3605,3061,2964,2882,4619,4958,3641,6,6,5,5,5,8,8,6
S01001420,5191,5929,5856,5522,5369,5036,430,5437,8,10,10,9,9,1,8,9
S01001421,3947,3647,3906,3666,4422,4463,1642,3833,7,6,7,6,7,3,7,6
S01001422,4820,5845,5137,5927,5621,4868,230,5282,8,9,8,10,9,1,8,9
S01001423,4667,4215,3636,4205,5058,3581,4584,3472,8,7,6,7,8,8,6,6
S01001424,1252,985,1125,1157,2693,1246,3665,1115,2,2,2,2,5,6,2,2
S01001425,3014,2852,2775,2354,3375,1305,3962,3341,5,5,5,4,6,7,3,6
S01001426,3237,3503,3214,1283,4155,2721,3869,3872,5,6,5,2,7,6,5,6
S01001427,5422,5430,5083,4964,4835,3848,2823,3877,9,9,8,8,8,5,6,6
S01001428,2257,2196,2508,2575,1355,1353,3095,3700,4,4,4,4,3,5,3,6
S01001429,2041,1675,1966,1268,3193,1853,5421,2524,4,3,4,2,5,9,3,4
S01001430,5209,4848,4770,5072,5647,6199,4013,1249,9,8,8,8,9,7,10,2
S01001431,5699,5257,5199,5709,5544,4925,2859,4627,9,9,8,9,9,5,8,8
S01001432,5494,5896,4609,5870,4482,4993,2557,4504,9,10,8,10,7,4,8,7
S01001433,5702,5042,5060,5443,5207,4358,4354,4618,9,8,8,9,9,7,7,8
S01001434,5281,4345,5705,3340,5362,5694,3692,5162,9,7,9,6,9,6,9,8
S01001435,5467,4663,5275,4836,5245,4482,3192,5809,9,8,9,8,9,5,7,9
S01001436,5922,6105,6092,5861,5891,5847,1292,5004,10,10,10,10,10,2,9,8
S01001437,5719,6016,5093,4763,4851,5239,4132,3175,9,10,8,8,8,7,9,5
S01001438,6436,6404,6384,6287,6355,5967,2417,6416,10,10,10,10,10,4,10,10
S01001439,5432,5770,5334,4973,4671,3915,1812,5256,9,9,9,8,8,3,7,9
S01001440,4741,4933,4239,5147,5368,2397,1336,4091,8,8,7,8,9,3,4,7
S01001441,5548,5251,5217,4614,5720,4872,3469,2987,9,9,9,8,9,6,8,5
S01001442,5678,4728,5239,5450,5492,4855,3685,5578,9,8,9,9,9,6,8,9
S01001443,5616,5064,5196,5662,5159,3324,3947,3331,9,8,8,9,8,7,6,6
S01001444,4407,4474,4135,4189,3803,3198,1888,5652,7,7,7,7,6,3,5,9
S01001445,5117,5082,4672,5269,5919,5738,1482,3613,8,8,8,9,10,3,9,6
S01001446,5567,5213,5500,4716,6129,6149,2052,4495,9,9,9,8,10,4,10,7
S01001447,5767,5726,5958,4993,5540,6257,1741,5232,9,9,10,8,9,3,10,9
S01001448,5091,5117,4481,4795,5164,2739,2186,5372,8,8,7,8,8,4,5,9
S01001449,5954,5773,5827,6190,5879,6129,1840,4521,10,9,9,10,10,3,10,7
S01001450,5776,5493,5293,4737,6242,6101,2539,5671,9,9,9,8,10,4,10,9
S01001451,5441,4738,4942,5529,6286,5929,2215,4817,9,8,8,9,10,4,10,8
S01001452,5683,5739,5110,5566,6085,5919,1977,4358,9,9,8,9,10,4,10,7
S01001453,6086,6057,5890,6146,6280,5989,1527,6366,10,10,10,10,10,3,10,10
S01001454,5831,5441,5672,5066,5629,4208,3264,3928,9,9,9,8,9,6,7,7
S01001455,4903,5179,4313,4325,4357,4477,2300,4751,8,8,7,7,7,4,7,8
S01001456,6411,6115,6078,5420,6166,5877,4475,5188,10,10,10,9,10,7,10,8
S01001457,6312,6019,6149,5746,6163,6262,2965,5210,10,10,10,9,10,5,10,9
S01001458,5592,5420,4712,5091,5857,5721,2815,5038,9,9,8,8,10,5,9,8
S01001459,6143,6132,5218,5686,6044,6175,4072,3398,10,10,9,9,10,7,10,6
S01001460,5868,5710,5492,6124,5616,6044,1913,5400,10,9,9,10,9,3,10,9
S01001461,5785,5096,4790,6202,5970,6233,3024,5964,9,8,8,10,10,5,10,10
S01001462,6486,6274,6329,5853,6108,6011,5498,4733,10,10,10,9,10,9,10,8
S01001463,4721,5309,5692,4281,5892,5440,1146,530,8,9,9,7,10,2,9,1
S01001464,5815,5920,5460,4723,5700,5853,2440,5057,9,10,9,8,9,4,9,8
S01001465,5867,6114,5559,5651,6296,5461,2241,2448,10,10,9,9,10,4,9,4
S01001466,6037,5931,5669,5387,6055,5550,2243,6207,10,10,9,9,10,4,9,10
S01001467,6051,5973,5971,5689,6262,5983,1599,6451,10,10,10,9,10,3,10,10
S01001468,5881,5998,5786,5140,5794,6334,2304,3394,10,10,9,8,9,4,10,6
S01001469,6236,5510,5745,5769,6349,5099,3735,5471,10,9,9,9,10,6,8,9
S01001470,6402,6345,6127,6175,6470,6215,3252,4006,10,10,10,10,10,5,10,7
S01001471,6454,6361,6278,5519,6323,6424,4503,4146,10,10,10,9,10,7,10,7
S01001472,4841,4952,4139,4764,5636,5727,1476,4391,8,8,7,8,9,3,9,7
S01001473,5698,4633,4925,4799,6274,5410,5624,4161,9,8,8,8,10,9,9,7
S01001474,3765,3618,3240,3229,3851,5093,2448,5228,6,6,5,5,6,4,8,9
S01001475,6375,5476,5602,6220,6419,6046,4785,6316,10,9,9,10,10,8,10,10
S01001476,6180,6204,6081,6031,6299,5914,1769,5207,10,10,10,10,10,3,10,9
S01001477,5001,4510,4673,5430,5545,5395,1338,6306,8,7,8,9,9,3,9,10
S01001478,6278,5932,5952,5384,6434,6456,2974,5916,10,10,10,9,10,5,10,10
S01001479,4097,3249,2991,4543,5320,4974,4750,3039,7,5,5,7,9,8,8,5
S01001480,5953,6472,5808,6134,6179,5885,2145,1643,10,10,9,10,10,4,10,3
S01001481,6008,5821,5592,6166,6185,5937,1781,6370,10,9,9,10,10,3,10,10
S01001482,2189,2071,1984,2462,2090,1675,3070,3408,4,4,4,4,4,5,3,6
S01001483,6155,6411,6236,6060,6421,6446,1280,5410,10,10,10,10,10,2,10,9
S01001484,6293,6089,6287,6409,6300,6100,1997,5631,10,10,10,10,10,4,10,9
S01001485,5450,6248,5166,5881,5676,5528,828,5318,9,10,8,10,9,2,9,9
S01001486,6239,5483,6300,5691,6327,5544,2785,5796,10,9,10,9,10,5,9,9
S01001487,2490,2750,2009,2758,2205,1579,3739,2725,4,5,4,5,4,6,3,5
S01001488,5525,5317,5613,5717,5166,2687,1723,5533,9,9,9,9,8,3,5,9
S01001489,6117,5859,6257,6168,6239,5479,1688,5330,10,10,10,10,10,3,9,9
S01001490,2350,2310,2112,2437,3139,1877,3791,1098,4,4,4,4,5,6,3,2
S01001491,6058,6189,5636,6025,6443,6140,1672,5413,10,10,9,10,10,3,10,9
S01001492,2030,2206,1756,2216,2768,1542,1412,3490,4,4,3,4,5,3,3,6
S01001493,5607,5435,5042,4637,6009,5496,3822,2502,9,9,8,8,10,6,9,4
S01001494,1916,1870,1646,1206,3108,1673,4882,1859,3,3,3,2,5,8,3,3
S01001495,6032,6224,6388,6385,6438,6144,870,6072,10,10,10,10,10,2,10,10
S01001496,5887,6132,6289,5391,6276,5661,1086,5222,10,10,10,9,10,2,9,9
S01001497,1755,1656,1714,1724,2234,1958,4504,758,3,3,3,3,4,7,4,2
S01001498,5911,5707,5981,5966,5844,5159,1665,5198,10,9,10,10,9,3,8,8
S01001499,4764,4733,4465,3974,4981,4752,2319,3041,8,8,7,7,8,4,8,5
S01001500,1344,1192,1759,768,2056,2102,3083,927,3,2,3,2,4,5,4,2
S01001501,6081,6281,5748,5320,6374,6285,1950,5406,10,10,9,9,10,3,10,9
S01001502,4929,5131,4659,4439,5185,5749,1870,2681,8,8,8,7,8,3,9,5
S01001503,5532,5255,5279,4874,5770,5387,2506,3815,9,9,9,8,9,4,9,6
S01001504,2212,2111,2104,2147,2184,3534,4119,1534,4,4,4,4,4,7,6,3
S01001505,5816,6123,5015,3612,5735,6125,3836,6189,9,10,8,6,9,6,10,10
S01001506,3105,2828,2321,3384,5624,3333,5886,400,5,5,4,6,9,10,6,1
S01001507,5989,6414,6172,6453,6041,5944,917,5662,10,10,10,10,10,2,10,9
S01001508,6025,6354,6214,6118,5937,5473,1469,3710,10,10,10,10,10,3,9,6
S01001509,1444,1770,1535,859,1823,2902,2842,728,3,3,3,2,3,5,5,2
S01001510,2669,2555,2243,2447,4194,3532,6131,383,5,4,4,4,7,10,6,1
S01001511,6250,6211,6074,5515,6344,6365,2118,6256,10,10,10,9,10,4,10,10
S01001512,183,161,160,305,714,987,3387,562,1,1,1,1,2,6,2,1
S01001513,152,177,109,195,733,805,3897,460,1,1,1,1,2,6,2,1
S01001514,3300,3806,2977,3154,4301,3267,1267,2597,6,6,5,5,7,2,6,4
S01001515,6158,5390,5343,5875,6426,5609,4063,5184,10,9,9,10,10,7,9,8
S01001516,2410,2748,2146,1845,3221,2505,2604,1985,4,5,4,3,5,5,4,4
S01001517,1542,1197,880,1970,3404,2749,5723,2011,3,2,2,4,6,9,5,4
S01001518,2473,2152,2696,2456,2681,1353,2559,3232,4,4,5,4,5,4,3,5
S01001519,6326,6130,6063,5909,6320,5520,3067,4684,10,10,10,10,10,5,9,8
S01001520,2126,2225,2430,1922,2687,3128,1753,958,4,4,4,3,5,3,5,2
S01001521,4821,4774,5591,4287,6043,5268,676,3980,8,8,9,7,10,2,9,7
S01001522,1611,1677,1774,1163,2258,1930,1929,1683,3,3,3,2,4,3,3,3
S01001523,6161,6194,6379,6309,6415,6323,1153,6369,10,10,10,10,10,2,10,10
S01001524,2148,2578,2366,1849,2131,2095,1405,2276,4,4,4,3,4,3,4,4
S01001525,2816,3457,2718,3055,2774,2074,867,4204,5,6,5,5,5,2,4,7
S01001526,5125,4999,4128,6051,5542,4693,2101,3892,8,8,7,10,9,4,8,6
S01001527,3379,3548,2812,3492,3432,1375,3337,2772,6,6,5,6,6,6,3,5
S01001528,4753,4979,4450,4976,5755,5985,698,5748,8,8,7,8,9,2,10,9
S01001529,5095,4162,4538,4688,5502,4566,3730,4518,8,7,7,8,9,6,8,7
S01001530,2729,2465,3243,1460,3064,1273,3599,3908,5,4,5,3,5,6,2,7
S01001531,2449,2910,1943,1181,4957,3865,4081,1209,4,5,3,2,8,7,6,2
S01001532,5928,5539,5900,5111,6429,6326,2403,3978,10,9,10,8,10,4,10,7
S01001533,6136,6383,6320,5951,6401,6244,1239,5537,10,10,10,10,10,2,10,9
S01001534,5615,5679,5397,6052,5526,5748,1447,4537,9,9,9,10,9,3,9,7
S01001535,4745,4418,4802,4507,4760,4631,1326,6029,8,7,8,7,8,3,8,10
S01001536,1643,2022,1724,1750,1693,1984,1001,2274,3,4,3,3,3,2,4,4
S01001537,1629,1720,2532,1936,1243,2263,610,2012,3,3,4,3,2,1,4,4
S01001538,5217,5422,5061,5251,5949,5033,997,4998,9,9,8,9,10,2,8,8
S01001539,4711,5326,4875,3268,5552,6154,791,5783,8,9,8,6,9,2,10,9
S01001540,6013,6299,6275,6484,6075,6224,968,5515,10,10,10,10,10,2,10,9
S01001541,4693,4492,4734,4340,4818,5299,1285,5168,8,7,8,7,8,2,9,8
S01001542,4853,4930,4445,5133,5299,5441,972,6330,8,8,7,8,9,2,9,10
S01001543,4094,3714,3873,4228,4287,4672,1830,4239,7,6,6,7,7,3,8,7
S01001544,2752,3007,3094,1946,2819,3265,1470,3751,5,5,5,3,5,3,6,6
S01001545,5385,4963,5030,6138,5195,5600,1687,5633,9,8,8,10,8,3,9,9
S01001546,722,679,694,438,1795,1539,5697,318,2,2,2,1,3,9,3,1
S01001547,1986,2004,1761,2298,1833,3558,3296,1783,4,4,3,4,3,6,6,3
S01001548,5083,5083,5440,5700,4976,3904,980,4328,8,8,9,9,8,2,7,7
S01001549,3995,4478,4190,4610,2944,2070,1096,4529,7,7,7,8,5,2,4,7
S01001550,4646,5145,4973,5654,5316,4409,300,6216,8,8,8,9,9,1,7,10
S01001551,3935,4486,4433,4900,4592,5173,213,5429,7,7,7,8,8,1,8,9
S01001552,3382,3689,3917,4087,3264,2398,620,3918,6,6,7,7,6,1,4,7
S01001553,4564,5491,4952,6110,5667,5071,126,6380,8,9,8,10,9,1,8,10
S01001554,5401,5411,5058,5296,6152,5201,1281,5659,9,9,8,9,10,2,8,9
S01001555,1701,1702,2256,1693,1827,2424,949,2148,3,3,4,3,3,2,4,4
S01001556,3977,3468,2974,4745,3992,4278,4300,3212,7,6,5,8,7,7,7,5
S01001557,4858,4270,5144,5414,6322,5295,717,5531,8,7,8,9,10,2,9,9
S01001558,3303,2994,3250,3723,2958,3552,2030,4664,6,5,5,6,5,4,6,8
S01001559,2577,2973,2750,3565,1497,3082,1044,5018,4,5,5,6,3,2,5,8
S01001560,3781,4153,4731,3841,2495,1103,1634,2346,6,7,8,6,4,3,2,4
S01001561,3067,3446,3799,3020,2545,2137,915,3091,5,6,6,5,4,2,4,5
S01001562,4014,3978,4368,3747,3129,1505,1989,4546,7,7,7,6,5,4,3,7
S01001563,5308,5025,5501,5301,5532,6028,1299,4728,9,8,9,9,9,2,10,8
S01001564,3404,3182,3114,4091,3787,4282,1320,5243,6,5,5,7,6,3,7,9
S01001565,2456,2765,2072,2295,3512,2315,2176,1906,4,5,4,4,6,4,4,3
S01001566,4618,3852,4884,3651,4853,5751,2257,4580,8,6,8,6,8,4,9,8
S01001567,5535,5402,4944,5167,4505,3035,3630,5271,9,9,8,8,7,6,5,9
S01001568,5704,5341,5550,5779,4518,3842,3895,3227,9,9,9,9,7,6,6,5
S01001569,5431,5487,5356,4972,4900,4612,1916,5062,9,9,9,8,8,3,8,8
S01001570,5961,6165,5723,5239,5790,5999,1861,5760,10,10,9,9,9,3,10,9
S01001571,1494,1846,1773,1981,600,3063,2242,1524,3,3,3,4,1,4,5,3
S01001572,4461,4160,3730,4562,4639,3987,2649,3989,7,7,6,8,8,5,7,7
S01001573,4703,5303,4604,5887,5939,3912,348,5561,8,9,8,10,10,1,7,9
S01001574,1346,1512,1690,627,1597,2432,1731,3082,3,3,3,1,3,3,4,5
S01001575,2914,2787,3198,2179,3568,2705,2527,1713,5,5,5,4,6,4,5,3
S01001576,1898,1978,1009,2556,2802,4185,3417,3767,3,4,2,4,5,6,7,6
S01001577,4658,4339,4101,4866,3733,3945,4687,2083,8,7,7,8,6,8,7,4
S01001578,2980,3108,2480,3207,2565,2349,2373,5713,5,5,4,5,4,4,4,9
S01001579,1915,1927,2202,1655,1993,1616,1748,2930,3,3,4,3,4,3,3,5
S01001580,4341,3625,3785,3991,4214,4719,4358,3695,7,6,6,7,7,7,8,6
S01001581,4805,4262,3957,4711,4297,4391,3825,5202,8,7,7,8,7,6,7,8
S01001582,2398,3024,2576,2273,1843,1648,2088,1830,4,5,4,4,3,4,3,3
S01001583,2247,1615,2488,3272,1700,2622,2889,4741,4,3,4,6,3,5,5,8
S01001584,3110,3110,3292,2209,2709,2216,4043,2300,5,5,6,4,5,7,4,4
S01001585,2017,1669,2176,1364,2183,2178,5923,2225,4,3,4,3,4,10,4,4
S01001586,6063,6094,5182,5891,5553,6474,3194,4927,10,10,8,10,9,5,10,8
S01001587,1405,1514,1037,1429,1894,3088,5762,589,3,3,2,3,3,9,5,1
S01001588,1931,1501,2255,3807,1467,1219,1399,4413,3,3,4,6,3,3,2,7
S01001589,1786,2141,1610,1308,2370,1872,3801,830,3,4,3,3,4,6,3,2
S01001590,4285,3724,3887,4193,4106,3403,5499,1563,7,6,6,7,7,9,6,3
S01001591,2202,1913,1896,3589,1504,3610,4731,2230,4,3,3,6,3,8,6,4
S01001592,1025,988,1278,1670,940,2341,1680,490,2,2,2,3,2,3,4,1
S01001593,3150,3278,2951,3827,2656,1815,3803,1042,5,6,5,6,5,6,3,2
S01001594,2032,2062,1967,1989,3182,1032,6273,146,4,4,4,4,5,10,2,1
S01001595,658,247,608,2123,1666,1777,4599,419,2,1,1,4,3,8,3,1
S01001596,3836,3439,3798,3013,3758,5029,2424,5043,6,6,6,5,6,4,8,8
S01001597,3492,3856,3951,2728,3591,2321,5252,218,6,6,7,5,6,9,4,1
S01001598,6358,6164,6147,5840,5510,5357,4513,3757,10,10,10,9,9,7,9,6
S01001599,2853,2742,2568,2369,3377,508,6172,1566,5,5,4,4,6,10,1,3
S01001600,2266,1820,1962,1934,3044,1916,5622,3028,4,3,4,3,5,9,3,5
S01001601,4424,4943,4411,5902,4889,4160,364,6102,7,8,7,10,8,1,7,10
S01001602,4534,4191,3557,3936,5305,5320,3340,4083,7,7,6,7,9,6,9,7
S01001603,2324,1915,2193,1740,3520,4422,5463,1359,4,3,4,3,6,9,7,3
S01001604,1207,653,1929,2292,1278,2510,3248,290,2,2,3,4,2,5,4,1
S01001605,3944,4079,4396,4525,3960,3873,615,4376,7,7,7,7,7,1,6,7
S01001606,1705,1474,1919,3067,1208,2745,2322,1467,3,3,3,5,2,4,5,3
S01001607,4365,4135,4420,4064,4319,4950,2260,2322,7,7,7,7,7,4,8,4
S01001608,5637,5231,4860,6258,5650,4428,2645,4749,9,9,8,10,9,5,7,8
S01001609,2436,2270,2296,5061,2048,2627,1025,5142,4,4,4,8,4,2,5,8
S01001610,3636,3186,3363,3867,5738,2710,4935,316,6,5,6,6,9,8,5,1
S01001611,4689,4821,5100,4953,6048,4276,419,5630,8,8,8,8,10,1,7,9
S01001612,5861,5319,4807,6000,6231,6009,2912,6227,10,9,8,10,10,5,10,10
S01001613,753,1106,592,1358,525,1348,3208,406,2,2,1,3,1,5,3,1
S01001614,2764,2103,2490,2589,4709,2078,6357,882,5,4,4,4,8,10,4,2
S01001615,2217,2181,2205,2754,1690,4012,2566,2426,4,4,4,5,3,4,7,4
S01001616,6369,6492,6319,6465,6326,6381,1778,6345,10,10,10,10,10,3,10,10
S01001617,1907,1703,1706,3491,1220,2456,4385,1762,3,3,3,6,2,7,4,3
S01001618,4264,4194,4591,4663,4640,3284,898,3830,7,7,8,8,8,2,6,6
S01001619,2528,1970,2093,4021,1751,3459,5401,4114,4,4,4,7,3,9,6,7
S01001620,1946,1847,1682,1272,3082,3559,6022,984,3,3,3,2,5,10,6,2
S01001621,2666,2299,2498,2680,1739,2020,5649,5472,5,4,4,5,3,9,4,9
S01001622,1917,1756,1831,2492,1979,1818,3553,1203,3,3,3,4,4,6,3,2
S01001623,2962,3160,2305,2272,3421,2373,2923,5751,5,5,4,4,6,5,4,9
S01001624,2995,2793,2504,2574,2794,3432,4867,3796,5,5,4,4,5,8,6,6
S01001625,1232,1215,760,2340,1050,2082,5630,1744,2,2,2,4,2,9,4,3
S01001626,4497,3741,4206,4918,3638,4634,3663,3593,7,6,7,8,6,6,8,6
S01001627,2738,2650,2869,3264,1190,2571,5558,2727,5,5,5,6,2,9,4,5
S01001628,1465,1633,1653,3914,507,1660,3124,477,3,3,3,7,1,5,3,1
S01001629,3774,3187,3941,2615,3090,4978,5357,3022,6,5,7,5,5,9,8,5
S01001630,691,930,604,943,624,1779,5235,139,2,2,1,2,1,9,3,1
S01001631,3952,3770,3778,3066,3067,3033,5349,2579,7,6,6,5,5,9,5,4
S01001632,5518,5192,4752,6457,4552,6457,2335,6412,9,8,8,10,7,4,10,10
S01001633,6257,6438,5648,6021,6216,6286,2231,6143,10,10,9,10,10,4,10,10
S01001634,5904,5555,5781,5935,4690,5779,2590,5872,10,9,9,10,8,4,9,10
S01001635,4107,4034,3316,4172,3430,3454,3184,5611,7,7,6,7,6,5,6,9
S01001636,5994,6033,5490,5941,4506,5858,2866,6386,10,10,9,10,7,5,10,10
S01001637,4809,4827,4335,3932,5177,5026,2995,2270,8,8,7,7,8,5,8,4
S01001638,2883,2487,2572,2511,2913,2917,5703,2452,5,4,4,4,5,9,5,4
S01001639,2372,2769,1537,2550,2282,4453,5001,2459,4,5,3,4,4,8,7,4
S01001640,6457,6344,6353,6356,5775,6398,3403,5901,10,10,10,10,9,6,10,10
S01001641,4524,4862,4949,4644,4619,4082,636,4881,7,8,8,8,8,1,7,8
S01001642,4416,3948,2950,4456,4804,3756,5623,4475,7,7,5,7,8,9,6,7
S01001643,4201,3837,4229,4028,3252,4673,2879,3718,7,6,7,7,5,5,8,6
S01001644,4275,3654,3862,4292,3920,3721,2797,6129,7,6,6,7,7,5,6,10
S01001645,3768,3222,2794,4612,4978,3253,5672,1059,6,5,5,8,8,9,5,2
S01001646,4402,5587,4809,4051,4799,4081,423,4313,7,9,8,7,8,1,7,7
S01001647,5018,5092,3870,4472,4049,4279,4919,4489,8,8,6,7,7,8,7,7
S01001648,3221,3112,3608,2713,2896,3462,2719,2074,5,5,6,5,5,5,6,4
S01001649,2401,2124,2056,2723,2385,3506,4555,2504,4,4,4,5,4,8,6,4
S01001650,3933,3685,3569,4538,2971,4265,3493,2549,7,6,6,7,5,6,7,4
S01001651,4540,3676,3819,4810,4411,4905,5174,2632,7,6,6,8,7,8,8,5
S01001652,5769,6173,5998,6342,6337,6033,643,6354,9,10,10,10,10,1,10,10
S01001653,2858,2478,2783,2947,2520,2352,5596,1480,5,4,5,5,4,9,4,3
S01001654,5204,5000,5454,6340,5437,3713,790,6172,8,8,9,10,9,2,6,10
S01001655,4925,4859,3890,5729,5880,5407,1464,5328,8,8,6,9,10,3,9,9
S01001656,4539,3652,4658,4591,3975,3420,2880,4515,7,6,8,8,7,5,6,7
S01001657,4572,5031,5359,6295,5291,4534,186,5105,8,8,9,10,9,1,7,8
S01001658,4278,4047,4174,4775,4973,4891,990,4712,7,7,7,8,8,2,8,8
S01001659,6396,6134,5430,5595,6203,6351,4865,6487,10,10,9,9,10,8,10,10
S01001660,6390,6054,6163,6072,6452,6300,3524,4240,10,10,10,10,10,6,10,7
S01001661,4406,4651,4764,3685,4426,3900,1024,5125,7,8,8,6,7,2,6,8
S01001662,3811,3688,3221,3281,2928,4981,4248,4439,6,6,5,6,5,7,8,7
S01001663,6447,6078,6050,5811,6183,6039,5433,3999,10,10,10,9,10,9,10,7
S01001664,6172,5659,5787,6468,6212,5942,2220,6402,10,9,9,10,10,4,10,10
S01001665,5620,4967,6131,4929,6316,5777,1487,5626,9,8,10,8,10,3,9,9
S01001666,4830,3410,4416,5095,6142,5736,2943,4561,8,6,7,8,10,5,9,8
S01001667,6189,5655,5657,5518,6393,5776,3452,5260,10,9,9,9,10,6,9,9
S01001668,5909,5824,6291,6066,6373,5472,1571,2802,10,9,10,10,10,3,9,5
S01001669,3506,2955,2506,3097,5367,1332,6381,3322,6,5,4,5,9,10,3,6
S01001670,6107,5515,6155,6034,6116,4870,2354,5215,10,9,10,10,10,4,8,9
S01001671,5636,5602,5641,6270,6275,5517,888,6240,9,9,9,10,10,2,9,10
S01001672,3493,3085,3466,2186,4656,1711,4082,3218,6,5,6,4,8,7,3,5
S01001673,5433,4864,5462,5762,6282,4126,1418,5233,9,8,9,9,10,3,7,9
S01001674,3460,2641,2905,2695,4728,3138,5348,4563,6,5,5,5,8,9,5,8
S01001675,6120,5504,5191,5531,6135,5154,4349,5934,10,9,8,9,10,7,8,10
S01001676,5133,5567,5783,4167,6081,4682,708,4658,8,9,9,7,10,2,8,8
S01001677,6124,6288,5966,6036,6369,6082,1518,5510,10,10,10,10,10,3,10,9
S01001678,5102,5429,4412,4922,5568,4807,1545,4759,8,9,7,8,9,3,8,8
S01001679,6156,6482,6303,6444,6433,6493,1014,5947,10,10,10,10,10,2,10,10
S01001680,6460,6346,6006,5930,6468,6438,4068,5588,10,10,10,10,10,7,10,9
S01001681,6477,6273,6124,6300,6354,6497,4211,5284,10,10,10,10,10,7,10,9
S01001682,5256,5522,4908,4392,6023,3535,1440,6302,9,9,8,7,10,3,6,10
S01001683,5948,5349,5165,5641,5874,5713,3467,5721,10,9,8,9,10,6,9,9
S01001684,5465,5719,6276,5755,6047,5643,601,4567,9,9,10,9,10,1,9,8
S01001685,3270,3015,2036,3378,4321,2409,5240,4918,6,5,4,6,7,9,4,8
S01001686,6221,5968,5740,5701,6291,6345,2999,4788,10,10,9,9,10,5,10,8
