soa_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Access_rank,Environment_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Environment_decile,Crime_decile
95CC07W1,430,362,480,495,536,99,706,559,5,5,6,6,7,2,8,7
95CC08W1,270,183,267,188,414,654,372,376,4,3,3,3,5,8,5,5
95CC09S1,724,817,723,754,706,129,746,855,9,10,9,9,8,2,9,10
95CC09S2,643,656,551,617,624,191,853,814,8,8,7,7,8,3,10,10
95CC10W1,702,693,672,663,760,187,755,774,8,8,8,8,9,3,9,9
95CC11W1,191,142,222,241,220,305,409,202,3,2,3,3,3,4,5,3
95CC12W1,478,572,474,381,580,100,652,660,6,7,6,5,7,2,8,8
95CC13W1,450,566,555,492,508,40,437,604,6,7,7,6,6,1,5,7
95CC14W1,592,621,468,457,585,256,866,784,7,7,6,6,7,3,10,9
95CC15W1,494,577,447,506,636,67,704,755,6,7,6,6,8,1,8,9
95CC16W1,372,368,314,387,364,226,686,414,5,5,4,5,5,3,8,5
95CC17W1,552,594,578,510,563,142,387,596,7,7,7,6,7,2,5,7
95CC18W1,530,524,452,334,645,513,484,270,6,6,6,4,8,6,6,4
95CC19W1,414,507,376,411,573,118,420,425,5,6,5,5,7,2,5,5
95CC20S1,782,773,714,700,771,340,870,872,9,9,9,8,9,4,10,10
95CC20S2,595,611,467,333,630,438,878,699,7,7,6,4,8,5,10,8
95CC21W1,541,481,464,490,444,480,795,352,7,6,6,6,5,6,9,4
95CC22W1,359,407,296,198,381,609,190,606,5,5,4,3,5,7,3,7
95DD01W1,689,644,624,607,808,393,319,618,8,8,8,7,10,5,4,7
95DD02S1,542,496,616,396,460,272,384,818,7,6,7,5,6,4,5,10
95DD02S2,770,772,763,721,740,274,772,842,9,9,9,9,9,4,9,10
95DD03W1,820,787,811,797,766,383,646,716,10,9,10,9,9,5,8,9
95DD04W1,94,96,121,169,32,567,169,209,2,2,2,2,1,7,2,3
