lad_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Housing_Proportion,Housing_Extent,Access_Proportion,Access_Extent
S12000005,0.09722222222222222,0.2633358352225149,0.1111111111111111,0.24896585176561892,0.09722222222222222,0.28771960459939133,0.2222222222222222,0.3076221840981966,0.06944444444444445,0.18665083838817062,0.1111111111111111,0.2603060984825276,0,0.06883161775218022,0.013888888888888888,0.1497270387843882
S12000006,0.05472636815920398,0.09958657728561629,0.04477611940298507,0.10975036593903137,0.05472636815920398,0.10662206453255264,0.04975124378109453,0.09925578254382428,0.04477611940298507,0.09818557882008527,0.0845771144278607,0.18534092435845761,0,0.03336511876224216,0.2935323383084577,0.36348207782656966
S12000008,0.15337423312883436,0.2951222505489196,0.15950920245398773,0.2992053714320224,0.1411042944785276,0.303852186404048,0.1411042944785276,0.24915330494911977,0.13496932515337423,0.29135681285830756,0.09202453987730061,0.2110709217104724,0.006134969325153374,0.051092015753669874,0.11042944785276074,0.2731342987416907
S12000010,0.015151515151515152,0.08184291618953068,0.015151515151515152,0.09094625278295186,0,0.09895756643452874,0.03787878787878788,0.12183967248403949,0,0.016568945943156513,0.03787878787878788,0.10769146463132337,0.015151515151515152,0.09503187186380367,0.06818181818181818,0.25753414491500015
S12000011,0.01639344262295082,0.0535551796900395,0.01639344262295082,0.06439531257747634,0.02459016393442623,0.07210002919997574,0,0.027653506476334244,0.02459016393442623,0.069538888307338,0.00819672131147541,0.08288123874010367,0,0.04409334075269824,0.02459016393442623,0.09476656547681356
S12000013,0,0.005669910179640714,0,0.014842223447841156,0,0.022276335486920887,0,0,0,0,0.027777777777777776,0.04648696028994642,0,0,0.6944444444444444,0.801208241411913
S12000014,0.06074766355140187,0.16158905561498374,0.06074766355140187,0.14526719792208473,0.08411214953271028,0.1605873087529564,0.102803738317757,0.2114426823164568,0.0514018691588785,0.13932925732193618,0.1261682242990654,0.2179477151764363,0,0.03175649593870934,0.03271028037383177,0.20071758736763592
S12000017,0.041666666666666664,0.09299853596591656,0.038461538461538464,0.0906141689932757,0.035256410256410256,0.09457762839869038,0.05448717948717949,0.10763710255157037,0.02564102564102564,0.06672085378182767,0.09615384615384616,0.150467676314562,0.01282051282051282,0.05256396780017719,0.34294871794871795,0.4866514349096249
S12000018,0.3157894736842105,0.41531514680016235,0.2807017543859649,0.42155066973345956,0.2982456140350877,0.43673531998376397,0.17543859649122806,0.33952996888107156,0.2982456140350877,0.4157212488161277,0.12280701754385964,0.1966482546340143,0.09649122807017543,0.33399560276011364,0.05263157894736842,0.16345355838181572
S12000019,0.02608695652173913,0.1077974259139087,0.017391304347826087,0.10816583558181629,0.02608695652173913,0.0996652321914455,0.08695652173913043,0.2095374671266095,0.008695652173913044,0.07337289524915468,0.09565217391304348,0.20712191331671165,0,0.06061898744264944,0.06956521739130435,0.2822969249860537
