soa11_name,soa11_code,lgd14_name,lgd14_code,Civic Assets score,Civic Assets rank,Connectedness score,Connectedness rank,Engaged Community score,Engaged Community rank,Community Needs Index score,Community Needs Index rank,Left Behind Area?
Woodvale_3,95GG51S3,Belfast,N09000003,-1.43578374385834,859,142.240142822266,6,56.2191886901856,247,121.434898376465,49,TRUE
Blackhead,95HH01W1,Mid and East Antrim,N09000008,1.0024448633194,78,47.9897270202637,345,10.4671382904053,847,75.8927764892578,285,FALSE
Bluefield_1,95HH02S1,Mid and East Antrim,N09000008,-0.204431310296059,550,65.6757431030274,196,19.4449825286865,744,48.9035682678223,584,FALSE
Bluefield_2,95HH02S2,Mid and East Antrim,N09000008,0.686367571353912,188,17.9980068206787,660,61.204891204834,206,74.3935775756836,302,FALSE
Boneybefore,95HH03W1,Mid and East Antrim,N09000008,0.351727843284607,330,86.2901840209961,100,21.5728645324707,708,75.8527908325195,286,FALSE
Burleigh_Hill_1,95HH04S1,Mid and East Antrim,N09000008,0.0629756897687912,434,42.0666885375977,402,29.7690238952637,556,44.9192276000977,625,FALSE
Burleigh_Hill_2,95HH04S2,Mid and East Antrim,N09000008,-0.633966445922852,676,16.3757667541504,686,31.1238479614258,535,23.7492408752441,850,FALSE
Clipperstown,95HH05W1,Mid and East Antrim,N09000008,-0.634765625,677,57.8727035522461,249,50.1599884033203,301,59.296688079834,465,FALSE
Eden_1,95HH06S1,Mid and East Antrim,N09000008,0.389472186565399,316,16.3952236175537,685,51.0274543762207,290,54.5775871276856,514,FALSE
Eden_2,95HH06S2,Mid and East Antrim,N09000008,0.850880980491638,117,31.510383605957,499,45.5235900878906,345,79.4787139892578,248,FALSE
Gortalee,95HH07W1,Mid and East Antrim,N09000008,0.0965420454740524,424,82.5297241210938,115,9.52774429321289,857,62.9911346435547,421,FALSE
Greenisland,95HH08W1,Mid and East Antrim,N09000008,-0.242125421762466,563,21.7336444854736,611,87.4174957275391,66,75.6438827514648,289,FALSE
Killycrot,95HH09W1,Mid and East Antrim,N09000008,-0.89188426733017,772,54.4713439941406,281,4.74652576446533,880,29.4964733123779,815,FALSE
Knockagh,95HH10W1,Mid and East Antrim,N09000008,0.978292942047119,82,28.3186283111572,535,17.4900550842285,770,67.1970062255859,372,FALSE
Love_Lane,95HH11W1,Mid and East Antrim,N09000008,-0.768274307250977,734,51.752067565918,317,24.2911930084229,657,34.5925025939941,756,FALSE
Milebush,95HH12W1,Mid and East Antrim,N09000008,0.0666675046086311,433,63.6183204650879,208,30.6033134460449,543,60.1120986938477,451,FALSE
Northland,95HH13W1,Mid and East Antrim,N09000008,-0.640236973762512,680,52.3542518615723,309,38.1403427124023,431,46.3968925476074,600,FALSE
Sunnylands,95HH14W1,Mid and East Antrim,N09000008,-0.851577401161194,761,145.339813232422,4,8.05780982971191,861,99.0943756103516,121,FALSE
Victoria_(Carrickfergus_LGD),95HH15W1,Mid and East Antrim,N09000008,-0.300761014223099,585,106.699905395508,47,41.6125297546387,388,91.5472869873047,158,FALSE
Whitehead,95HH16W1,Mid and East Antrim,N09000008,0.50612598657608,259,43.8415832519531,374,22.2233104705811,701,52.7982864379883,529,FALSE
Woodburn,95HH17W1,Mid and East Antrim,N09000008,0.267342239618301,357,35.3748474121094,459,25.0894012451172,643,43.0318183898926,658,FALSE
Ballyhanwood_1,95II01S1,Lisburn and Castlereagh,N09000007,0.304889261722565,342,20.4417304992676,632,56.3020820617676,245,58.3677749633789,475,FALSE
Ballyhanwood_2,95II01S2,Lisburn and Castlereagh,N09000007,-0.0557674691081047,492,13.2261114120483,729,26.9843807220459,614,26.4361000061035,834,FALSE
Beechill_1,95II02S1,Lisburn and Castlereagh,N09000007,-0.919552445411682,781,3.45330858230591,873,7.02334690093994,870,3.99822616577149,890,FALSE
Beechill_2,95II02S2,Belfast,N09000003,-0.864650309085846,766,15.9644765853882,692,55.3715515136719,251,37.622974395752,717,FALSE
Beechill_3,95II02S3,Belfast,N09000003,-0.115752160549164,514,72.1083297729492,158,61.5394706726074,203,84.1262817382813,214,FALSE
Cairnshill_1,95II03S1,Lisburn and Castlereagh,N09000007,1.12618243694305,56,46.4892425537109,357,71.0558242797852,141,121.537666320801,48,FALSE
Cairnshill_2,95II03S2,Lisburn and Castlereagh,N09000007,0.497234165668488,264,56.0806312561035,262,61.5433654785156,202,88.0723571777344,183,FALSE
Carrowreagh_1,95II04S1,Lisburn and Castlereagh,N09000007,0.722871065139771,171,13.1571025848389,730,35.1298751831055,475,55.6027030944824,501,FALSE
Carrowreagh_2,95II04S2,Lisburn and Castlereagh,N09000007,0.409240514039993,304,42.2505722045898,396,28.3844242095947,586,52.0233154296875,537,FALSE
Carryduff_East_1,95II05S1,Lisburn and Castlereagh,N09000007,0.0543387532234192,438,9.26528549194336,793,32.2310409545898,516,31.0663223266602,794,FALSE
Carryduff_East_2,95II05S2,Lisburn and Castlereagh,N09000007,0.520704865455627,255,28.7499771118164,528,13.7733345031738,821,41.8134689331055,675,FALSE
Carryduff_West_1,95II06S1,Lisburn and Castlereagh,N09000007,0.260340303182602,362,3.70812487602234,870,16.0434818267822,789,23.6252021789551,852,FALSE
Carryduff_West_2,95II06S2,Lisburn and Castlereagh,N09000007,0.795505404472351,141,43.105827331543,385,19.4376754760742,745,64.0067825317383,405,FALSE
Cregagh,95II07W1,Belfast,N09000003,-0.627771615982056,673,91.27001953125,86,63.8197860717774,185,92.8655853271484,153,FALSE
Downshire,95II08W1,Belfast,N09000003,-0.287230461835861,581,52.8477020263672,301,65.5497512817383,173,70.7195053100586,337,FALSE
Dundonald_1,95II09S1,Lisburn and Castlereagh,N09000007,-0.451867163181305,628,44.9579048156738,369,24.4774570465088,654,34.8399772644043,751,FALSE
Dundonald_2,95II09S2,Lisburn and Castlereagh,N09000007,0.0148822367191315,458,66.2267837524414,191,11.8598909378052,838,50.8893127441406,554,FALSE
Enler,95II10W1,Lisburn and Castlereagh,N09000007,0.193761274218559,393,70.3176574707031,168,31.718391418457,525,67.6921310424805,366,FALSE
Galwally,95II11W1,Lisburn and Castlereagh,N09000007,-0.175058156251907,537,35.1598510742188,461,77.3020401000977,105,73.6026992797852,311,FALSE
