ltla22_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_and_Access_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
E06000001,35.036692631192025,0.3620689655172414,0.4973461161606908,0.2283145581526087,0.3793103448275862,0.5481393623304515,0.18265037081882854,0.43103448275862066,0.5846409765901055,30.254998324288092,0.20689655172413793,0.39235357578143937,0.8685370062055396,0.3620689655172414,0.5722727148581306,0.5661983069904214,0.3275862068965517,0.457207951011174,14.241917511729982,0,0.02893823593340851,6.943125137840818,0,0.0045796438272918535
E06000002,40.460345718182474,0.4883720930232558,0.5720562433648546,0.25120818318857224,0.5,0.5737940753110253,0.18889007967841506,0.4883720930232558,0.581357498800479,38.85043324958725,0.3953488372093023,0.508751685940859,1.1937406503481445,0.5697674418604651,0.6553931028490039,0.700957102864116,0.45348837209302323,0.5716668429742074,14.183107479721484,0,0.018511290608978832,12.928813286914076,0,0.0740769544635402
E06000003,29.791705558511424,0.23863636363636365,0.3636843310946516,0.1861873281901215,0.26136363636363635,0.3741687202176764,0.16270472347846648,0.32954545454545453,0.4594558050931176,27.76755840057935,0.19318181818181818,0.3087029141755693,0.7898540613638378,0.3522727272727273,0.5232604906120049,0.1377338535662558,0.13636363636363635,0.2559456135683716,14.138943779373948,0,0.026704739035671107,7.793080333126423,0.011363636363636364,0.030824247925835692
E06000004,25.789575649216818,0.20833333333333334,0.3026869142404651,0.1639994847485573,0.21666666666666667,0.322268489391244,0.134089865004122,0.20833333333333334,0.35983120091552045,24.78611661685903,0.16666666666666666,0.2910782043216037,0.6840899422918385,0.2833333333333333,0.46127165411984206,-0.11108010098928277,0.1,0.19109767540243847,15.869761989901072,0.016666666666666666,0.06321651136807394,6.007197866859028,0,0.012678141406690675
E06000005,25.657303090624353,0.18461538461538463,0.2890710202079284,0.153240381893998,0.18461538461538463,0.28717927647095626,0.1257816939942263,0.18461538461538463,0.30298262827203293,27.402366129549613,0.2,0.3264532051746756,0.5317907602030226,0.24615384615384617,0.3642695095538049,0.5583928470348497,0.2923076923076923,0.44077346047244187,11.942232249665087,0.03076923076923077,0.05299596020183101,8.80032036453518,0,0.0096089946086371
E06000006,32.32484262028583,0.31645569620253167,0.46830087375257556,0.1848634301091391,0.2911392405063291,0.4256499565345786,0.15914478491781028,0.3670886075949367,0.4934221636683902,29.564988517901813,0.17721518987341772,0.37636820549072314,0.9299807763634498,0.45569620253164556,0.5996693471381561,0.2717674460814874,0.13924050632911392,0.30822260692016024,16.21348690409489,0,0.06603664303238703,19.913647724492776,0.0759493670886076,0.15732609366517958
E06000007,18.942242761520056,0.07874015748031496,0.1837475215748534,0.10891621380760028,0.06299212598425197,0.15537209643795052,0.0950738571968266,0.10236220472440945,0.1986048040533754,18.671124039793476,0.10236220472440945,0.17195865561145024,0.2782436575513644,0.12598425196850394,0.28131356660227474,-0.1374113461780632,0.047244094488188976,0.1825304739865414,17.15239316400763,0,0.049579349626572886,17.00654160975657,0.047244094488188976,0.10692466505253573
E06000008,36.01257638513148,0.3626373626373626,0.5518703475358671,0.21244310680662268,0.32967032967032966,0.5331768214023317,0.16178542636078347,0.32967032967032966,0.5147202790481777,34.512217400714206,0.26373626373626374,0.4750398324970526,1.049154467860621,0.5054945054945055,0.6484255484710586,0.40900398360567036,0.16483516483516483,0.3065392394591608,12.31176997213505,0,0.01587981763194915,32.08276036143275,0.26373626373626374,0.44279982230221154
E06000009,45.038551297784,0.4148936170212766,0.5770745355562248,0.24721326750474454,0.3617021276595745,0.4857985196077621,0.2040773176752615,0.43617021276595747,0.5580547021153718,38.502430708751305,0.2553191489361702,0.4327382637684664,1.6432191392816884,0.6702127659574468,0.8970762591257184,0.8151151881394386,0.3617021276595745,0.4765753012116055,11.80349188082362,0,0,39.53130556070832,0.40425531914893614,0.585749534936641
E06000010,40.563967640425055,0.45180722891566266,0.5510288978245146,0.22718003937404568,0.42168674698795183,0.5187841774426533,0.16877626163588308,0.42771084337349397,0.5152579628214693,41.671666715755045,0.41566265060240964,0.5275567531669142,0.8534287120501631,0.39156626506024095,0.5497078459680153,0.8409711321588292,0.3373493975903614,0.572061917848901,21.10839174462676,0.04216867469879518,0.11998887556749087,34.32374653733171,0.2891566265060241,0.4155409178819439
