lsoa_code,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_score,Income_score,Employment_score,Education_score,Health_score,Crime_score,Housing_score,Access_score,Environment_score
W01000517,6,8,7,7,9,1,3,9,1,1014,1460,1251,1147,1685,144,456,1622,39,16.83934354,6.091473985,9.582716769,2.8446603,11.5397168,78.75109204,56.19574015,32.05128261,3.708538842
W01000518,6,6,6,6,9,5,3,5,2,1045,1060,1094,1061,1617,908,390,940,194,16.25708939,13.31529527,12.60498594,3.778510821,13.29408765,50.20403733,16.79008728,35.45332101,16.0136556
W01000519,6,7,8,7,8,3,1,10,10,1115,1236,1383,1328,1371,503,68,1814,1850,15.25724228,9.854905793,7.316931583,7.513932636,8.234041149,0.724843694,29.90282008,70.04393004,1.1709744499999999
W01000522,5,7,7,8,8,1,1,10,9,790,1167,1182,1341,1347,90,16,1725,1677,20.89342647,11.15021245,10.86235278,7.913070266,8.013946418,2.952577354,65.11328977,89.19554059,2.312542106
W01000523,7,8,8,9,7,3,1,5,9,1214,1361,1348,1717,1249,422,162,945,1659,13.83794657,7.679399034,7.896300505,9.618823065,2.417985431,3.197258154,33.74096752,53.85495425,15.89467131
W01000524,6,6,7,8,8,3,1,4,10,1040,1142,1214,1383,1406,404,134,639,1786,16.38353536,11.63813235,10.26003508,6.94399855,7.316931583,1.524048402,34.68843455,57.6070846,24.62275393
W01000525,10,10,10,10,10,10,6,10,9,1875,1882,1861,1768,1853,1870,993,1769,1708,2.288890256,0.335419762,0.590234209,0.688053817,1.753920527,2.537189876,0.480682156,14.78269055,1.741089402
W01000527,8,8,8,9,7,1,9,9,2,1360,1466,1439,1545,1237,147,1694,1666,209,11.59701198,5.998670573,6.419266879,9.8366593,4.810449112,48.67365012,55.78868904,2.723855803,3.101794962
W01000528,5,5,4,7,4,6,3,10,4,843,868,701,1179,575,1060,403,1767,652,19.99588524,17.79900292,22.56667903,26.9575015,10.91963722,24.17614884,13.31529527,34.74223369,1.766758814
W01000529,5,5,6,9,7,2,1,7,9,858,777,1015,1573,1304,326,75,1295,1545,19.74362976,20.2738744,14.29046167,8.645987445,4.403620208,4.810449112,39.31561017,68.35759902,8.802389596
W01000531,5,5,5,7,6,6,1,9,8,891,818,776,1180,1054,1078,156,1577,1510,19.04156437,19.12575866,20.30260587,13.44295324,10.90052655,5.329318386,12.93651834,54.60905295,4.346084805
W01000532,6,8,8,9,7,2,1,7,10,1111,1405,1367,1628,1262,288,77,1320,1731,15.31356388,6.960087909,7.579976416,9.385139,3.624852494,2.233775639,41.95886887,67.89765871,8.370538414
W01000533,4,4,4,7,6,4,2,9,6,755,665,595,1183,1061,623,247,1691,1021,21.60343139,23.73805083,26.20211722,13.29408765,10.84328963,14.15802576,25.18459994,45.19902741,2.764053509
W01000534,8,8,9,8,9,8,1,8,7,1472,1501,1696,1516,1652,1384,158,1343,1331,9.797253265,5.464655679,2.69709631,3.293119225,5.239533929,8.183062799,7.300590742,54.35492962,7.980271851
W01000535,4,6,6,6,6,1,1,6,7,714,1035,1048,1013,981,173,51,1022,1313,22.57400509,13.85194233,13.57132372,15.05568638,14.33477698,8.490641664,52.53355459,74.74191664,14.13602705
W01000536,4,5,6,8,5,1,1,6,9,685,953,970,1434,938,114,30,1043,1649,23.37705008,15.70556756,15.30881137,16.0614222,6.498006234,3.334325165,60.71959154,82.29556553,13.67884916
W01000537,5,5,6,9,7,1,1,8,10,776,900,1077,1587,1224,113,41,1360,1805,21.14331809,16.98836088,12.95739865,10.0750003,4.202872846,1.2838725,60.88684517,78.03246671,7.696011334
W01000538,6,8,8,7,8,2,1,7,9,1003,1476,1411,1336,1459,253,27,1168,1710,17.03734428,5.844825524,6.863720151,6.106977691,8.098349172,2.510646557,44.69538763,83.60980053,11.13090931
W01000539,5,7,8,7,9,1,1,7,10,767,1262,1371,1200,1594,11,26,1179,1772,21.36668349,9.385139,7.513932636,4.103152421,10.52161038,1.702638921,92.26542343,84.0651139,10.91963722
W01000540,6,6,6,6,8,2,1,9,9,981,1018,1005,1101,1352,332,191,1669,1583,17.430525630000002,14.22414839,14.51289703,7.829343465,12.46142983,4.260050667,38.92468398,50.52272512,3.061003148
W01000541,5,7,7,8,9,1,1,7,10,916,1193,1153,1372,1529,103,64,1262,1880,18.66567851,10.65352213,11.42217133,5.04619503,7.49745128,0.359566539,62.62988789,71.06613527,9.385139
W01000542,4,7,7,7,7,1,1,3,9,689,1162,1225,1188,1274,76,14,438,1716,23.15743494,11.24697189,10.05657844,9.17151787,10.74821017,2.431199901,68.12647919,90.37479296,32.93034005
W01000543,5,7,7,9,8,1,1,5,8,802,1221,1259,1601,1355,88,18,804,1386,20.72767156,10.1303546,9.438855743,7.779253294,4.003862485,7.267943847,65.52032129,88.07381322,19.51138891
W01000544,6,5,7,9,5,1,9,4,5,1076,797,1183,1634,936,167,1698,643,772,15.7468032,19.70665608,10.84328963,16.10928821,3.541469538,20.41789197,53.24489169,2.670367914,24.48441105
W01000545,6,8,8,10,7,5,1,7,9,1055,1392,1365,1758,1166,907,10,1331,1653,16.14180527,7.170280284,7.613069558,11.1695318,1.882627019,3.279400301,16.8147782,92.93182169,8.183062799
W01000546,5,5,5,7,7,2,2,7,7,894,826,865,1227,1283,329,250,1312,1216,19.02684876,18.90826715,17.87648613,9.012594084,10.01977891,10.22290884,39.11931652,44.945829,8.507850584
W01000547,7,6,7,9,10,7,1,10,10,1321,1123,1292,1672,1796,1162,110,1786,1849,12.28018515,12.01599977,8.854760887,1.397327457,3.020283553,0.737120075,11.24697189,61.39602977,1.524048402
W01000548,7,6,7,6,8,9,2,8,8,1266,1131,1190,1085,1381,1699,254,1494,1399,13.19080636,11.8561404,10.71028816,7.349648137,12.79088455,7.056861139,2.657015355,44.61250953,5.57047136
W01000549,9,9,10,9,9,8,1,9,10,1604,1659,1868,1619,1686,1521,182,1668,1781,7.518715167,3.197258154,0.504982001,2.831206201,3.750496479,1.587671658,5.164980357,51.50617166,3.074592382
W01000550,5,6,5,7,4,5,2,4,3,765,968,769,1235,729,788,202,585,560,21.44807196,15.35513489,20.50473737,21.69514609,9.873166772,27.54077956,19.96017471,49.3751797,26.57670838
W01000551,6,6,6,8,6,7,1,10,9,1011,1037,1141,1355,1078,1172,55,1806,1680,16.91825856,13.80854676,11.6578661,12.93651834,7.779253294,2.912049097,11.05385837,73.54709584,1.271300871
W01000552,7,8,9,8,8,5,1,8,10,1270,1502,1538,1395,1498,767,58,1483,1864,13.14243426,5.449578816,4.913290755,5.509945658,7.121603577,0.553658848,20.56281701,72.69002746,5.73774302
W01000553,6,7,8,7,6,8,1,4,10,1079,1181,1386,1185,1125,1417,88,620,1724,15.69690883,10.88143175,7.267943847,11.97593064,10.80521067,2.325696116,6.76775448,65.52032129,25.29149131
W01000554,8,8,7,9,9,8,1,8,10,1450,1523,1285,1585,1604,1471,190,1357,1877,10.1786973,5.135226462,8.97742632,3.961440519,4.231443988,0.395834304,5.921619417,50.62994327,7.745920349
W01000555,8,9,8,9,8,9,1,8,8,1402,1552,1514,1594,1341,1581,118,1396,1342,10.99405457,4.708065268,5.269423155,8.013946418,4.103152421,7.997102971,4.28869297,60.06248054,7.105400874
W01000556,7,7,7,8,8,8,1,9,10,1258,1279,1226,1384,1452,1434,91,1671,1830,13.31835651,9.083091343,10.03817131,6.215797242,7.300590742,0.971625018,6.498006234,64.91244374,3.033848743
W01000557,8,8,9,8,8,6,1,8,10,1392,1468,1633,1376,1407,1054,143,1448,1730,11.1803173,5.9678191289999996,3.555345722,6.927920439,7.431643705,2.246884665,13.44295324,56.33304062,6.278211786
W01000558,7,7,7,8,7,4,1,7,9,1148,1327,1271,1393,1234,608,124,1229,1556,14.74598316,8.251059072,9.224737433,9.891442261,7.154043266,4.649764191,25.72409489,59.11072766,9.983038166
W01000559,5,6,8,7,6,1,1,7,8,880,1075,1340,1240,1131,132,82,1232,1486,19.26642095,12.99921623,8.030802209,11.8561404,9.782006515,5.692002698,57.90005176,66.78650661,9.928036862
W01000560,6,8,7,8,8,1,1,8,9,1017,1444,1298,1361,1419,117,86,1432,1562,16.77876226,6.340796165,8.750137285,6.735854697,7.679399034,4.562588738,60.22500665,65.93468603,6.529577608
W01000561,7,6,8,9,7,3,1,10,9,1180,1128,1352,1535,1156,478,177,1853,1709,14.21766605,11.91595753,7.829343465,11.36362311,4.957506903,2.523914388,31.02059449,52.07126536,0.688053817
W01000562,7,8,9,10,8,4,1,9,9,1218,1365,1566,1770,1486,633,36,1576,1703,13.79575213,7.613069558,4.504654793,5.692002698,1.728265431,2.603682502,24.83184112,79.87296817,4.360455168
W01000563,5,6,6,6,6,3,1,5,10,848,1093,980,1134,1071,392,76,907,1844,19.86330662,12.6255673,15.07858297,13.08308016,11.79647843,0.798600463,35.34248178,68.12647919,16.8147782
W01000564,8,6,7,6,5,10,8,7,10,1397,1022,1250,959,937,1732,1465,1203,1893,11.09903166,14.13602705,9.600762832,16.08534275,15.56475313,0.203063738,2.22067408,6.014111828,10.46530756
W01000565,6,4,5,7,4,8,4,9,6,989,729,838,1260,639,1421,730,1559,1018,17.29939887,21.69514609,18.5858381,24.62275393,9.420936219,14.22414839,6.703999096,21.66462253,4.606135163
W01000566,5,4,4,6,3,7,7,10,5,936,747,688,1092,510,1191,1303,1747,941,18.26592395,21.15182537,22.98282568,29.59933773,12.64616709,15.98980945,10.69135058,8.663313034,2.025041027
W01000567,5,4,5,7,4,4,5,8,6,927,713,827,1193,614,630,922,1500,1128,18.4645505,22.189114,18.88122475,25.50677602,10.65352213,11.91595753,24.93710184,16.44716888,5.479742432
W01000568,3,3,2,3,4,4,6,5,1,424,484,278,539,735,579,982,814,53,31.47760594,30.74733278,42.70808098,21.51260939,28.38304676,74.13674844,26.80442688,15.03281256,19.23528055
W01000569,7,6,8,7,5,10,2,9,6,1311,1118,1509,1296,930,1769,328,1594,1019,12.39020142,12.11647905,5.344316597,16.25348685,8.784958966,14.20208638,1.741089402,39.18456178,4.103152421
W01000570,1,1,1,1,1,7,2,9,3,71,45,160,134,14,1242,299,1541,394,56.86481867,76.6592588,54.1035834,90.37479296,57.6070846,35.23217413,9.74564334,41.1619797,4.869159446
W01000571,6,5,6,5,3,7,6,8,3,960,802,1028,936,509,1265,1052,1498,446,17.85610945,19.56701057,14.00447488,29.64244795,16.10928821,32.53549439,9.331547422,13.48566384,5.509945658
W01000572,7,7,7,5,7,5,6,4,2,1205,1266,1314,887,1186,829,980,710,324,13.93266023,9.313711276,8.473445612,10.7861948,17.3142461,39.44740953,18.82723514,15.07858297,22.28292578
W01000573,8,7,7,7,6,8,7,6,5,1435,1176,1328,1301,1010,1450,1332,1094,776,10.44661919,10.97706468,8.234041149,14.40141045,8.698003413,20.30260587,6.246983343,8.166095094,12.60498594
W01000574,6,8,7,9,6,8,1,5,9,982,1352,1303,1576,1058,1465,4,831,1647,17.41979337,7.829343465,8.663313034,13.35776925,4.360455168,3.361836862,6.014111828,97.39504697,18.77337198
W01000575,6,6,6,5,5,8,2,6,8,1059,1042,1112,910,853,1488,326,1130,1368,16.0638025,13.7004147,12.23763651,18.18905595,16.7407848,7.563447683,5.661559607,39.31561017,11.87606216
W01000576,5,6,6,6,5,5,2,2,9,928,981,1021,1015,879,934,289,334,1628,18.46355094,15.05568638,14.15802576,17.51711036,14.29046167,3.624852494,16.15725404,41.88527265,38.79583799
W01000577,7,8,8,9,8,6,1,5,10,1289,1454,1452,1553,1494,1084,78,955,1803,12.72428858,6.18465337,6.215797242,5.57047136,4.693476138,1.309036392,12.811633,67.6710923,15.65853356
W01000578,7,7,7,9,8,8,1,8,9,1228,1314,1185,1611,1458,1409,70,1427,1645,13.61541426,8.473445612,10.80521067,6.122491855,3.86275916,3.389381506,6.895797894,69.54937406,6.608696165
W01000579,7,7,8,9,5,4,1,10,10,1185,1242,1419,1556,912,595,151,1824,1734,14.18209065,9.74564334,6.735854697,16.69158778,4.649764191,2.19449333,26.20211722,55.25692358,1.046178721
W01000580,9,8,9,8,7,7,3,8,10,1555,1464,1634,1439,1155,1271,536,1428,1884,8.503686389,6.029563456,3.541469538,11.38312263,6.419266879,0.311298309,9.224737433,28.50592862,6.592850666
W01000581,7,8,8,9,7,4,1,10,10,1262,1413,1398,1607,1182,721,97,1795,1756,13.2436952,6.831687083,7.073029671,10.86235278,3.919096654,1.908454971,21.94080396,63.74286188,1.40996818
W01000582,5,7,9,9,8,1,1,10,10,873,1180,1539,1639,1455,95,3,1743,1727,19.39040367,10.90052655,4.898570908,6.169097234,3.472213918,2.286256634,64.12615199,98.23100687,2.077047353
W01000583,7,7,9,8,8,5,1,10,10,1317,1295,1530,1350,1400,796,145,1734,1902,12.31039471,8.802389596,5.031389906,7.040703964,7.862797619,0.095336118,19.73468721,56.05925444,2.19449333
W01000584,6,6,7,8,7,6,1,9,9,1136,972,1213,1458,1152,1124,154,1570,1572,14.90884217,15.26258095,10.27862069,11.44172057,6.122491855,4.418026576,11.99595648,54.86601545,4.44686641
W01000585,7,8,9,9,9,3,1,6,8,1203,1527,1712,1675,1653,437,33,1037,1499,13.94827443,5.075833898,2.484133835,3.279400301,2.979635921,5.494839087,32.9801758,81.05238497,13.80854676
W01000586,3,3,4,4,2,8,3,6,7,549,468,662,650,257,1469,431,1139,1241,26.83650473,31.48337158,23.83841224,44.36565216,24.24429539,9.763817742,5.952408911,33.28147942,11.69738445
W01000587,4,5,4,5,3,6,9,5,1,734,779,640,947,470,964,1564,774,135,22.05454397,20.21651893,24.58809012,31.39006825,15.84724941,57.46198864,15.44806278,4.533603524,20.36017669
W01000588,2,2,1,4,2,8,2,7,2,298,316,177,614,294,1429,318,1173,227,37.23568326,39.982292,52.07126536,41.52078307,25.50677602,46.9622324,6.577016076,39.8474007,11.03463589
W01000589,4,3,4,4,3,7,6,5,5,684,552,576,743,505,1169,1077,768,884,23.3856379,27.85801705,26.91913723,29.81570145,21.271459,17.39011067,11.11162236,12.95739865,20.53375885
W01000590,5,5,4,5,4,9,6,6,7,933,793,715,853,626,1667,1034,970,1250,18.31639549,19.81898618,22.12678471,25.07820305,18.18905595,9.600762832,3.08818965,13.87367086,15.30881137
W01000591,4,5,6,7,2,3,2,5,5,702,835,1010,1211,245,521,351,820,808,22.90952356,18.6660226,14.40141045,45.36938827,10.31583704,19.4005475,29.13038293,37.72884558,19.07119267
W01000592,2,1,2,3,1,7,4,10,5,254,189,327,531,39,1240,655,1728,913,39.16844631,50.73766357,39.24999264,78.75109204,28.71220199,16.66702867,9.782006515,24.07430611,2.273125154
W01000593,5,4,5,6,2,8,5,5,6,794,633,788,1006,362,1526,924,847,1033,20.82509947,24.83184112,19.96017471,37.06391319,14.49055644,13.89541994,5.090667667,16.39859526,18.34694836
W01000594,2,2,2,3,2,4,6,5,2,310,266,195,522,317,735,975,771,375,36.43662791,43.64058975,50.09878185,39.91474746,29.08822102,36.30209176,21.51260939,15.1934091,20.44680402
W01000595,7,6,5,5,6,4,8,9,7,1186,956,925,934,1141,610,1521,1596,1161,14.17691079,15.63505258,16.37434686,11.6578661,16.15725404,11.26637272,25.65142688,5.164980357,4.074740103
W01000596,8,8,9,8,9,8,2,6,10,1523,1521,1575,1432,1645,1482,257,1122,1839,9.036800551,5.164980357,4.374834516,3.389381506,6.529577608,0.860245632,5.753010031,44.36565216,12.03606054
W01000597,8,8,8,9,6,3,3,9,9,1351,1379,1339,1529,1032,569,442,1586,1546,11.72704105,7.382411294,8.047670361,13.9171896,5.04619503,4.795794916,27.18904074,32.73206993,4.21715398
W01000598,6,5,5,6,4,10,10,8,6,1142,904,831,1003,645,1722,1753,1351,1103,14.82024682,16.88901043,18.77337198,24.4155504,14.55764342,12.42057783,2.352026726,1.947251364,7.84606446
W01000599,5,4,5,5,4,5,3,8,7,852,717,882,915,717,886,400,1389,1271,19.79933913,22.06462388,17.44082642,22.06462388,16.61798899,9.224737433,17.33950649,34.90439031,7.219060227
W01000600,1,2,1,3,1,1,6,4,1,148,232,57,490,125,190,1060,647,149,47.98021824,46.50859797,72.97218312,58.95586193,30.47727959,55.52126953,50.62994327,13.31529527,24.3468953
W01000601,1,1,1,2,1,4,2,5,1,62,81,73,217,15,702,306,891,131,59.04377161,67.00448402,68.82692496,89.7776098,47.89725852,58.04794672,22.53497747,40.66887672,17.21348103
W01000602,5,5,4,4,4,6,6,5,2,770,801,679,754,607,993,1093,920,325,21.27073342,19.59487193,23.27540239,25.76051518,20.94395229,39.38141544,14.78269055,12.6255673,16.49584531
W01000603,4,5,4,5,5,5,6,3,3,746,778,613,777,885,802,1001,434,385,21.81861362,20.24517879,25.54285354,17.36479466,20.2738744,35.73277874,19.56701057,14.60247703,33.13033422
W01000604,2,2,3,2,1,5,4,7,5,294,248,385,362,94,946,633,1202,901,37.31730655,45.11431786,35.73277874,64.32021926,37.06391319,16.96348301,15.87094814,24.83184112,10.48405986
W01000605,4,5,5,5,2,3,2,6,6,631,804,771,882,300,424,358,1090,969,24.64563285,19.51138891,20.44680402,41.09088586,17.44082642,15.33196147,33.63806283,37.30348851,12.6874221
W01000606,1,1,1,2,1,5,3,7,1,85,65,100,247,45,812,466,1149,188,54.61439652,70.80629339,63.17964342,76.6592588,45.19902741,50.84589076,19.29023769,31.57705495,11.50046819
W01000607,3,2,3,3,2,8,3,6,4,399,327,456,442,197,1461,515,1067,695,32.74072056,39.24999264,32.05128261,49.889705,32.73206993,22.75781155,6.075980723,29.38499041,13.167251
W01000608,4,4,4,5,2,2,8,3,2,640,709,671,941,374,349,1376,522,291,24.51062833,22.3142816,23.53863231,36.35980586,15.98980945,41.73878295,37.85183516,7.431643705,29.08822102
W01000609,9,8,6,9,7,9,6,5,10,1538,1374,1128,1540,1275,1633,1083,884,1752,8.777447403,7.464523956,11.91595753,9.153805347,4.883860476,1.960198051,3.555345722,12.83240019,17.39011067
W01000610,8,8,8,7,8,9,2,5,8,1400,1507,1428,1197,1397,1611,263,935,1385,11.04122332,5.374342391,6.592850666,7.089209577,10.57805138,7.284261502,3.86275916,43.8797465,16.13325862
W01000611,8,9,8,9,8,8,1,7,9,1443,1591,1417,1555,1505,1499,165,1199,1584,10.32990012,4.145836815,6.76775448,5.404407434,4.664325612,4.24574288,5.494839087,53.48697841,10.54040866
W01000612,7,7,5,8,9,6,2,10,7,1207,1158,891,1362,1640,963,270,1817,1193,13.91688559,11.32467359,17.21348103,3.458387784,7.662798723,10.65352213,15.47135354,43.32553393,1.133464582
W01000613,6,6,7,9,8,2,1,6,9,1031,1090,1312,1658,1431,282,85,1002,1707,16.50033095,12.6874221,8.507850584,6.545379562,3.210928156,2.550473032,42.405461270000004,66.14470187,14.5800493
W01000614,5,8,8,9,3,5,1,6,8,941,1371,1488,1699,516,942,20,1132,1473,18.10949132,7.513932636,5.661559607,29.34235962,2.657015355,5.890871084,15.96598799,87.0042587,11.83623587
W01000615,8,7,7,7,7,9,5,4,8,1452,1271,1302,1299,1244,1654,843,679,1462,10.14907961,9.224737433,8.680651683,9.709337565,8.732746194,6.06049789,3.265689555,18.45281537,23.27540239
W01000616,8,6,7,9,7,5,7,5,6,1430,1087,1335,1531,1276,866,1162,953,972,10.54442906,12.7494437,8.115266954,9.136106453,5.016594307,15.26258095,17.85062938,11.24697189,15.70556756
W01000617,4,6,5,8,4,1,1,10,8,738,1054,866,1520,706,186,57,1798,1506,22.00853593,13.44295324,17.85062938,22.40860635,5.179871751,5.38937,51.06388502,72.97218312,1.372066835
W01000618,7,8,9,9,7,3,1,4,9,1170,1349,1627,1586,1296,418,95,741,1712,14.37626739,7.879542962,3.63877909,8.784958966,4.21715398,2.484133835,33.94816852,64.12615199,21.33150997
W01000619,7,7,7,7,7,8,2,5,6,1284,1253,1308,1325,1185,1510,290,880,1115,12.78034054,9.546667066,8.576815309,10.80521067,8.285132741,12.176978,5.329318386,41.81191117,17.49165426
W01000620,6,5,7,9,5,5,5,5,1,1056,892,1155,1635,844,863,881,906,134,16.11848027,17.1883586,11.38312263,18.4263029,3.527601721,57.6070846,17.928287,17.4662263,16.83949567
W01000621,5,6,6,6,5,5,2,4,2,892,1004,1051,1078,918,774,309,743,295,19.03332112,14.53525934,13.50704892,16.54462497,12.93651834,41.44857321,20.36017669,40.46074074,21.271459
W01000622,8,9,8,10,8,7,1,5,7,1414,1670,1525,1841,1509,1289,119,781,1268,10.75267116,3.047421938,5.105511009,5.344316597,0.835567734,9.278080426,8.9072517,59.90109484,20.15930613
W01000623,7,9,9,9,8,6,1,10,10,1314,1587,1558,1667,1430,1093,37,1753,1750,12.3527222,4.202872846,4.620668979,6.561192379,3.08818965,1.986113308,12.6255673,79.49289669,1.947251364
W01000624,8,8,8,8,9,5,1,6,10,1398,1472,1484,1462,1704,838,169,1136,1784,11.09690069,5.906240112,5.722486137,2.59036859,6.06049789,1.549476589,18.5858381,53.00532654,11.75678959
W01000625,3,3,2,2,4,5,5,5,3,384,451,212,254,648,837,852,860,556,33.253045,32.29211428,48.3794235,24.31264445,44.61250953,27.69885136,18.61253522,18.21529619,18.00620772
W01000626,3,2,2,3,5,7,9,3,1,434,363,275,470,863,1164,1667,534,43,31.19531723,37.00440725,42.93768773,17.928287,31.39006825,77.33561591,11.20821925,3.08818965,28.58821611
W01000627,6,6,5,8,5,6,2,7,8,1026,1024,933,1352,924,1053,229,1190,1441,16.60572363,14.09209267,16.18127453,16.39859526,7.829343465,6.387846459,13.46429863,46.77970357,10.71028816
W01000628,6,7,7,4,5,7,8,2,2,1070,1185,1336,668,843,1317,1383,351,223,15.86215169,10.80521067,8.098349172,18.45281537,23.63812544,47.33169406,8.421934459,7.316931583,37.72884558
W01000629,4,4,4,4,4,2,7,2,3,583,634,604,745,642,200,1186,306,453,25.95352985,24.79686099,25.87012335,24.51891883,21.2115644,32.19547879,49.57961067,10.7861948,40.66887672
W01000630,5,5,4,5,5,2,6,6,3,810,807,692,943,815,325,1112,1131,452,20.56796548,19.42820781,22.85397675,19.20785115,15.94219119,32.24374578,39.38141544,12.23763651,11.8561404
W01000631,1,1,1,1,1,6,2,5,2,84,91,114,164,28,1102,364,812,339,54.77699031,64.91244374,60.71959154,83.16332597,53.60898405,38.47684592,12.44099476,36.94505488,19.29023769
W01000632,5,4,3,7,5,6,8,4,4,896,652,558,1270,891,1027,1454,702,739,18.9879898,24.17614884,27.61967966,17.21348103,9.242504688,21.39171814,14.02634806,6.18465337,22.53497747
W01000633,3,3,2,4,3,6,4,3,2,443,490,297,597,468,997,759,421,370,30.74629056,30.47727959,41.30483007,31.48337158,26.12792556,36.5921215,14.69240728,20.79661341,33.79259304
W01000634,7,5,5,8,7,9,5,6,7,1220,908,798,1387,1253,1674,810,978,1334,13.75429039,16.79008728,19.67865907,9.546667066,7.25163776,8.13219719,2.993177151,19.34532646,15.12444465
W01000635,7,7,7,7,6,6,7,2,6,1273,1272,1202,1165,1014,971,1176,272,1005,13.06595467,9.206983893,10.48405986,14.31260865,11.18886739,14.51289703,15.28568454,10.97706468,43.16960975
W01000636,4,4,4,3,3,7,5,9,6,728,645,664,512,562,1199,866,1537,1110,22.25604691,24.4155504,23.771456,27.4621492,29.51335894,12.27816457,10.54040866,17.85062938,4.928020028
W01000637,4,3,4,3,4,5,4,8,5,614,494,592,573,585,939,637,1461,795,25.11451587,30.29898976,26.31385538,26.57670838,27.03442255,19.76275255,16.0375265,24.69223868,6.075980723
W01000638,2,2,2,3,2,6,3,6,6,369,279,369,464,269,1051,457,1080,1137,33.64681444,42.63205195,36.65056892,43.40389422,31.67112147,11.73697083,13.50704892,32.00341741,12.89481451
W01000639,4,4,4,5,4,5,5,9,2,743,675,635,788,754,869,941,1612,224,21.92074659,23.40664078,24.76193398,20.94395229,19.96017471,47.23877076,17.77323308,15.98980945,3.848696322
W01000640,10,10,9,9,9,10,6,8,5,1792,1835,1703,1718,1716,1749,1086,1497,907,4.00796797,0.909681005,2.603682502,2.431199901,2.404778549,16.8147782,1.999081895,12.77015479,5.525062158
W01000641,3,4,2,4,4,2,4,7,1,418,579,312,672,763,223,653,1224,19,31.78173535,26.80442688,40.25447139,20.67941814,23.50556335,87.53281942,47.33169406,24.14215113,10.0750003
W01000642,8,8,7,5,9,9,5,5,5,1406,1383,1196,879,1602,1677,879,828,847,10.945618,7.316931583,10.59689586,3.989713134,17.51711036,18.34694836,2.952577354,17.51711036,18.8542141
W01000643,6,5,5,4,5,8,5,7,6,971,805,892,659,835,1375,902,1314,975,17.67053373,19.48362844,17.1883586,18.6660226,23.93921351,15.1934091,7.448077955,16.93863201,8.473445612
W01000644,8,8,9,7,8,8,2,10,7,1464,1423,1532,1252,1436,1486,297,1729,1295,9.990331471,6.672187555,5.001808219,6.466478137,9.564684855,8.802389596,5.692002698,41.30483007,2.260001168
W01000645,7,7,6,6,6,3,5,6,7,1256,1237,1123,1077,1092,573,891,1085,1167,13.33247072,9.8366593,12.01599977,12.64616709,12.95739865,11.15021245,27.03442255,17.21348103,12.79088455
W01000646,4,5,5,7,7,1,1,9,6,758,798,901,1204,1172,185,121,1574,1132,21.52739442,19.67865907,16.96348301,11.05385837,10.44657053,11.83623587,51.17366188,59.58168144,4.389222859
W01000647,5,7,7,10,7,1,1,5,9,910,1307,1331,1771,1334,75,39,876,1663,18.78375477,8.59408885,8.183062799,8.13219719,1.715448607,3.14265925,68.35759902,78.75109204,17.59364815
W01000648,5,8,9,8,7,1,1,9,10,943,1399,1577,1504,1271,77,23,1665,1871,18.09384012,7.056861139,4.346084805,9.224737433,5.419454706,0.468541854,67.89765871,85.48776945,3.115408326
W01000649,8,9,9,9,9,6,1,7,10,1440,1585,1557,1676,1700,1070,108,1187,1904,10.39909901,4.231443988,4.635211984,2.643670543,2.966102658,0.071465016,13.10409401,61.74185853,10.76719464
W01000650,5,7,8,8,7,1,1,7,10,793,1322,1344,1417,1200,112,1,1284,1853,20.83216821,8.336338079,7.963453038,10.52161038,6.76775448,0.688053817,61.05532396,100,8.995003481
W01000651,7,6,6,6,5,7,8,3,4,1201,1089,1011,1051,952,1288,1463,555,659,14.00045486,12.70807739,14.37917784,15.72912067,13.50704892,23.93921351,8.924775293,6.045025472,27.73853964
W01000652,3,4,3,3,3,6,4,7,3,528,587,475,508,384,1025,671,1225,566,27.3553504,26.50130049,31.15845255,35.78908007,29.68563913,27.30569035,14.07015691,23.53863231,10.05657844
W01000653,6,6,5,6,8,6,10,3,2,1144,1096,783,1066,1376,1141,1727,439,349,14.78652507,12.5638784,20.1022353,7.431643705,13.18834193,37.85183516,11.6578661,2.286256634,32.88061206
W01000654,3,4,3,4,3,3,8,2,1,478,609,509,678,508,517,1510,202,30,28.99230602,25.68773218,29.64244795,29.68563913,23.30814185,82.29556553,29.2998077,5.329318386,49.3751797
W01000655,2,2,3,3,2,4,3,3,5,360,282,421,413,370,651,480,507,812,34.2565282,42.405461270000004,33.79259304,36.5921215,34.20982261,19.29023769,24.21019688,30.92914605,29.72891157
W01000656,4,3,3,4,4,4,6,6,7,636,487,455,655,698,691,1142,1061,1197,24.53973578,30.61190983,32.09924763,22.66204675,24.07430611,10.57805138,22.88612138,11.63813235,13.29408765
W01000657,3,3,3,3,4,8,3,5,7,557,486,431,534,759,1427,427,818,1196,26.56341332,30.65696228,33.28147942,20.79661341,28.58821611,10.59689586,6.608696165,33.48456394,19.12575866
W01000658,3,4,2,4,4,6,5,2,5,525,597,289,649,751,984,942,212,929,27.42781349,26.12792556,41.88527265,21.0328108,24.27844453,16.2776081,14.98713304,15.96598799,48.3794235
