lsoa_code,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_score,Income_score,Employment_score,Education_score,Health_score,Crime_score,Housing_score,Access_score,Environment_score
W01000031,5,5,5,7,7,2,1,9,9,864,878,842,1322,1194,305,131,1700,1683,19.5963939,17.54259467,18.47935844,10.63463122,8.336338079,2.87159213,40.73867605,58.04794672,2.643670543
W01000032,6,5,5,8,5,6,2,9,10,1053,879,875,1392,917,1088,330,1703,1728,16.16548022,17.51711036,17.61921745,16.56905365,7.170280284,2.273125154,12.72875125,39.05425583,2.603682502
W01000033,2,2,1,2,2,9,3,10,1,224,198,178,263,338,1541,387,1899,116,41.28995785,49.78587499,51.95713044,38.54029138,43.8797465,60.38868941,4.869159446,35.62058786,0.13118929
W01000034,7,6,6,7,5,10,4,10,4,1196,974,1038,1190,841,1818,747,1887,608,14.07171847,15.21644328,13.78687964,18.50593218,10.71028816,25.72409489,1.120974874,21.15182537,0.275163496
W01000035,6,6,7,7,7,2,1,9,8,1087,1136,1215,1326,1325,346,173,1662,1470,15.61039797,11.75678959,10.24146447,8.285132741,8.268089597,5.937009012,38.03756153,52.53355459,3.15629683
W01000036,2,2,2,4,2,5,6,9,2,316,230,196,583,292,954,1021,1540,251,36.10217609,46.68897951,49.99400585,41.6658865,26.65236431,44.86204518,15.68203853,14.15802576,4.883860476
W01000037,6,4,4,5,4,9,7,10,5,974,730,730,935,589,1712,1291,1904,860,17.61707963,21.66462253,21.66462253,26.42613903,16.13325862,18.00620772,2.484133835,8.872244518,0.071465016
W01000038,4,5,5,5,4,3,2,9,8,764,794,899,937,696,415,223,1545,1340,21.45389395,19.79085218,17.0132657,22.72584562,16.08534275,8.030802209,34.104803510000004,47.33169406,4.810449112
W01000039,8,8,9,7,9,7,1,6,8,1409,1431,1632,1314,1692,1219,168,1078,1458,10.85846496,6.545379562,3.569230282,2.750646466,8.473445612,6.122491855,10.16733162,53.12479721,12.93651834
W01000040,7,8,8,8,9,5,2,7,6,1325,1389,1393,1397,1663,881,192,1161,1031,12.18994042,7.219060227,7.154043266,3.14265925,7.089209577,13.93897988,17.4662263,50.41600447,11.26637272
