Data Zone,Local Authority Code,Local Authority Name,Intermediate Geography name,Nearest settlement*,Total Population (SAPE 2010),"Best-fit Working Age Population** (men 16-64, women 16-60 SAPE 2010)",Overall SIMD 2012 Score,Overall SIMD 2012 Rank,Income domain 2012 rate (%),Number of Income Deprived People 2012,Income domain 2012 rank,Employment domain 2012 rate (%),Number of Employment Deprived People 2012 ,Employment domain 2012 rank,Health domain 2012 score,Health domain 2012 rank,"Education, Skills and Training domain 2012 score","Education, Skills and Training domain 2012 rank","Housing domain score 2004, 2006, 2009 & 2012","Housing domain rank 2004, 2006, 2009 & 2012",Geographic Access domain 2012 score,Geographic Access domain 2012 rank,SIMD Crime 2012 score,SIMD Crime 2012 rank,Decile,Quintile,Vigintile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001854,230,"Edinburgh, City of","Edinburgh, City of - Colinton and Kingsknowe",Edinburgh,"1,232",673,10.24,"4,684",8,95,"4,248",4,25,"5,792",0.04,"3,112",0.08,"3,001",14.05,"3,737",16.07,"3,239",153,"4,729",8,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001855,230,"Edinburgh, City of","Edinburgh, City of - Liberton East",Edinburgh,787,501,4.05,"6,169",3,25,"5,907",3,15,"6,221",-1.07,"5,797",-0.71,"5,093",4.89,"5,918",15.64,"3,315",225,"3,856",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001856,230,"Edinburgh, City of","Edinburgh, City of - Oxgangs and Firrhill",Edinburgh,742,398,33.40,"1,324",26,190,882,22,85,"1,158",0.42,"2,091",0.59,"1,770",26.48,"1,416",6.86,"4,995",496,"1,833",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001857,230,"Edinburgh, City of","Edinburgh, City of - Moredun",Edinburgh,754,456,20.43,"2,684",14,105,"2,722",12,50,"3,064",0.67,"1,465",0.18,"2,758",18.83,"2,532",7.07,"4,938",628,"1,271",5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001858,230,"Edinburgh, City of","Edinburgh, City of - Liberton West",Edinburgh,"1,017",500,6.56,"5,545",7,75,"4,331",5,25,"5,532",-0.29,"4,011",-1.21,"5,945",3.92,"6,107",5.21,"5,325",257,"3,525",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001859,230,"Edinburgh, City of","Edinburgh, City of - Ferniehill,  South Moredun and Craigour",Edinburgh,"1,022",636,31.55,"1,467",19,195,"1,687",19,115,"1,670",0.57,"1,696",1.03,850,29.40,"1,167",11.14,"4,091",813,768,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001860,230,"Edinburgh, City of","Edinburgh, City of - Colinton and Kingsknowe",Edinburgh,"1,128",654,1.37,"6,494",1,10,"6,474",2,15,"6,402",-1.77,"6,423",-1.98,"6,458",3.60,"6,165",12.66,"3,824",46,"6,150",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001861,230,"Edinburgh, City of","Edinburgh, City of - Oxgangs and Firrhill",Edinburgh,827,561,33.46,"1,320",22,180,"1,356",20,110,"1,500",0.25,"2,529",0.61,"1,731",39.34,628,21.67,"2,469",2123,63,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001862,230,"Edinburgh, City of","Edinburgh, City of - Baberton and Juniper Green",Edinburgh,776,498,4.20,"6,131",2,20,"6,156",3,15,"6,151",-1.54,"6,319",-0.88,"5,445",7.81,"5,362",18.77,"2,826",375,"2,556",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001863,230,"Edinburgh, City of","Edinburgh, City of - Baberton and Juniper Green",Edinburgh,808,509,5.77,"5,736",3,20,"6,111",4,20,"5,743",-0.81,"5,333",-0.50,"4,542",9.50,"5,015",19.74,"2,705",331,"2,896",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001864,230,"Edinburgh, City of","Edinburgh, City of - Clovenstone and Drumbryden",Edinburgh,"1,263",791,44.58,698,29,370,556,23,185,987,1.21,519,0.98,930,23.55,"1,733",14.28,"3,542",795,800,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001865,230,"Edinburgh, City of","Edinburgh, City of - Clovenstone and Drumbryden",Edinburgh,705,469,56.69,307,31,220,427,36,170,139,1.06,720,1.14,662,25.46,"1,537",8.20,"4,684",1228,283,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001866,230,"Edinburgh, City of","Edinburgh, City of - Colinton and Kingsknowe",Edinburgh,673,391,4.21,"6,128",2,15,"6,269",3,15,"6,218",-1.40,"6,225",-1.86,"6,432",7.39,"5,454",34.09,"1,346",122,"5,134",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001867,230,"Edinburgh, City of","Edinburgh, City of - Ferniehill,  South Moredun and Craigour",Edinburgh,735,436,28.24,"1,744",18,130,"1,922",17,70,"1,952",0.50,"1,871",1.02,861,26.82,"1,385",14.51,"3,502",326,"2,933",3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001868,230,"Edinburgh, City of","Edinburgh, City of - Liberton West",Edinburgh,728,384,12.74,"4,091",8,55,"4,212",9,35,"3,773",0.24,"2,554",-0.80,"5,294",9.06,"5,113",18.68,"2,841",403,"2,365",7,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001869,230,"Edinburgh, City of","Edinburgh, City of - Liberton East",Edinburgh,787,512,6.36,"5,595",6,45,"4,877",5,25,"5,314",-0.89,"5,478",-0.55,"4,660",11.12,"4,582",5.83,"5,202",367,"2,609",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001870,230,"Edinburgh, City of","Edinburgh, City of - Moredun",Edinburgh,829,538,51.92,433,31,255,467,30,160,410,1.05,748,1.28,478,38.34,663,11.25,"4,076",949,534,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001871,230,"Edinburgh, City of","Edinburgh, City of - Oxgangs and Firrhill",Edinburgh,"1,606",997,10.94,"4,506",8,125,"4,241",8,80,"4,211",-0.24,"3,859",-0.41,"4,309",34.65,821,8.70,"4,585",321,"2,974",7,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001872,230,"Edinburgh, City of","Edinburgh, City of - Moredun",Edinburgh,928,523,21.65,"2,495",15,135,"2,517",15,75,"2,350",0.44,"2,017",0.45,"2,118",21.85,"1,968",6.36,"5,107",360,"2,659",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001873,230,"Edinburgh, City of","Edinburgh, City of - Liberton West",Edinburgh,808,418,2.07,"6,464",2,15,"6,323",2,10,"6,367",-1.14,"5,901",-1.97,"6,455",3.09,"6,252",13.04,"3,754",128,"5,071",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001874,230,"Edinburgh, City of","Edinburgh, City of - Clovenstone and Drumbryden",Edinburgh,"1,019",663,52.88,415,35,360,221,25,160,804,1.05,740,1.45,297,24.72,"1,613",9.31,"4,468",1036,432,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001875,230,"Edinburgh, City of","Edinburgh, City of - Braids",Edinburgh,888,507,2.95,"6,371",2,15,"6,357",3,15,"6,229",-1.63,"6,369",-2.11,"6,480",3.30,"6,211",24.59,"2,123",84,"5,647",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001876,230,"Edinburgh, City of","Edinburgh, City of - The Inch",Edinburgh,976,621,29.85,"1,613",20,195,"1,552",19,120,"1,621",0.64,"1,555",0.73,"1,447",34.98,800,10.19,"4,274",428,"2,207",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001877,230,"Edinburgh, City of","Edinburgh, City of - Calders",Edinburgh,942,630,47.65,583,31,290,454,30,190,413,1.01,798,0.98,936,19.88,"2,320",8.11,"4,707",445,"2,102",1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001878,230,"Edinburgh, City of","Edinburgh, City of - Braids",Edinburgh,"1,040",551,1.94,"6,474",1,10,"6,461",2,10,"6,400",-1.63,"6,373",-2.14,"6,481",3.10,"6,249",14.45,"3,513",177,"4,420",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001879,230,"Edinburgh, City of","Edinburgh, City of - Moredun",Edinburgh,583,394,76.93,44,40,235,92,49,190,16,1.34,389,1.94,52,35.21,778,14.61,"3,483",1322,236,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001880,230,"Edinburgh, City of","Edinburgh, City of - Clovenstone and Drumbryden",Edinburgh,676,453,61.28,206,36,245,191,36,165,127,1.05,744,1.19,595,30.47,"1,075",0.73,"6,361",1547,152,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001881,230,"Edinburgh, City of","Edinburgh, City of - Colinton and Kingsknowe",Edinburgh,737,446,7.08,"5,411",4,25,"5,762",6,30,"4,872",-0.92,"5,532",-1.12,"5,836",4.60,"5,977",33.59,"1,377",183,"4,352",9,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001882,230,"Edinburgh, City of","Edinburgh, City of - Ferniehill,  South Moredun and Craigour",Edinburgh,825,570,14.49,"3,736",9,70,"3,973",8,50,"4,011",0.00,"3,222",-0.02,"3,224",17.12,"2,926",14.70,"3,461",762,873,6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001883,230,"Edinburgh, City of","Edinburgh, City of - Braids",Edinburgh,630,391,4.16,"6,138",3,15,"6,080",2,5,"6,341",-1.94,"6,472",-1.68,"6,343",3.87,"6,121",35.81,"1,236",,"5,900",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001884,230,"Edinburgh, City of","Edinburgh, City of - The Inch",Edinburgh,955,607,31.86,"1,447",21,195,"1,482",19,115,"1,664",0.85,"1,074",0.87,"1,160",27.25,"1,343",12.51,"3,857",464,"1,992",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001885,230,"Edinburgh, City of","Edinburgh, City of - Craiglockhart",Edinburgh,"1,186",623,2.94,"6,373",2,20,"6,324",3,20,"6,139",-1.22,"6,008",-1.66,"6,333",1.23,"6,461",20.99,"2,554",79,"5,703",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001886,230,"Edinburgh, City of","Edinburgh, City of - Clovenstone and Drumbryden",Edinburgh,606,412,59.65,244,34,205,266,41,170,57,1.13,634,1.08,753,16.47,"3,102",6.45,"5,085",483,"1,894",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001887,230,"Edinburgh, City of","Edinburgh, City of - Ratho, Gogarburn and Airport",Ratho,856,514,17.51,"3,154",12,100,"3,133",9,45,"3,889",-0.34,"4,157",0.50,"2,014",26.49,"1,414",37.40,"1,149",158,"4,669",5,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001888,230,"Edinburgh, City of","Edinburgh, City of - Craiglockhart",Edinburgh,922,502,2.40,"6,442",1,10,"6,457",2,15,"6,321",-0.80,"5,306",-1.77,"6,392",2.65,"6,320",12.88,"3,788",148,"4,791",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001889,230,"Edinburgh, City of","Edinburgh, City of - Liberton West",Edinburgh,568,357,8.57,"5,055",8,45,"4,298",6,20,"4,727",-0.51,"4,622",-0.34,"4,117",13.34,"3,962",5.35,"5,299",273,"3,384",8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001890,230,"Edinburgh, City of","Edinburgh, City of - Calders",Edinburgh,941,609,21.70,"2,486",16,145,"2,355",13,80,"2,642",0.44,"2,033",0.46,"2,104",20.17,"2,262",5.13,"5,343",538,"1,652",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001891,230,"Edinburgh, City of","Edinburgh, City of - The Inch",Edinburgh,754,488,22.45,"2,380",15,110,"2,499",12,60,"3,000",0.54,"1,761",0.85,"1,200",36.54,723,4.28,"5,523",314,"3,034",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001892,230,"Edinburgh, City of","Edinburgh, City of - Calders",Edinburgh,937,629,53.13,409,33,305,336,33,205,245,0.73,"1,329",1.31,446,28.48,"1,226",2.76,"5,878",711,991,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001893,230,"Edinburgh, City of","Edinburgh, City of - Calders",Edinburgh,928,616,43.40,748,26,245,834,26,160,654,0.69,"1,424",1.21,555,26.09,"1,463",8.29,"4,670",1071,397,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001894,230,"Edinburgh, City of","Edinburgh, City of - Clovenstone and Drumbryden",Edinburgh,757,497,67.88,128,42,315,65,36,175,151,1.29,444,1.55,233,24.09,"1,678",7.97,"4,738",1011,457,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001895,230,"Edinburgh, City of","Edinburgh, City of - The Inch",Edinburgh,842,526,24.97,"2,101",20,170,"1,543",13,70,"2,626",0.07,"3,026",0.79,"1,306",25.66,"1,517",11.48,"4,040",419,"2,256",4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001896,230,"Edinburgh, City of","Edinburgh, City of - Braids",Edinburgh,838,513,3.27,"6,315",3,30,"5,837",3,15,"6,121",-1.81,"6,440",-2.19,"6,488",9.00,"5,129",19.27,"2,769",136,"4,964",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001897,230,"Edinburgh, City of","Edinburgh, City of - Clovenstone and Drumbryden",Edinburgh,838,576,59.73,243,35,295,222,31,180,317,1.21,520,1.41,331,28.51,"1,222",8.41,"4,639",1620,136,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001898,230,"Edinburgh, City of","Edinburgh, City of - Calders",Edinburgh,675,411,32.61,"1,386",22,150,"1,259",22,90,"1,189",0.76,"1,274",0.74,"1,425",30.97,"1,036",2.36,"5,984",346,"2,768",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001899,230,"Edinburgh, City of","Edinburgh, City of - Parkhead",Edinburgh,750,497,17.33,"3,176",16,125,"2,169",8,40,"4,073",-0.28,"3,983",0.22,"2,665",21.36,"2,043",11.09,"4,103",573,"1,519",5,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001900,230,"Edinburgh, City of","Edinburgh, City of - Longstone and Saughton Mains",Edinburgh,757,481,17.45,"3,162",10,75,"3,706",11,55,"3,118",-0.06,"3,403",-0.03,"3,251",25.81,"1,497",34.55,"1,308",397,"2,401",5,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001901,230,"Edinburgh, City of","Edinburgh, City of - Craighouse and South Morningside",Edinburgh,906,477,5.71,"5,751",5,45,"5,227",5,25,"5,438",-0.95,"5,607",-1.80,"6,408",6.28,"5,660",25.49,"2,026",114,"5,251",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001902,230,"Edinburgh, City of","Edinburgh, City of - Morningside",Edinburgh,924,598,1.16,"6,502",1,10,"6,446",2,15,"6,335",-1.45,"6,260",-1.69,"6,347",10.86,"4,646",6.66,"5,044",,"6,174",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001903,230,"Edinburgh, City of","Edinburgh, City of - The Inch",Edinburgh,585,367,31.01,"1,507",25,145,973,14,50,"2,408",0.37,"2,217",1.02,865,33.33,887,6.96,"4,971",661,"1,168",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001904,230,"Edinburgh, City of","Edinburgh, City of - Longstone and Saughton Mains",Edinburgh,567,361,41.60,826,23,130,"1,168",23,80,"1,004",1.62,190,0.57,"1,840",18.52,"2,590",35.43,"1,255",487,"1,872",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001905,230,"Edinburgh, City of","Edinburgh, City of - Craighouse and South Morningside",Edinburgh,901,611,2.34,"6,450",3,30,"5,797",3,20,"6,070",-1.66,"6,386",-1.92,"6,444",11.09,"4,587",9.36,"4,452",79,"5,707",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001906,230,"Edinburgh, City of","Edinburgh, City of - Greendykes and Niddrie Mains",Edinburgh,632,375,68.05,125,33,210,303,33,125,234,1.99,64,1.73,115,27.14,"1,350",15.19,"3,381",3308,20,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001907,230,"Edinburgh, City of","Edinburgh, City of - The Inch",Edinburgh,784,469,32.99,"1,358",21,165,"1,462",19,90,"1,595",0.96,890,0.90,"1,090",33.12,896,6.10,"5,154",617,"1,312",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001908,230,"Edinburgh, City of","Edinburgh, City of - Blackford",Edinburgh,960,657,5.33,"5,854",6,60,"4,654",4,30,"5,751",-1.10,"5,845",-1.44,"6,199",13.86,"3,813",7.61,"4,821",383,"2,497",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001909,230,"Edinburgh, City of","Edinburgh, City of - Clovenstone and Drumbryden",Edinburgh,679,465,50.47,476,27,185,736,31,145,365,0.61,"1,621",1.51,250,20.48,"2,204",13.12,"3,740",1895,88,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001910,230,"Edinburgh, City of","Edinburgh, City of - Parkhead",Edinburgh,839,545,13.98,"3,844",12,95,"3,201",8,45,"4,005",-0.54,"4,686",0.43,"2,160",26.50,"1,413",7.15,"4,917",248,"3,609",6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001911,230,"Edinburgh, City of","Edinburgh, City of - Craighouse and South Morningside",Edinburgh,803,515,2.47,"6,435",2,15,"6,322",3,10,"6,290",-1.99,"6,477",-2.14,"6,482",10.66,"4,713",19.88,"2,690",64,"5,917",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001912,230,"Edinburgh, City of","Edinburgh, City of - Parkhead",Edinburgh,803,508,14.75,"3,673",12,100,"3,005",7,40,"4,493",-0.17,"3,680",-0.06,"3,342",35.06,791,8.67,"4,589",680,"1,103",6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001913,230,"Edinburgh, City of","Edinburgh, City of - Craiglockhart",Edinburgh,956,604,9.10,"4,934",5,50,"5,063",5,30,"5,452",-1.10,"5,838",0.23,"2,635",11.29,"4,546",29.18,"1,670",130,"5,033",8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001914,230,"Edinburgh, City of","Edinburgh, City of - Morningside",Edinburgh,612,350,3.28,"6,314",2,15,"6,256",4,15,"5,798",-1.56,"6,328",-2.29,"6,497",3.77,"6,141",23.03,"2,303",,"6,094",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001915,230,"Edinburgh, City of","Edinburgh, City of - Craiglockhart",Edinburgh,941,572,3.90,"6,194",3,30,"5,988",4,20,"5,870",-1.31,"6,123",-1.05,"5,754",8.64,"5,205",17.63,"3,010",189,"4,286",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001916,230,"Edinburgh, City of","Edinburgh, City of - Craighouse and South Morningside",Edinburgh,917,672,3.54,"6,268",3,30,"5,963",4,25,"5,910",-0.93,"5,549",-1.02,"5,713",28.34,"1,243",2.96,"5,835",195,"4,193",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001917,230,"Edinburgh, City of","Edinburgh, City of - Morningside",Edinburgh,755,408,1.34,"6,496",1,5,"6,485",1,5,"6,486",-1.52,"6,299",-2.63,"6,504",4.92,"5,909",11.40,"4,051",96,"5,494",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001918,230,"Edinburgh, City of","Edinburgh, City of - Craighouse and South Morningside",Edinburgh,963,781,11.00,"4,496",8,80,"4,105",7,55,"4,399",-0.88,"5,458",-0.07,"3,362",49.54,349,15.72,"3,295",139,"4,904",7,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001919,230,"Edinburgh, City of","Edinburgh, City of - Parkhead",Edinburgh,847,554,14.05,"3,829",11,95,"3,323",7,35,"4,647",-0.01,"3,266",0.12,"2,899",30.18,"1,105",13.34,"3,712",359,"2,663",6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001920,230,"Edinburgh, City of","Edinburgh, City of - Blackford",Edinburgh,835,512,14.94,"3,627",11,95,"3,216",9,45,"3,881",0.00,"3,208",-0.40,"4,290",28.19,"1,249",24.10,"2,179",262,"3,475",6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001921,230,"Edinburgh, City of","Edinburgh, City of - Longstone and Saughton Mains",Edinburgh,585,345,28.19,"1,749",18,105,"1,863",18,60,"1,788",0.44,"2,024",0.73,"1,460",25.91,"1,487",18.12,"2,925",568,"1,543",3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001922,230,"Edinburgh, City of","Edinburgh, City of - Ratho, Gogarburn and Airport",Ratho,761,495,6.35,"5,601",4,30,"5,574",4,20,"5,609",-1.00,"5,690",-1.18,"5,910",6.65,"5,595",32.41,"1,448",230,"3,811",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01001923,230,"Edinburgh, City of","Edinburgh, City of - Broomhouse and Sighthill",Edinburgh,761,507,20.28,"2,698",12,90,"3,172",7,35,"4,558",0.26,"2,499",1.15,635,33.98,852,9.96,"4,327",567,"1,549",5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
