lsoa01_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_and_Access_rank,Crime_rank,Environment_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_and_Access_decile,Crime_decile,Environment_decile
E01000001,28814,32460,32435,32332,32421,5491,31816,10212,9,10,10,10,10,2,10,4
E01000002,29450,32457,32452,32472,32392,6980,32269,10483,10,10,10,10,10,3,10,4
E01000003,20047,22562,26026,28188,24611,2211,30147,6088,7,7,9,9,8,1,10,2
E01000004,22503,30002,28814,28814,30899,3012,30744,3257,7,10,9,9,10,1,10,2
E01000005,12978,11341,19427,14900,13235,4407,28792,4730,4,4,6,5,5,2,9,2
E01000006,16410,14996,20979,21343,18084,5374,10184,14273,6,5,7,7,6,2,4,5
E01000007,5438,5053,12409,7668,8668,4492,2026,2591,2,2,4,3,3,2,1,1
E01000008,3172,1145,7055,8596,8403,4612,4074,2177,1,1,3,3,3,2,2,1
E01000009,8462,8499,11184,11092,12902,6758,3148,6960,3,3,4,4,4,3,1,3
E01000010,5038,3207,9636,10229,11775,6705,968,4003,2,1,3,4,4,3,1,2
E01000011,8421,6609,12377,12473,12161,7483,6323,4026,3,3,4,4,4,3,2,2
E01000012,5400,2859,12485,14223,14842,3520,2766,1435,2,1,4,5,5,2,1,1
E01000013,4626,4537,7874,7973,3112,10186,2020,5334,2,2,3,3,1,4,1,2
E01000014,5235,4482,6273,10763,2928,7584,8694,5878,2,2,2,4,1,3,3,2
E01000015,4926,2631,7467,10342,3988,7869,2895,15443,2,1,3,4,2,3,1,5
E01000016,7495,6671,8336,10404,4637,10311,9142,9561,3,3,3,4,2,4,3,3
E01000017,6099,4153,6752,3680,7127,10426,15093,11135,2,2,3,2,3,4,5,4
E01000018,7073,5788,7898,8444,5124,10523,7751,12738,3,2,3,3,2,4,3,4
E01000019,6993,4654,9267,8527,8126,10755,6998,7200,3,2,3,3,3,4,3,3
E01000020,6486,5412,7821,5810,6971,10322,11878,5190,2,2,3,2,3,4,4,2
E01000021,6542,4858,8253,10343,6366,8819,7127,6177,3,2,3,4,2,3,3,2
E01000022,8839,6884,11371,13281,6650,9362,7842,9905,3,3,4,5,3,3,3,4
E01000023,11340,9175,16488,12556,10421,7835,12145,8747,4,3,6,4,4,3,4,3
E01000024,8512,6575,11822,10041,6537,10298,8646,9169,3,3,4,4,3,4,3,3
E01000025,7034,5694,7451,9621,5259,10137,6649,13975,3,2,3,3,2,4,3,5
E01000026,5669,4018,7963,9153,8373,10590,2623,5263,2,2,3,3,3,4,1,2
E01000027,2355,2757,5639,5852,2635,6181,206,4896,1,1,2,2,1,2,1,2
E01000028,3695,2243,4285,4420,5028,6631,7598,11869,2,1,2,2,2,3,3,4
E01000029,9710,10796,12889,14011,9937,7341,2150,13142,3,4,4,5,4,3,1,5
E01000030,1773,1341,6050,8574,6483,2570,292,960,1,1,2,3,2,1,1,1
E01000031,9754,9297,12384,13867,16341,11407,1592,8826,4,3,4,5,6,4,1,3
E01000032,8363,8439,11238,13041,8111,9238,3203,7142,3,3,4,5,3,3,1,3
E01000033,4274,3797,6517,5807,4189,2817,5456,10465,2,2,3,2,2,1,2,4
E01000034,7596,6035,8538,7444,8637,3729,12138,17416,3,2,3,3,3,2,4,6
E01000035,9045,8509,11123,11283,9765,8649,4222,11367,3,3,4,4,4,3,2,4
E01000036,12845,10809,18233,11601,10941,11195,11273,11516,4,4,6,4,4,4,4,4
E01000037,12349,14048,6637,15437,11938,9350,20275,18628,4,5,3,5,4,3,7,6
E01000038,14866,16301,14674,14500,9840,14133,21117,9274,5,6,5,5,4,5,7,3
E01000039,15265,12985,21567,20221,17133,3339,11778,15931,5,4,7,7,6,2,4,5
E01000040,4909,3081,4732,8068,5176,9895,5961,12522,2,1,2,3,2,4,2,4
E01000041,6985,5777,10664,13437,3699,9092,5203,7555,3,2,4,5,2,3,2,3
E01000042,4715,2421,5348,8920,8642,5694,4029,12349,2,1,2,3,3,2,2,4
E01000043,6958,5230,11929,9892,7846,6628,2429,10606,3,2,4,4,3,3,1,4
E01000044,7359,7788,12281,13653,13634,9788,936,2380,3,3,4,5,5,4,1,1
E01000045,4529,5255,7729,9501,4248,6083,916,5384,2,2,3,3,2,2,1,2
E01000046,8690,5151,7977,15664,9798,8446,15225,10177,3,2,3,5,4,3,5,4
E01000047,4069,2465,6068,8791,8755,5522,2480,4886,2,1,2,3,3,2,1,2
E01000048,1338,302,2075,5293,5625,2739,7921,5242,1,1,1,2,2,1,3,2
E01000049,3328,1377,5799,9340,6051,2253,5604,7345,2,1,2,3,2,1,2,3
E01000050,6339,6101,7968,7287,14893,8530,1906,4947,2,2,3,3,5,3,1,2
E01000051,1557,578,2061,4490,6566,5706,10381,1792,1,1,1,2,3,2,4,1
E01000052,8534,6545,9633,10579,13154,5636,11356,7291,3,3,3,4,5,2,4,3
E01000053,7023,4401,7246,10532,10062,9900,5412,11701,3,2,3,4,4,4,2,4
E01000054,8295,7055,8224,14682,5480,9167,10234,10364,3,3,3,5,2,3,4,4
E01000055,8317,6154,9327,13604,6449,9201,7905,12469,3,2,3,5,2,3,3,4
E01000056,5285,3475,7404,8898,5644,4028,5324,12109,2,2,3,3,2,2,2,4
E01000057,4910,3691,7854,9817,5074,10288,1694,5959,2,2,3,4,2,4,1,2
E01000058,5393,4419,6063,6904,3412,9863,9242,9340,2,2,2,3,2,4,3,3
E01000059,6376,5532,7902,6640,7369,8285,6069,7572,2,2,3,3,3,3,2,3
E01000060,3969,2730,5423,8099,5826,8799,1211,10114,2,1,2,3,2,3,1,4
E01000061,1959,472,3236,4629,3717,6362,10838,6531,1,1,1,2,2,2,4,3
E01000062,6806,4141,8760,11726,7057,12411,4798,8361,3,2,3,4,3,4,2,3
E01000063,6578,6004,8501,8472,3441,11215,8107,8057,3,2,3,3,2,4,3,3
E01000064,6151,4552,6964,9654,5641,9187,7696,7166,2,2,3,3,2,3,3,3
E01000065,5654,5159,6606,6332,3518,10036,10250,7429,2,2,3,2,2,4,4,3
E01000066,10437,8437,12055,9776,17243,4703,17987,8348,4,3,4,4,6,2,6,3
E01000067,11857,7917,14172,13739,18204,11237,9482,9367,4,3,5,5,6,4,3,3
E01000068,11683,11311,16617,15005,17729,7548,2697,10590,4,4,6,5,6,3,1,4
E01000069,17446,13015,16750,17614,16655,16890,14965,20398,6,5,6,6,6,6,5,7
E01000070,13683,13839,16256,16934,20749,15232,2539,9859,5,5,6,6,7,5,1,4
E01000071,16553,9724,22617,18310,17131,10466,17318,15205,6,3,7,6,6,4,6,5
E01000072,3860,3113,7087,6336,5524,10688,854,5351,2,1,3,2,2,4,1,2
E01000073,5726,4714,8159,6066,3837,10404,4596,12086,2,2,3,2,2,4,2,4
E01000074,7230,5022,7445,7521,6114,10187,9383,19060,3,2,3,3,2,4,3,6
E01000075,6245,5696,8646,11437,7090,10932,1713,5501,2,2,3,4,3,4,1,2
E01000076,3876,2368,5712,5632,2824,8168,5063,14165,2,1,2,2,1,3,2,5
E01000077,6324,5001,7779,10545,5843,9257,5332,6687,2,2,3,4,2,3,2,3
E01000078,5302,3246,7320,9837,5141,10257,5481,5667,2,1,3,4,2,4,2,2
E01000079,6148,3554,6877,8184,5927,7704,11994,11772,2,2,3,3,2,3,4,4
E01000080,6477,4792,7101,8410,5657,11227,6196,12056,2,2,3,3,2,4,2,4
E01000081,7171,5718,9006,7630,4615,8746,10637,12569,3,2,3,3,2,3,4,4
E01000082,6002,4548,5455,8191,7135,10344,9560,6798,2,2,2,3,3,4,3,3
E01000083,5316,4083,6454,6826,6119,10931,4796,6650,2,2,2,3,2,4,2,3
E01000084,5979,6038,9411,7474,2903,10999,4644,6936,2,2,3,3,1,4,2,3
E01000085,4823,3791,6164,12359,3714,9618,2851,6430,2,2,2,4,2,3,1,2
E01000086,7157,6508,9858,7594,4727,9750,9036,7545,3,3,4,3,2,4,3,3
E01000087,6017,4224,6165,5011,6171,8751,19292,8868,2,2,2,2,2,3,6,3
E01000088,9221,8192,13846,8995,11074,11815,5843,5245,3,3,5,3,4,4,2,2
E01000089,8310,6425,10927,11084,6577,8752,13741,5968,3,2,4,4,3,3,5,2
E01000090,9755,7729,13487,11677,8316,7919,11634,8589,4,3,5,4,3,3,4,3
E01000091,2801,1920,3828,5650,5655,5964,1562,9460,1,1,2,2,2,2,1,3
E01000092,9310,6204,12888,14930,10187,5576,6762,13257,3,2,4,5,4,2,3,5
E01000093,2420,1828,2956,4183,6292,7607,2636,4648,1,1,1,2,2,3,1,2
E01000094,7422,7633,12313,11266,8529,1064,6613,10069,3,3,4,4,3,1,3,4
E01000095,6966,7189,14954,10824,10168,1126,1519,12721,3,3,5,4,4,1,1,4
E01000096,1974,1465,5132,7323,5270,2119,406,4879,1,1,2,3,2,1,1,2
E01000097,5577,3399,6044,7689,7161,9550,6554,9953,2,2,2,3,3,3,3,4
E01000098,6330,4257,8232,9542,7171,11591,4930,6370,2,2,3,3,3,4,2,2
E01000099,5518,3724,7075,9016,5774,8937,5870,6606,2,2,3,3,2,3,2,3
E01000100,5890,6350,5912,8104,5733,10609,6304,4455,2,2,2,3,2,4,2,2
E01000101,5184,4634,6863,4997,6848,10677,4952,4656,2,2,3,2,3,4,2,2
E01000102,6352,5138,7529,7074,7935,8643,8861,5275,2,2,3,3,3,3,3,2
E01000103,4565,3613,10707,10254,5687,5308,228,8983,2,2,4,4,2,2,1,3
E01000104,2491,3009,4219,6993,2645,4508,1754,3167,1,1,2,3,1,2,1,1
E01000105,3624,2256,3791,6416,5958,10210,3513,8492,2,1,2,2,2,4,2,3
E01000106,2929,2414,4311,7348,5273,9799,951,3914,1,1,2,3,2,4,1,2
E01000107,10346,9704,13111,14725,8621,7981,6982,10383,4,3,5,5,3,3,3,4
E01000108,9690,11006,12701,13769,10007,13323,3152,5016,3,4,4,5,4,5,1,2
E01000109,8443,8193,10246,11327,9807,8823,5925,5631,3,3,4,4,4,3,2,2
E01000110,14694,11838,15629,15747,17580,13985,10302,12497,5,4,5,5,6,5,4,4
E01000111,7970,6162,10371,12667,10933,6720,6395,5638,3,2,4,4,4,3,2,2
E01000112,9952,8727,16060,16708,12757,8479,3115,5317,4,3,5,6,4,3,1,2
E01000113,13878,12773,18654,17379,15914,12892,5488,7955,5,4,6,6,5,4,2,3
E01000114,9746,9128,14019,13569,9421,6069,7097,7402,4,3,5,5,3,2,3,3
E01000115,30415,27626,28833,32032,30201,17082,18791,26342,10,9,9,10,10,6,6,9
E01000116,25246,17650,24526,31549,26670,21268,17902,14359,8,6,8,10,9,7,6,5
E01000117,23350,18997,22215,31003,24914,12051,17503,15755,8,6,7,10,8,4,6,5
E01000118,20445,14971,21435,28604,25962,13929,12218,12366,7,5,7,9,8,5,4,4
E01000119,24520,21291,26837,31752,30896,10821,10817,14561,8,7,9,10,10,4,4,5
E01000120,27438,19695,27429,31305,30553,19661,16822,18865,9,7,9,10,10,7,6,6
E01000121,7372,3636,5835,16765,10441,4480,13433,18944,3,2,2,6,4,2,5,6
E01000122,25408,22284,25430,31331,29672,5501,26140,17764,8,7,8,10,10,2,9,6
E01000123,19921,16851,19324,31166,23592,4040,21308,18780,7,6,6,10,8,2,7,6
E01000124,10481,6395,9697,26508,19471,6981,10692,6318,4,2,3,9,6,3,4,2
E01000125,5727,2400,4706,15491,13906,5725,6379,10809,2,1,2,5,5,2,2,4
E01000126,7035,1536,6936,18286,18015,3557,20146,17409,3,1,3,6,6,2,7,6
E01000127,11459,6314,10523,18755,13843,12028,17178,11793,4,2,4,6,5,4,6,4
E01000128,12081,7312,13524,26609,15969,13375,6517,8407,4,3,5,9,5,5,3,3
E01000129,6464,2510,7505,15782,14581,10744,4526,6306,2,1,3,5,5,4,2,2
E01000130,9384,6155,9857,21790,16215,4847,7878,7998,3,2,4,7,5,2,3,3
E01000131,15787,11014,15268,27333,23257,6180,14027,14158,5,4,5,9,8,2,5,5
E01000132,10096,4988,10281,24173,9189,12687,10031,13785,4,2,4,8,3,4,4,5
E01000133,8766,4755,6279,17719,11677,8588,13170,17033,3,2,2,6,4,3,5,6
E01000134,12113,5258,10911,24101,17160,9392,20661,14705,4,2,4,8,6,3,7,5
E01000135,24508,20891,29846,29893,30144,10478,11528,12847,8,7,10,10,10,4,4,4
E01000136,23716,28181,30445,31330,28875,10397,5430,9138,8,9,10,10,9,4,2,3
E01000137,7846,3623,9886,13844,14477,5345,12029,7290,3,2,4,5,5,2,4,3
E01000138,14238,10253,19742,23126,26097,5421,5222,11723,5,4,7,8,9,2,2,4
E01000139,18766,18766,25131,24585,29785,9867,4987,8137,6,6,8,8,10,4,2,3
E01000140,15734,14207,22922,19108,15670,8267,11821,7391,5,5,8,6,5,3,4,3
E01000141,8929,7631,14872,21838,27166,10053,664,1910,3,3,5,7,9,4,1,1
E01000142,13727,7744,14516,22412,23320,9998,10822,11589,5,3,5,7,8,4,4,4
E01000143,8656,5810,8031,19320,16145,6947,5564,8460,3,2,3,6,5,3,2,3
E01000144,19535,23919,31098,31322,31547,9701,2501,4490,7,8,10,10,10,3,1,2
E01000145,25160,21188,29424,30057,31406,13684,11137,12003,8,7,10,10,10,5,4,4
E01000146,18802,26427,27820,24530,30136,11475,2363,4613,6,9,9,8,10,4,1,2
E01000147,18447,11634,20509,30556,26703,12721,12495,9777,6,4,7,10,9,4,4,4
E01000148,10035,5436,8796,16482,21085,8629,21355,5479,4,2,3,6,7,3,7,2
E01000149,18936,16427,23060,30692,24448,6944,11515,9149,6,6,8,10,8,3,4,3
E01000150,14384,9840,14265,28085,23191,6683,11388,10634,5,4,5,9,8,3,4,4
E01000151,5443,1242,4494,21491,18108,2329,14816,12800,2,1,2,7,6,1,5,4
E01000152,6252,990,5778,20327,15135,7474,18492,12563,2,1,2,7,5,3,6,4
E01000153,5029,1885,3625,20010,12509,3094,8025,13667,2,1,2,7,4,1,3,5
E01000154,3620,802,3136,20321,9949,2969,7332,13432,2,1,1,7,4,1,3,5
E01000155,12065,7990,13119,24362,27152,1618,23257,7653,4,3,5,8,9,1,8,3
E01000156,17996,15588,19460,23990,30586,17526,6049,7446,6,5,6,8,10,6,2,3
E01000157,16970,10106,21005,24899,23619,12629,14554,8161,6,4,7,8,8,4,5,3
E01000158,15431,11741,13545,24534,25624,14118,10451,8049,5,4,5,8,8,5,4,3
E01000159,17057,11789,17452,29366,28255,7386,8269,16781,6,4,6,10,9,3,3,6
E01000160,22153,15572,19966,27664,29607,14644,12014,22908,7,5,7,9,10,5,4,8
E01000161,19240,12951,21485,30014,28067,13551,10071,11018,6,4,7,10,9,5,4,4
E01000162,14736,10051,15726,23346,26041,14303,8390,6983,5,4,5,8,9,5,3,3
E01000163,8367,4139,6456,13267,20895,5376,16067,12420,3,2,2,5,7,2,5,4
E01000164,8902,5006,11117,22771,18744,9708,2088,7851,3,2,4,8,6,3,1,3
E01000165,22327,19160,25458,30088,28567,3314,16916,22845,7,6,8,10,9,2,6,8
E01000166,19388,13959,18923,28407,19671,8085,18600,21900,6,5,6,9,7,3,6,7
E01000167,12700,9956,11200,24076,10561,6668,19691,14213,4,4,4,8,4,3,7,5
E01000168,29438,24196,26113,31998,29980,21314,18775,23849,10,8,9,10,10,7,6,8
E01000169,23759,20005,20966,30592,29500,12890,14547,16561,8,7,7,10,10,4,5,6
E01000170,15594,11471,13001,24655,23262,15368,9168,12429,5,4,5,8,8,5,3,4
E01000171,15920,9725,14516,31538,24313,13590,11542,9864,5,3,5,10,8,5,4,4
E01000172,25752,19948,24743,30948,29391,12724,18021,18739,8,7,8,10,10,4,6,6
E01000173,26013,18431,26498,31784,27235,17463,14381,20935,9,6,9,10,9,6,5,7
E01000174,17639,14164,16148,29305,23776,15005,11484,8248,6,5,5,10,8,5,4,3
E01000175,26105,21234,25651,30842,28897,15518,14285,17970,9,7,8,10,9,5,5,6
E01000176,9711,5686,7212,22691,19803,2630,16060,16770,3,2,3,7,7,1,5,6
E01000177,22740,23339,28285,26683,29302,13032,8242,8009,8,8,9,9,10,5,3,3
E01000178,18584,15243,18531,23847,32197,15331,7349,10760,6,5,6,8,10,5,3,4
E01000179,20839,20390,26118,30401,29560,4249,17565,7061,7,7,9,10,10,2,6,3
E01000180,16321,8462,13826,25658,29206,11417,21439,12855,6,3,5,8,9,4,7,4
E01000181,19398,18314,21473,25606,31747,15891,11312,3923,6,6,7,8,10,5,4,2
E01000182,22981,23157,23338,29412,32314,15301,14358,5228,8,8,8,10,10,5,5,2
E01000183,21060,17095,22164,29255,31783,7001,14353,13086,7,6,7,10,10,3,5,5
E01000184,3519,1847,4066,14112,9391,2753,2213,8181,2,1,2,5,3,1,1,3
E01000185,5875,1865,4418,13680,17969,7022,13016,8702,2,1,2,5,6,3,5,3
E01000186,28057,23178,29218,31766,29774,13466,19156,17844,9,8,9,10,10,5,6,6
E01000187,19384,9856,17837,28307,24467,14170,20821,21789,6,4,6,9,8,5,7,7
E01000188,27856,26321,30805,31313,29307,15136,11486,16471,9,9,10,10,10,5,4,6
E01000189,3935,915,3028,11004,10758,5455,15578,12233,2,1,1,4,4,2,5,4
E01000190,22768,18045,23867,31768,28892,7242,15329,17594,8,6,8,10,9,3,5,6
E01000191,25118,17409,29643,31639,30349,9808,18228,15620,8,6,10,10,10,4,6,5
E01000192,17936,12748,19381,29734,30187,12889,8049,9115,6,4,6,10,10,4,3,3
E01000193,19019,15304,18368,28901,30558,16163,7658,10007,6,5,6,9,10,5,3,4
E01000194,13567,12131,15420,27787,22100,9913,4612,5538,5,4,5,9,7,4,2,2
E01000195,8495,3258,7552,22224,14720,5470,13869,14931,3,2,3,7,5,2,5,5
E01000196,21686,17238,19808,26829,30454,12333,26269,8170,7,6,7,9,10,4,9,3
E01000197,20871,18637,20706,28815,29915,10482,16594,7421,7,6,7,9,10,4,6,3
E01000198,22675,20630,26437,31690,29454,3305,18059,16598,7,7,9,10,10,2,6,6
E01000199,25851,20787,26917,30616,32211,7665,21203,17861,8,7,9,10,10,3,7,6
E01000200,20751,18709,20089,26598,31242,10023,16187,8541,7,6,7,9,10,4,5,3
E01000201,26899,25348,30133,31754,32118,15052,12621,10311,9,8,10,10,10,5,4,4
E01000202,25126,20482,24560,27907,32025,14495,18125,12667,8,7,8,9,10,5,6,4
E01000203,12013,8665,13000,28684,27529,1910,14192,6834,4,3,5,9,9,1,5,3
E01000204,23285,19126,23610,30851,31634,12160,15413,10426,8,6,8,10,10,4,5,4
E01000205,27845,23941,29303,31902,32363,12827,11345,23428,9,8,10,10,10,4,4,8
E01000206,24660,29395,32376,31308,31925,2708,13462,12789,8,10,10,10,10,1,5,4
E01000207,28272,25731,30434,32307,31818,11518,17853,15150,9,8,10,10,10,4,6,5
E01000208,26727,29627,31586,32169,31073,9757,12369,9410,9,10,10,10,10,4,4,3
E01000209,25928,26674,28183,32221,32323,12221,14762,7442,8,9,9,10,10,4,5,3
E01000210,26119,29131,29689,30807,32471,12729,5464,15398,9,9,10,10,10,4,2,5
E01000211,17370,12844,20301,28741,28502,11321,16588,3659,6,4,7,9,9,4,6,2
E01000212,25992,29912,30584,32014,32374,8558,14153,6992,9,10,10,10,10,3,5,3
E01000213,24783,31366,32225,32347,30944,2773,20977,7160,8,10,10,10,10,1,7,3
E01000214,22976,31180,31296,31970,32319,6603,6453,5473,8,10,10,10,10,3,2,2
E01000215,21492,13998,25983,28676,27158,11942,15684,12020,7,5,8,9,9,4,5,4
E01000216,22250,16050,26485,30114,30412,12235,18507,7298,7,5,9,10,10,4,6,3
E01000217,23531,22318,24588,28156,31343,14977,12887,7891,8,7,8,9,10,5,4,3
E01000218,21809,17501,25740,26649,31288,14191,10603,9135,7,6,8,9,10,5,4,3
E01000219,19637,14293,24638,27573,28082,8956,8028,15637,7,5,8,9,9,3,3,5
E01000220,16533,11218,17156,17345,29458,11234,13496,12294,6,4,6,6,10,4,5,4
E01000221,5626,3327,7247,12565,13615,1689,5098,8962,2,2,3,4,5,1,2,3
E01000222,10749,5314,15456,25095,23490,3356,6859,10183,4,2,5,8,8,2,3,4
E01000223,7057,5753,9381,17240,12703,4937,2626,4651,3,2,3,6,4,2,1,2
E01000224,16239,8941,15811,29269,26328,8549,15972,13384,5,3,5,10,9,3,5,5
E01000225,22546,17179,29111,28041,30486,11458,14335,8469,7,6,9,9,10,4,5,3
E01000226,9092,4020,8740,21429,12172,8179,15974,9895,3,2,3,7,4,3,5,4
E01000227,23087,17323,21362,31617,26818,9626,19338,19349,8,6,7,10,9,3,6,6
E01000228,20583,16018,24798,31161,27108,5709,9978,19032,7,5,8,10,9,2,4,6
E01000229,11576,7252,9715,25544,15815,3633,13293,24325,4,3,3,8,5,2,5,8
E01000230,25981,18219,25490,31957,29072,13677,16807,22933,8,6,8,10,9,5,6,8
E01000231,17687,13926,19173,28376,28254,4437,15748,11393,6,5,6,9,9,2,5,4
E01000232,19447,13700,15627,28879,30911,14127,15057,13364,6,5,5,9,10,5,5,5
E01000233,21344,14695,19691,29188,30016,15907,16281,12034,7,5,7,9,10,5,6,4
E01000234,25034,18790,26503,31460,29481,13437,17201,13458,8,6,9,10,10,5,6,5
E01000235,11568,5478,11313,24339,17294,13239,6814,16902,4,2,4,8,6,5,3,6
E01000236,16734,12504,22296,23211,30771,8290,7950,7697,6,4,7,8,10,3,3,3
E01000237,18757,23600,26815,28689,31734,13501,1615,5662,6,8,9,9,10,5,1,2
E01000238,16996,11008,18327,25704,27297,15096,9993,8812,6,4,6,8,9,5,4,3
E01000239,14994,11394,17131,27344,26869,4705,12186,7565,5,4,6,9,9,2,4,3
E01000240,15779,11788,15106,30435,28286,2666,14954,16103,5,4,5,10,9,1,5,5
E01000241,21606,19840,24572,31454,31457,5139,14743,10595,7,7,8,10,10,2,5,4
E01000242,16958,13333,17819,29976,30906,5714,8623,11647,6,5,6,10,10,2,3,4
E01000243,15916,15799,17787,27157,24698,11542,7073,4205,5,5,6,9,8,4,3,2
E01000244,18726,14914,19624,24163,30223,9952,14812,8744,6,5,7,8,10,4,5,3
E01000245,7410,5161,5822,17373,23685,12036,2831,4280,3,2,2,6,8,4,1,2
E01000246,24102,26407,25237,30855,31021,6680,11015,14005,8,9,8,10,10,3,4,5
E01000247,22872,23399,23312,31346,29239,4410,14300,17869,8,8,8,10,10,2,5,6
E01000248,23801,24389,25216,29917,31913,16304,8864,7831,8,8,8,10,10,6,3,3
E01000249,29706,30267,27483,31423,31768,15450,16996,19927,10,10,9,10,10,5,6,7
E01000250,20542,17436,18900,28578,30148,10826,15224,10078,7,6,6,9,10,4,5,4
E01000251,11959,9650,9439,19710,28528,12157,6582,6775,4,3,3,7,9,4,3,3
E01000252,17371,15262,13907,27954,29348,8476,14075,9851,6,5,5,9,10,3,5,4
E01000253,23868,25870,25939,27367,29682,2740,17162,23780,8,8,8,9,10,1,6,8
E01000254,27678,29101,31093,31539,30797,10028,16981,11052,9,9,10,10,10,4,6,4
E01000255,15557,10190,14775,26694,18470,7495,14863,18632,5,4,5,9,6,3,5,6
E01000256,21385,16693,26123,32224,26307,5746,12193,17180,7,6,9,10,9,2,4,6
E01000257,7943,3040,6495,17581,18808,9585,10813,9939,3,1,2,6,6,3,4,4
E01000258,22293,23984,26494,30023,31126,7970,9812,7812,7,8,9,10,10,3,4,3
E01000259,21210,15277,22480,28525,30683,10716,9282,19498,7,5,7,9,10,4,3,7
E01000260,14696,10498,18266,30565,27083,1648,11690,14900,5,4,6,10,9,1,4,5
E01000261,26029,26565,29382,31518,31753,3377,25953,14700,9,9,10,10,10,2,8,5
E01000262,18096,6583,21342,31713,24976,7243,24452,26409,6,3,7,10,8,3,8,9
E01000263,29649,32307,32288,32310,31864,6546,21449,19446,10,10,10,10,10,3,7,6
E01000264,18621,14502,22028,30645,27877,10969,13517,5210,6,5,7,10,9,4,5,2
E01000265,14019,8168,14886,25480,25022,5035,18990,9578,5,3,5,8,8,2,6,3
E01000266,25947,24032,27496,31757,30402,8911,8403,27532,8,8,9,10,10,3,3,9
E01000267,22685,18515,25619,29142,30525,4271,19463,18381,7,6,8,9,10,2,6,6
E01000268,13289,8427,11542,24660,25530,13662,11156,6696,5,3,4,8,8,5,4,3
E01000269,24654,21774,19761,30670,27798,18887,13793,16924,8,7,7,10,9,6,5,6
E01000270,24342,23354,25098,30677,30515,10624,11139,13557,8,8,8,10,10,4,4,5
E01000271,26782,23029,28598,31673,29968,7258,22689,17942,9,8,9,10,10,3,7,6
E01000272,29327,30619,30709,32139,32279,9411,13582,23786,10,10,10,10,10,3,5,8
E01000273,18547,12970,16274,30175,29276,11501,19003,8992,6,4,6,10,10,4,6,3
E01000274,14763,10672,12110,24980,25586,8580,12855,11767,5,4,4,8,8,3,4,4
E01000275,22074,16062,23710,29119,30727,4084,24428,20088,7,5,8,9,10,2,8,7
E01000276,29726,30955,31807,32227,31963,5955,26050,21141,10,10,10,10,10,2,9,7
E01000277,15573,11544,13480,25745,22340,7574,22033,9247,5,4,5,8,7,3,7,3
E01000278,29556,30790,32139,32376,31779,5453,26581,20467,10,10,10,10,10,2,9,7
E01000279,26897,32182,32252,32269,32110,3003,15729,17971,9,10,10,10,10,1,5,6
E01000280,30768,29991,32279,32417,31846,8222,26311,25910,10,10,10,10,10,3,9,8
E01000281,20112,19652,20407,23764,10559,14687,22529,15765,7,7,7,8,4,5,7,5
E01000282,23840,20000,25688,31252,31589,12372,16796,8224,8,7,8,10,10,4,6,3
E01000283,30365,30975,31397,32316,32173,5640,27405,28736,10,10,10,10,10,2,9,9
E01000284,15019,11578,13848,25358,23676,10615,16789,5411,5,4,5,8,8,4,6,2
E01000285,19727,13792,16723,30361,19625,11755,17348,23684,7,5,6,10,7,4,6,8
E01000286,12569,9624,11030,19891,15241,6281,13323,17625,4,3,4,7,5,2,5,6
E01000287,12215,8010,12056,20764,10016,11829,11227,18594,4,3,4,7,4,4,4,6
E01000288,20654,17131,21511,29226,26588,11313,10439,13003,7,6,7,9,9,4,4,5
E01000289,6032,2681,4027,20323,8768,9013,5994,16695,2,1,2,7,3,3,2,6
E01000290,15112,15594,15866,24109,20909,1309,13221,22372,5,5,5,8,7,1,5,7
E01000291,8510,4299,5985,24110,8647,10830,10140,18787,3,2,2,8,3,4,4,6
E01000292,23720,17220,20275,30367,30427,17681,19100,13668,8,6,7,10,10,6,6,5
E01000293,27855,28620,26751,31914,31165,16669,16340,10740,9,9,9,10,10,6,6,4
E01000294,20758,14232,15607,25024,29983,14014,20911,19876,7,5,5,8,10,5,7,7
E01000295,18648,20043,20526,24946,32053,10418,12228,3582,6,7,7,8,10,4,4,2
E01000296,17324,15397,18845,26362,28781,12708,13058,3449,6,5,6,9,9,4,5,2
E01000297,17530,13560,21195,28110,22489,4081,19413,10897,6,5,7,9,7,2,6,4
E01000298,19723,14728,24601,27874,30836,11856,14559,5341,7,5,8,9,10,4,5,2
E01000299,16558,12661,20628,23436,30675,13300,8653,4588,6,4,7,8,10,5,3,2
E01000300,22759,17448,20910,29108,31187,13409,20756,10735,8,6,7,9,10,5,7,4
E01000301,27283,24661,26827,30778,31619,11469,21823,13898,9,8,9,10,10,4,7,5
E01000302,14351,10560,11765,17443,30789,13884,15210,6720,5,4,4,6,10,5,5,3
E01000303,26793,23098,26457,29451,32231,6878,24377,21199,9,8,9,10,10,3,8,7
E01000304,17909,14610,14117,22136,30271,9034,25196,9772,6,5,5,7,10,3,8,4
E01000305,10603,5640,10772,23989,18254,8935,13448,5749,4,2,4,8,6,3,5,2
E01000306,14895,13949,17672,27866,20577,11789,4505,6258,5,5,6,9,7,4,2,2
E01000307,12296,8802,15449,21406,19945,4471,7060,12329,4,3,5,7,7,2,3,4
E01000308,5509,3201,4313,18841,15178,6458,7391,2532,2,1,2,6,5,2,3,1
