lsoa01_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_and_Access_rank,Crime_rank,Environment_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_and_Access_decile,Crime_decile,Environment_decile
E01015633,3949,3809,2468,8298,4748,14847,1520,17334,2,2,1,3,2,5,1,6
E01015634,5923,4711,7745,8008,2764,15454,3195,17891,2,2,3,3,1,5,1,6
E01015635,29032,28971,29502,26288,24500,10484,28630,22865,9,9,10,9,8,4,9,8
E01015636,19941,23385,26607,22024,22454,1109,23264,19153,7,8,9,7,7,1,8,6
E01015637,4344,3397,4087,11019,2235,7015,3443,25865,2,2,2,4,1,3,2,8
E01015638,9931,13643,10295,12584,15908,8335,419,25832,4,5,4,4,5,3,1,8
E01015639,3132,4512,3367,10407,2487,3497,361,21831,1,2,2,4,1,2,1,7
E01015640,6936,9803,11207,15550,3653,5475,376,18234,3,4,4,5,2,2,1,6
E01015641,5630,6021,6257,11941,3765,4258,1582,27009,2,2,2,4,2,2,1,9
E01015642,2388,2378,3390,6324,2102,3258,818,26282,1,1,2,2,1,2,1,9
E01015643,7208,10305,9757,11585,6110,2147,2117,16896,3,4,4,4,2,1,1,6
E01015644,16544,15208,18755,19538,17839,1863,19714,30420,6,5,6,7,6,1,7,10
E01015645,25140,23431,22057,24103,23405,8455,25156,28529,8,8,7,8,8,3,8,9
E01015646,22968,29942,26790,29924,29049,2118,6743,31451,8,10,9,10,9,1,3,10
E01015647,1977,2168,2947,3131,1930,1732,2652,29384,1,1,1,1,1,1,1,10
E01015648,27759,27963,28499,27911,30495,2954,31228,32482,9,9,9,9,10,1,10,10
E01015649,23735,18029,25606,30717,29088,11445,7315,29078,8,6,8,10,9,4,3,9
E01015650,26349,28027,22514,25536,25749,12849,14022,26522,9,9,7,8,8,4,5,9
E01015651,17694,13414,18371,21788,18410,18516,8761,16983,6,5,6,7,6,6,3,6
E01015652,11604,8290,16694,22513,9564,19508,3209,9282,4,3,6,7,3,7,1,3
E01015653,15420,13564,15662,18675,22058,5855,8356,21986,5,5,5,6,7,2,3,7
E01015654,7661,7025,12048,14046,9046,13281,1487,4320,3,3,4,5,3,5,1,2
E01015655,12526,13754,17467,15427,27872,13867,1472,4917,4,5,6,5,9,5,1,2
E01015656,6487,6080,5627,11027,5476,6780,3901,21820,2,2,2,4,2,3,2,7
E01015657,2281,2071,5187,8210,1584,2197,249,26617,1,1,2,3,1,1,1,9
E01015658,2100,2427,2154,5858,1638,10673,398,23443,1,1,1,2,1,4,1,8
E01015659,22547,22552,25841,27926,17080,11644,6956,27615,7,7,8,9,6,4,3,9
E01015660,5818,7533,5098,7817,6590,6347,1958,16056,2,3,2,3,3,2,1,5
E01015661,9107,9511,5660,9605,6473,16060,8723,27447,3,3,2,3,2,5,3,9
E01015662,6440,7307,10181,14989,1990,3619,1698,30087,2,3,4,5,1,2,1,10
E01015663,3449,3945,3114,5000,3039,9528,2081,17419,2,2,1,2,1,3,1,6
E01015664,3179,3171,3771,7325,1253,9369,1335,25793,1,1,2,3,1,3,1,8
E01015665,9681,5707,13804,10330,8425,17987,6093,15169,3,2,5,4,3,6,2,5
E01015666,7734,7226,4934,12083,7258,11629,10663,11868,3,3,2,4,3,4,4,4
E01015667,11645,11722,16051,14850,8924,7172,3339,24411,4,4,5,5,3,3,2,8
E01015668,4750,4296,7181,8019,4752,19290,404,8413,2,2,3,3,2,6,1,3
E01015669,13975,17555,13836,17016,7611,23666,4630,15524,5,6,5,6,3,8,2,5
E01015670,14262,15852,11101,20942,7427,16042,10079,21653,5,5,4,7,3,5,4,7
E01015671,24978,25777,20205,24284,13962,21837,22314,24353,8,8,7,8,5,7,7,8
E01015672,21685,19221,19601,20687,20014,11244,15645,32158,7,6,7,7,7,4,5,10
E01015673,8201,5126,6901,11225,5212,7482,18434,31660,3,2,3,4,2,3,6,10
E01015674,6092,7152,6683,9777,4403,4947,4820,10156,2,3,3,4,2,2,2,4
E01015675,18279,18560,19599,23689,17021,18812,4941,15304,6,6,7,8,6,6,2,5
E01015676,12388,13289,9579,15155,15153,12324,5178,19393,4,5,3,5,5,4,2,6
E01015677,9245,13422,14467,14415,7805,8055,3060,3202,3,5,5,5,3,3,1,1
E01015678,16208,20531,19293,16724,16155,3540,5864,31202,5,7,6,6,5,2,2,10
E01015679,19773,21217,18456,20452,20006,4907,16894,27881,7,7,6,7,7,2,6,9
E01015680,5705,5070,3361,6656,6933,7722,6147,30071,2,2,2,3,3,3,2,10
E01015681,28171,26605,28154,26309,22598,12578,18628,31696,9,9,9,9,7,4,6,10
E01015682,21474,17070,21910,23797,25066,6572,16231,28626,7,6,7,8,8,3,5,9
E01015683,23083,20934,21729,24877,21388,17036,9261,27260,8,7,7,8,7,6,3,9
E01015684,27101,27899,25558,21873,26094,10328,19662,28895,9,9,8,7,9,4,7,9
E01015685,23802,26573,25767,27301,16070,5880,14387,31815,8,9,8,9,5,2,5,10
E01015686,17407,13013,14177,14858,22774,9147,21480,31044,6,5,5,5,8,3,7,10
E01015687,25915,23122,22843,26885,28692,11124,14509,30633,8,8,8,9,9,4,5,10
E01015688,17094,14520,14243,13190,27160,12400,19350,14930,6,5,5,5,9,4,6,5
E01015689,29654,26895,28989,28877,30846,10349,21090,31857,10,9,9,9,10,4,7,10
E01015690,26796,24614,26523,25009,31237,14635,10119,27448,9,8,9,8,10,5,4,9
E01015691,19362,13563,23030,15982,21493,12286,14505,24832,6,5,8,5,7,4,5,8
E01015692,11440,7047,11373,15959,15496,16874,10035,9692,4,3,4,5,5,6,4,3
E01015693,24687,25259,22544,19668,28235,6829,22050,27586,8,8,7,7,9,3,7,9
E01015694,25223,24489,23399,21347,22502,8519,23680,30581,8,8,8,7,7,3,8,10
E01015695,24371,16370,27388,25178,25184,12053,18485,24713,8,6,9,8,8,4,6,8
E01015696,23209,17815,29533,15352,25984,4893,30113,31834,8,6,10,5,8,2,10,10
E01015697,26700,26685,28504,22038,26225,5259,24604,31510,9,9,9,7,9,2,8,10
E01015698,3185,2914,6163,2710,4608,6370,6823,2384,1,1,2,1,2,2,3,1
E01015699,2058,1390,4324,5292,8400,7416,1045,1188,1,1,2,2,3,3,1,1
E01015700,16379,10057,19562,16396,21696,12920,10053,21077,6,4,7,6,7,4,4,7
E01015701,3798,1133,6263,9549,4271,11503,10032,4167,2,1,2,3,2,4,4,2
E01015702,8072,4127,11981,11581,10129,12969,6079,7824,3,2,4,4,4,4,2,3
E01015703,3710,1575,4644,7238,3457,11211,10833,7238,2,1,2,3,2,4,4,3
E01015704,4068,1195,8301,7091,5306,12364,11017,2890,2,1,3,3,2,4,4,1
E01015705,6416,4483,12314,13168,6492,8621,6041,1744,2,2,4,5,2,3,2,1
E01015706,24872,17733,26095,23038,23844,12636,19370,30864,8,6,9,8,8,4,6,10
E01015707,24484,27373,25244,22228,21364,3970,25380,29185,8,9,8,7,7,2,8,9
