ward_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_and_Access_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
E05010209,9.06982716763006,0,0,0.05438670520231214,0,0,0.04410982658959538,0,0,5.675157803468208,0,0,-0.6695098265895953,0,0,-0.47273352601156066,0,0,17.210659537572255,0,0,28.37740462427746,0.5,0.5369942196531792
E05010210,12.171285963763372,0,0,0.0468548351888234,0,0,0.04336935166994106,0,0,4.2989666011787815,0,0,-0.9560275049115914,0,0,-0.27609648548351884,0,0,37.04347587862912,0.5,0.8377462976366915,33.893707487448154,0,0.44644297383931336
E05010211,10.597117874176698,0,0,0.05958005905064729,0,0,0.05242357483533954,0,0,5.690546672723143,0,0,-0.35350579150579153,0,0,-0.5664860322507381,0,0,28.324816488757666,0.3333333333333333,0.5176620007889358,14.977501249148307,0,0
E05010212,13.184810004387888,0,0,0.07114436156208864,0,0,0.05804914436156208,0,0,19.089384379113646,0,0.16761853074986716,-0.2739258446687144,0,0,-0.6901592803861343,0,0,32.493057920140416,0,0.6414505438673471,4.90552786309785,0,0
E05010213,13.660566198901767,0,0,0.06051799877974375,0,0,0.04396095179987797,0,0,5.603847467968273,0,0,-0.7145131177547285,0,0,-0.27678828553996343,0,0,36.02336424649177,0.5,0.7693490896246106,38.41228065893838,0,0.7404691564175845
E05010214,24.055088293870327,0,0.13341330755523462,0.1469380393892454,0,0.21622156741710435,0.10586147377738438,0,0.1665366114999825,24.93711993803939,0,0.23278321938947832,0.39218787342332373,0,0.049973794854474056,0.17360190307590176,0,0.14997495952760853,7.416246736003541,0,0,39.13039123699934,0.6666666666666666,0.650365125027661
E05010215,21.883438302752293,0,0.05713725253500721,0.12706009174311925,0,0.02258027522935777,0.09404793577981652,0,0,22.980315825688074,0,0.06536395461129885,0.6078472477064221,0,0.42246076774505065,0.11237912844036699,0,0,6.817548394495414,0,0,32.9504373853211,0.3333333333333333,0.451605504587156
E05010216,6.7742641242937855,0,0,0.046446680790960454,0,0,0.047219279661016945,0,0,2.341968220338983,0,0,-0.3571498940677966,0,0,-0.4020693855932203,0,0.037615224501932776,7.04484904661017,0,0,17.886893714689265,0,0
E05010217,26.491504980079682,0.3333333333333333,0.2108233731739708,0.14912749003984063,0.3333333333333333,0.2108233731739708,0.1295161022576361,0.3333333333333333,0.2108233731739708,29.133712483399734,0.3333333333333333,0.29665067798979516,0.5314231407702523,0.3333333333333333,0.2108233731739708,0.10283499335989375,0,0.16033672328230933,10.031748505976095,0,0,31.083933432934927,0,0.42699290557069963
E05010218,8.164823215476984,0,0,0.04880053368912609,0,0,0.0436971314209473,0,0,5.38022281521014,0,0,-0.41735290193462304,0,0,-0.8204623082054703,0,0,22.519182121414275,0,0,20.364214809873246,0,0.16341771707454086
E05010219,14.746517202481668,0,0,0.08693965031020869,0,0,0.08088155668358714,0,0,12.762163000564017,0,0,0.13256852791878174,0,0.040089648825956586,-0.1873045685279188,0,0,13.207078962210941,0,0,25.226458544839254,0,0.14087481817911954
E05010220,9.767671199244571,0,0,0.06117261567516525,0,0,0.06549121813031161,0,0,5.9475439093484415,0,0,-0.0032817752596789444,0,0,-1.1434194523135033,0,0,16.44562568460812,0,0,15.302084041548632,0,0
E05010221,26.626012470151235,0,0.13145955230341705,0.16519235871583976,0,0.20946851740654368,0.14068187848235605,0,0.3914894359805057,24.197321836030778,0,0.053450587200290445,0.7036123640222871,0,0.4174924243482146,0.4279015654019634,0,0.25757216070156813,8.328637569647121,0,0,20.24627752719554,0,0.21484129533172275
E05010222,14.1235,0,0,0.07250000000000001,0,0,0.072,0,0,16.96,0,0,-0.059000000000000004,0,0,-0.6970000000000001,0,0,8.591999999999999,0,0,37.3775,0.5,0.6197368421052631
E05010223,11.744350302185032,0,0,0.06773523942352394,0,0,0.06612691771269177,0,0,11.420122268712227,0,0,-0.00433449558344957,0,0,-0.5996933984193398,0,0,19.557976754997675,0,0,16.552135053463505,0,0.05130722552545936
E05010224,8.925030508474576,0,0,0.06193123486682809,0,0,0.0582593220338983,0,0,10.071369491525424,0,0,-0.47731888619854723,0,0,-1.0088460048426149,0,0,16.143410411622277,0,0,17.613492736077482,0,0
