dz11_code,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
S01009238,701,410,0.1,70,0.11,45,90,84.01985051,184.1109749,89.48724314,0.210884354,0.058823529,100.8730155,0.78571000000000002,5.5909090909000003,119.47770550000001,0.077586207,0.037037,5.951125337,4.564316038,4.360980458,3.68800885,6.243480458,3.391756757,12.08006065,12.07251348,18.51359838,0,10.241605241605241,146.09993211990357,92,9,0.126721763,0.012396694
S01009239,767,500,0.16,119,0.12,58,130,213.8718447,36.11251593,119.9797672,0.223376623,0.037037037,129.620132,0.80203000000000002,5.46875,117.8652414,0.052238806,0.04,4.892459631,3.495478662,3.266608997,2.958632219,5.333318916,2.554295302,8.972439446,8.736066897,15.40170127,0,14.338247338247337,186.93933948171235,93,7,0.1073903,0.008083141
S01009240,609,433,0.3,183,0.28,123,200,282.9212422,454.4735087,137.067551,0.239130435,0.092592593,150.5086824,0.75832999999999995,5.125,165.7122068,0.279069767,0.018868,3.919419643,2.04063244,1.867626488,2.435083333,3.952797619,3.438170732,7.622328869,7.291056548,13.0980506,0,51.208026208026205,840.85428913015107,75,5,0.111607143,0.007440476
S01009241,971,595,0.27,263,0.2,120,175,218.9733166,140.5388499,110.7921787,0.236526946,0.021276596,139.3746973,0.68326999999999993,4.9375,164.5406424,0.056910569,0.047904,4.374226257,2.562547486,2.360351955,2.201415385,4.437089385,2.816634146,9.96272067,9.388103352,16.19172346,0,33.797297297297291,348.06691346341188,87,8,0.097206704,0.008938547
S01009242,691,441,0.08,56,0.06,25,45,129.908522,194.3126357,85.40752784,0.166429588,0.052631579,86.8581695,0.91156000000000004,5.88,79.3649543,0.02247191,0.027027,4.076303448,2.843227586,2.560551724,2.629208333,5.945868966,2.410652174,8.424172414,8.414248276,14.85495862,0,25.604013104013102,370.535645499466,42,6,0.057931034,0.008275862
S01009243,946,567,0.1,93,0.09,48,125,87.85454706,96.91196946,80.8391111,0.227712138,0.054054054,123.2660802,0.78551000000000004,5.6976744186000001,114.46349150000002,0.035502959,0.034014,2.628297607,2.758158026,2.857163509,3.866174603,4.731183948,4.867609649,10.01011466,9.628793619,13.22875872,0,13.314086814086814,140.74087541317985,104,2,0.103688933,0.001994018
S01009244,736,442,0.02,17,0.02,9,45,29.57738341,21.48315116,50.84312472,0.183510638,0,71.27013112,0.85616000000000003,5.8214285714000003,63.732552590000004,0.010204082,0.141414,3.540912162,3.833092752,3.599330467,3.850125,5.424987715,6.04344,17.01364865,12.86305897,16.27679975,0.097142857,*,*,21,7,0.025957973,0.008652658
S01009245,816,473,0.04,31,0.03,15,60,71.00116527,0,47.95744571,0.164179105,0.090909091,80.02689882,0.82979000000000003,5.8461538462,69.66479599,0.022988506,0.090909,2.751527108,2.610379518,2.522039157,3.840050251,4.851403614,5.738677686,10.73489759,7.762457831,12.52093373,0.082228117,7.1691236691236684,87.856907709848869,25,13,0.030120482,0.015662651
S01009246,828,491,0.12,97,0.08,40,105,39.74950169,81.7140233,102.5064927,0.252788104,0.085714286,99.60733476,0.84831000000000001,5.7272727272999999,147.1316575,0.024390244,0.025862,2.014194342,1.87395449,2.417586101,2.779375,4.287416974,5.229888889,6.572287823,6.33251845,10.87972632,0,21.507371007371006,259.7508575769445,89,5,0.110834371,0.00622665
S01009247,997,671,0.09,88,0.07,49,105,50.1769595,29.06589445,144.5781736,0.200985222,0.02173913,95.04960395,0.76800000000000002,5.4827586207000003,141.9420652,0.028301887,0.035294,1.676799505,1.883081683,1.719492574,3.099326923,3.654220297,4.123373494,9.084118812,8.149277228,12.84365347,0,12.289926289926289,123.26907010959165,112,13,0.110891089,0.012871287
S01009248,659,391,0.07,49,0.06,25,75,25.98484634,26.58354485,64.16478295,0.19126506,0.055555556,80.09348123,0.85416999999999998,5.65,89.5802645,0.026315789,0.037313,2.219774709,2.157579942,2.259723837,3.501619718,4.193168605,3.563846154,7.060087209,11.85002907,14.06877907,0,15.36240786240786,233.11696301074142,38,0,0.055232558,0
