lsoa_code,Education_decile,Children_and_young_people_decile,Adult_skills_decile,Housing_and_Access_decile,Geographical_barriers_decile,Wider_barriers_decile,Environment_decile,Indoors_decile,Outdoors_decile,Education_rank,Children_and_young_people_rank,Adult_skills_rank,Housing_and_Access_rank,Geographical_barriers_rank,Wider_barriers_rank,Environment_rank,Indoors_rank,Outdoors_rank
E01009640,2,2,1,4,9,2,2,2,2,3472,4968,2538,10330,29005,3550,5637,6537,6174
E01009641,2,2,2,5,9,2,2,3,2,5852,6100,5693,13994,28338,5115,6294,7371,5962
E01009642,4,2,7,2,5,2,2,2,3,10764,5509,20540,5121,14881,3696,4134,4450,7521
E01009643,6,6,7,8,6,6,2,1,5,19520,16817,21273,24542,18616,17175,3591,2719,14507
E01009644,7,7,6,9,8,6,2,2,5,20979,22529,18248,29318,24506,19475,4370,3376,13993
E01009645,5,5,6,9,9,5,2,1,5,16390,14352,17846,27852,28351,14615,3848,2784,15829
E01009646,5,4,7,8,7,5,2,2,5,15168,10735,20394,23872,21334,14234,4462,3285,15216
E01009647,6,7,6,7,8,4,2,2,3,19637,20859,17379,22004,23574,11293,3600,4099,6834
E01009648,8,8,8,7,5,6,1,1,4,24248,22993,23769,22196,14628,18464,2138,2061,9950
E01009649,7,7,6,9,9,5,3,3,4,21029,21087,19588,27876,27851,14916,7764,6746,10706
E01009650,5,4,6,4,9,2,1,1,3,13412,10346,16736,11184,29159,3851,992,1139,8747
E01009651,2,2,2,4,9,2,3,3,3,4155,4170,4347,11042,27534,4048,7069,7394,7419
E01009652,8,7,7,6,4,5,4,3,4,23611,22571,22908,17406,12387,15571,10486,8691,12514
E01009653,7,7,6,8,8,5,4,3,6,20331,22249,17385,25878,24023,14699,10700,7689,16594
E01009654,4,4,5,9,9,6,1,1,4,11827,10249,13449,28527,26405,16752,2304,1987,12080
E01009655,4,6,3,5,7,2,3,2,4,11600,17184,7692,13401,21963,6372,7631,6550,10969
E01009656,3,4,2,5,9,2,3,3,3,6848,10570,4474,13742,27848,5103,7181,6784,9083
E01009657,4,4,4,7,9,4,2,1,4,12142,11971,12032,22973,28242,10022,3449,3060,10937
E01009658,4,5,3,8,9,4,1,1,3,11798,14562,9402,23712,26668,11201,3066,3283,7811
E01009659,2,2,2,4,10,2,2,2,3,4141,5396,3318,11492,31511,3641,5123,5232,8076
E01009660,4,4,3,5,10,2,2,2,3,11041,13021,9249,16146,30455,5636,3913,4205,7620
E01009661,3,2,4,4,9,2,1,1,3,6664,4411,10181,12295,28881,4317,2204,2405,8012
E01009662,3,6,2,4,6,2,3,3,2,8983,17467,4553,11429,18380,6442,8424,9688,6155
E01009663,5,5,4,3,3,4,3,2,5,13271,16326,10401,8668,8538,10652,7553,5651,14232
E01009664,3,3,2,5,6,3,1,1,4,7244,9494,5582,14582,18477,8385,3088,2835,10331
E01009665,9,9,8,4,3,5,7,7,5,27176,26422,26027,10349,6903,15577,22424,22331,15330
E01009666,10,10,10,7,4,8,4,3,5,31268,30914,30187,21876,11117,23747,10265,7584,15471
E01009667,9,10,8,9,7,6,7,7,5,28757,31950,24128,27115,21754,17911,21269,22147,13271
E01009668,9,8,9,5,3,6,3,2,6,27639,26152,27181,14026,8511,17462,9271,5970,19504
E01009669,10,10,9,4,3,6,4,3,5,31145,31763,29070,12347,6765,19008,12133,9237,15851
E01009670,10,9,9,9,8,6,6,4,6,29758,28717,28882,27070,23368,16593,16717,12906,19054
E01009671,10,10,10,1,1,6,2,1,9,32341,32796,30921,2788,1848,17217,4875,2514,28251
E01009672,10,10,9,7,4,7,7,8,5,31109,31604,29147,21150,11860,21186,22272,23054,14094
E01009674,3,3,3,4,6,3,4,3,7,8330,7654,9145,12686,18177,7289,12834,8307,22333
E01009676,5,5,5,7,7,4,2,2,5,14775,13458,15528,21004,20368,12222,6301,4687,14475
E01009679,2,2,2,3,8,2,6,5,6,4245,3755,5006,9296,25913,3594,17982,15174,17147
E01009681,5,5,6,7,7,4,2,1,4,15291,13239,16840,20725,21288,11434,3428,2782,12864
E01009682,6,5,6,8,9,4,3,2,6,16500,13883,18673,26140,28420,12642,8829,5977,17573
E01009683,2,1,4,6,7,4,3,2,5,5048,2198,11196,18755,20734,10245,7369,5586,13905
E01009684,3,2,3,3,6,2,5,4,5,7387,6086,9086,9718,17232,5833,13994,11396,14968
E01009685,7,7,6,8,7,5,1,1,5,20765,21414,18816,24425,22003,14388,1966,1405,16376
E01009686,8,8,8,5,3,6,3,3,4,25208,24560,24007,15247,9174,17794,9768,8547,10926
E01009687,8,8,8,9,8,6,3,3,4,24705,23220,24373,28162,26020,16435,8691,7573,10771
E01009688,4,2,8,6,10,2,1,1,3,12530,6282,23888,18744,32001,6531,863,1025,8694
E01009689,6,4,9,6,10,2,1,1,3,17083,10331,26651,17570,30522,6280,829,1042,8022
E01009690,7,5,8,7,10,3,1,1,4,20177,14504,26216,22117,31823,8356,1883,1765,10538
E01009691,6,4,9,9,10,4,1,1,3,18268,11879,26468,26287,32032,11325,1209,1289,9363
E01009692,7,5,8,9,7,7,5,4,5,20445,15730,24830,28899,22904,20006,13955,11703,14080
E01009693,7,6,8,9,9,5,4,3,6,21529,17601,24594,28654,28126,15905,9962,6718,18324
E01009694,8,7,8,10,10,6,5,4,5,23839,21510,24528,30063,29573,17443,13460,10940,14657
E01009695,7,7,7,9,7,7,5,4,6,21860,19992,22362,27219,19772,19907,14215,11017,16685
E01009696,8,8,8,9,7,6,4,3,6,24726,24184,23439,27482,21902,18391,11623,8558,16517
E01009697,8,7,8,5,3,6,4,3,7,23767,20818,25192,15356,8832,18622,12565,8533,20137
E01009698,9,9,8,5,3,6,7,7,6,27444,29218,23995,15380,9272,17792,22688,20426,18995
E01009699,6,6,5,7,6,4,7,6,6,17245,17911,15730,20315,18147,13045,20824,17835,19158
E01009700,1,1,1,3,6,2,5,4,7,2216,2742,2188,8771,19550,4603,15648,11167,20976
E01009701,2,2,3,5,7,3,7,6,6,6472,5094,8414,15774,22247,7606,21618,19369,18226
E01009702,2,2,3,4,6,2,4,3,7,6378,6016,6944,10973,19023,5969,12282,8168,20746
E01009703,6,4,7,3,3,4,9,9,8,16462,11211,22955,7852,7161,11542,29061,26577,25043
E01009704,9,8,8,6,4,5,8,8,5,26648,26118,25276,17775,12412,15983,24481,24986,15890
E01009705,8,9,8,7,4,8,9,8,8,25605,26341,23076,20570,9986,24047,27479,24966,23141
E01009706,7,8,7,5,4,5,6,4,8,22723,23849,20172,14932,10831,14768,16425,11381,23196
E01009707,7,8,6,3,2,5,6,5,5,22487,24591,19134,7822,5582,14632,17494,14937,16317
E01009708,7,7,6,7,6,6,4,3,5,21409,22824,18760,22847,16571,17072,11277,8664,14921
E01009709,1,1,1,3,7,2,4,3,4,1393,2645,1072,7587,22878,3360,10305,8704,11942
