msoa_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_Score,Housing_Proportion,Housing_Extent,Access_Score,Access_Proportion,Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
W02000001,21.072366621676647,0,0.028793425295158662,22.22669767704514,0,0.1268467114354287,21.962800427639333,0,0.1268467114354287,18.76309554588899,0,0,14.258215354816214,0,0,10.953490740210963,0,0,27.57910988376877,0,0.34140100366069476,39.45064163580723,0.4,0.534832965647652,3.2366992774755876,0,0
W02000002,12.377121437754012,0,0,10.253742605290544,0,0,11.454730037886119,0,0,8.725199381831594,0,0,6.935767635999533,0,0,3.42191810933432,0,0,17.650021254392897,0,0.01719115126966815,37.935116367547906,0.25,0.651736620723018,2.7851073376930984,0,0
W02000003,34.220632084889445,0.14285714285714285,0.5669190468474572,44.89794196846255,0.14285714285714285,0.7826788143041623,43.04286986424666,0.2857142857142857,0.6879633312219816,35.882392536445565,0,0.48382164479208095,32.15965207191623,0,0.37235356793887875,42.04600912097957,0.2857142857142857,0.5434371332753939,14.320783981939266,0,0.057678691551156076,17.99427902897677,0,0.07851110423694276,2.4397495128114564,0,0
W02000004,14.133422897509629,0,0,13.057429712857944,0,0,9.885860304037017,0,0,11.982432490169101,0,0,10.846739765483813,0,0,11.895356027921322,0,0,15.230833369255839,0,0.19973544022602605,36.474367015529296,0.3333333333333333,0.5040295041660975,9.45969484657451,0,0
W02000005,12.586163297669822,0,0,10.186358919726036,0,0,10.211272220400708,0,0,17.03357651077645,0,0.1288804110868888,6.769651545729941,0,0,7.58597444221006,0,0,17.134806426661537,0,0.13327156649018995,28.81212202244497,0.4,0.35254437869822486,4.77177260703148,0,0
W02000006,18.426906434604863,0,0.16619521882716964,21.1402060510961,0.25,0.23304126625211985,20.203623727537877,0,0.13307882835976315,15.07975614702346,0,0.1551564220047008,17.64947420760882,0,0.07788484424741898,27.407916678624503,0,0.29847185445241137,9.854419752924818,0,0.011284624081401908,24.514970733061336,0,0.3702604801999345,1.2194920259731488,0,0
W02000007,17.360757442674725,0,0,16.78744370530221,0,0,15.03304225824913,0,0,13.992916339936778,0,0,13.776224783658469,0,0,10.849547915957064,0,0,27.062869164765875,0,0.2874527398111786,38.14402557784216,0,0.5967552269586011,1.6705545892426013,0,0
W02000008,7.807316317468058,0,0,7.496558895868057,0,0,7.919331107511075,0,0,5.088098633022954,0,0,8.011612632745265,0,0,19.865066094285073,0.25,0.17592295345104333,12.305992847421992,0,0.1421272281828166,4.823671480223435,0,0,3.294097270577849,0,0
W02000009,17.17172884505977,0,0,13.753846891954197,0,0,12.122720807274694,0,0,14.427489949456147,0,0,11.736556844549137,0,0,9.085622687174155,0,0,37.9540769095319,0.25,0.5781668686627857,43.78628616763307,0,0.7900846396852833,4.177133938527243,0,0
W02000010,18.152885165254848,0.2,0.12778820095893267,11.549660370580883,0.2,0.12778820095893267,10.24701755278007,0.2,0.12778820095893267,15.782170108016363,0,0.09113316436808092,15.37655154064436,0.2,0.12778820095893267,44.24688370975401,0.6,0.5397210976158344,53.64056840277111,0.6,0.866249739420471,23.480894933315618,0,0.1538639829718135,10.52712018024807,0.2,0.15301229935376276
