ward_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Housing_Proportion,Housing_Extent,Access_Proportion,Access_Extent,Environment_Proportion,Environment_Extent
W05000109,0,0,0,0,0,0,0,0,0,0.023378212974296174,0,0,0,0,0,0.25360755008696767,0,0
W05000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6657894736842105,0,0.8552631578947368,0,0.8552631578947368
W05000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000112,0.5,0.4522870662460568,0.5,0.4522870662460568,0.5,0.4522870662460568,0,0.06546260169350816,0.5,0.4522870662460568,0.5,0.4522870662460568,0,0,0,0,0,0.12973497426531624
W05000113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8552631578947368,1,1,0,0
W05000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,1,1,0,0
W05000115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47631578947368414
W05000116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5710526315789473,1,1,0,0
W05000117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3342105263157894,0,0
W05000118,0.3333333333333333,0.2870655001182313,0.3333333333333333,0.2870655001182313,0.3333333333333333,0.2870655001182313,0,0.13673383031947328,0,0.1775273487573272,0,0.16254993715075103,0,0,0,0,0,0
W05000119,0,0,0,0.10644190215645431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04292960694707825
W05000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14473684210526305,0,0
W05000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5710526315789473,1,1,0,0
W05000124,0,0,0,0.15920681289300387,0,0.3432440461454671,0,0,0,0,0,0.23302223102440953,0,0,0,0.1329157795712234,0,0
W05000125,0,0,0,0.1349525543418294,0,0,0,0,0,0,0,0.08469436169038948,0,0.06794163080657617,0,0.1349525543418294,0,0
W05000126,0.3333333333333333,0.4331581507892816,0.3333333333333333,0.448324776914312,0.3333333333333333,0.4506606152940122,0,0.2643197326812531,0.3333333333333333,0.32717100462174653,0.3333333333333333,0.6189133134465938,0.6666666666666666,0.6966674774993918,0,0,0,0
W05000127,0,0,0,0,0,0.16404844598806656,0,0,0,0,0.5,0.571912013536379,0.5,0.571912013536379,0,0.20390506723661944,0,0
W05000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000129,0,0.21730332961049834,0,0.1699034971380706,0,0.16656123481781374,0.25,0.3488329785006282,0,0.4078406393969007,0,0.2809507189724975,0,0,0,0.10467681139187489,0,0.37262669272651117
W05000130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000131,0,0,0,0.09474891682647914,0,0.07590382839690318,0,0,0,0,0,0,0,0,0,0,0,0
W05000132,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5236842105263158,0,0
W05000134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,1,1,0,0
W05000135,0,0.5023255813953489,0.5,0.5023255813953489,0,0.33444308445532434,0,0.5023255813953489,0,0,0,0.16788249694002447,0.5,0.7393757649938801,0,0.26305997552019583,0,0
W05000137,0,0,0,0.09736842105263155,0,0,0,0.7605263157894736,0,0,0,0,0,0.09736842105263155,0,0,0,0
W05000138,0,0.0997567214390969,0,0.11511941501932325,0,0.29232212861789963,0,0.09234854171879775,0,0,0,0.4687199377206884,0,0.6995203936942197,0,0,0,0
W05000139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000140,0,0.08486028672280173,0,0.21040701228530295,0,0.12933190037664405,0,0,0,0.08486028672280173,0,0.27318037506655357,0,0.21040701228530295,0,0,0,0.05435704285066355
W05000143,0,0.37290087054198257,0,0.5228868295422634,0,0.4472058410558832,0,0.05091266498174669,0,0.27382757652344847,0,0.3976691940466161,0,0,0,0,0,0
W05000144,0,0.2810477657935285,0,0.29583975346687214,0.25,0.29583975346687214,0,0,0,0.014791987673343585,0.25,0.29583975346687214,0,0.03345227475468329,0,0,0,0
W05000145,0,0.381578947368421,0,0.2868421052631578,0,0.2868421052631578,0,0.381578947368421,0,0.713157894736842,0,0.7605263157894736,0,0,0,0,0,0.6657894736842105
W05000146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
W05000148,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8078947368421051,1,1,0,0
W05000150,0,0,0,0,0,0,0,0,0,0,0,0.7605263157894736,0,0,0,0,0,0
W05000151,0,0,0,0,0,0,0,0.1322633139392318,0,0,0,0,0.5,0.6061169442029469,0.5,0.9462226086181146,0,0.34155910742548873
W05000152,0,0,0,0,0,0.6184210526315789,0,0,0,0.09736842105263155,0,0.8552631578947368,0,0.7605263157894736,0,0,0,0
W05000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000154,0.5,0.5588605465069323,0.5,0.4539641943734015,0.5,0.4539641943734015,0.5,0.6623199623098668,0.5,0.4539641943734015,0,0.5841364921254542,0,0.44113945349306766,0,0.4928691613945349,0,0
W05000155,0,0,0,0.07852307061061578,0,0,0,0,0,0,0,0,0,0.1962335409750456,0,0,0,0
W05000156,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
