lad_code,Children_and_young_people_Proportion,Children_and_young_people_Extent,Adult_skills_Proportion,Adult_skills_Extent,Geographical_barriers_Proportion,Geographical_barriers_Extent,Wider_barriers_Proportion,Wider_barriers_Extent,Indoors_Proportion,Indoors_Extent,Outdoors_Proportion,Outdoors_Extent
E06000001,0.1206896551724138,0.3129587723660597,0.29310344827586204,0.4400282623464974,0.034482758620689655,0.1704287205071859,0,0,0,0.03357677150345213,0,0
E06000002,0.3488372093023256,0.47541973788106034,0.38372093023255816,0.5258953526591584,0.046511627906976744,0.13480424195943164,0,0.0020620992938882978,0.011627906976744186,0.0728184775340116,0,0.06526935384545636
E06000003,0.13636363636363635,0.3097905183505007,0.19318181818181818,0.29786979086449833,0.056818181818181816,0.2047593961626599,0,0,0.011363636363636364,0.07106169365063807,0,0
E06000004,0.18333333333333332,0.2902589002907103,0.15833333333333333,0.2818962744608843,0.1,0.2577077819238946,0,0,0,0.013525269015490084,0,0.00831164305549529
E06000005,0.2153846153846154,0.3807141097994897,0.13846153846153847,0.2434516639340762,0.06153846153846154,0.15737898728973038,0,0,0,0.060207714941989954,0,0
E06000006,0.11392405063291139,0.29095101012974833,0.2911392405063291,0.43466391240295044,0.13924050632911392,0.27979717659587455,0,0,0.0759493670886076,0.21100725974296214,0.012658227848101266,0.05201947034902338
E06000007,0.07874015748031496,0.18732142465664028,0.08661417322834646,0.1571920469127834,0.07874015748031496,0.2593832322079792,0,0.013039307606145929,0.07086614173228346,0.13479858031932873,0,0.04861761360478875
E06000008,0.13186813186813187,0.2753510350041861,0.37362637362637363,0.5159337819443099,0.03296703296703297,0.09459315678412565,0,0.0017972500982463722,0.2857142857142857,0.47128516579431473,0,0.14587521856258434
E06000009,0.26595744680851063,0.43941720820794583,0.2553191489361702,0.4128297030729104,0,0.01462443082778649,0,0.025375505336306326,0.4148936170212766,0.6590826291982435,0,0.1430894438690868
E06000010,0.2891566265060241,0.4836061477685253,0.40963855421686746,0.5561044150575944,0.018072289156626505,0.09772954697410947,0,0.2530944646667708,0.18072289156626506,0.3358650867824037,0.21084337349397592,0.6893771154065027
E06000011,0.07142857142857142,0.12851260258097044,0.04285714285714286,0.10784145525444094,0.21428571428571427,0.3519740212869232,0,0.004097712333045275,0.09047619047619047,0.1900983573248112,0,0.0025015772039779396
E06000012,0.27358490566037735,0.3789056338829834,0.25471698113207547,0.42245734341981056,0.05660377358490566,0.1542224100486634,0,0.004540016957020826,0.1792452830188679,0.26910884176704397,0.09433962264150944,0.2906320685097858
E06000013,0.16831683168316833,0.2814095959209387,0.16831683168316833,0.2895973742933489,0.13861386138613863,0.25111682089062437,0,0,0,0.057021283123082384,0.0297029702970297,0.11179228370969226
E06000014,0.14166666666666666,0.21189938748007114,0.016666666666666666,0.06146072915432641,0.041666666666666664,0.14152233424362268,0,0.016838848076686393,0.05,0.17143020166666623,0,0.015678593734687957
E06000015,0.37748344370860926,0.5135918215035373,0.1456953642384106,0.30308993754696933,0,0.07798828681748683,0.013245033112582781,0.2252620902329679,0.09271523178807947,0.2364500557153593,0,0.04291465443520174
E06000016,0.19791666666666666,0.33641863006235473,0.4375,0.5379528601390949,0,0.025498987280363795,0,0.11545325229535754,0.057291666666666664,0.20024700870854717,0.041666666666666664,0.29832839662799177
E06000017,0,0,0,0.001772373231600697,0.30434782608695654,0.38369607654488314,0,0,0.043478260869565216,0.1544049979502882,0,0.005257092421086092
E06000018,0.34065934065934067,0.5252758357841606,0.34065934065934067,0.468148991798856,0.01098901098901099,0.06413762266940115,0.06593406593406594,0.44346835929872136,0.027472527472527472,0.1242874345496111,0.3626373626373626,0.7915943808897915
E06000019,0.09482758620689655,0.20747404044425358,0.04310344827586207,0.10117700907725972,0.45689655172413796,0.5746812043156767,0,0,0.45689655172413796,0.6280037398957765,0,0
E06000020,0.18518518518518517,0.3163203819412403,0.17592592592592593,0.31241456186234673,0.09259259259259259,0.30812909677690326,0,0,0.009259259259259259,0.07497776577373114,0,0
E06000021,0.20125786163522014,0.39621254631338937,0.3710691823899371,0.5917706213489201,0.006289308176100629,0.08596272057006496,0,0.03518805713528296,0.10062893081761007,0.2826042602673455,0.031446540880503145,0.04572296554547252
E06000022,0.0782608695652174,0.12583553170640874,0.017391304347826087,0.06365801568663065,0.10434782608695652,0.20768826541438654,0,0,0.06086956521739131,0.16722859053084532,0,0
E06000023,0.24714828897338403,0.38720987878481966,0.13688212927756654,0.22761400026920087,0,0.0347558509131799,0.11787072243346007,0.49719182807036233,0.03802281368821293,0.22883704162238402,0,0.02884587477671748
E06000024,0.06666666666666667,0.1444067368300718,0.02962962962962963,0.0660985830856238,0.15555555555555556,0.28983698176856204,0,0.002875582337794652,0.007407407407407408,0.07220239069673459,0,0.0014663894292105616
E06000025,0.06060606060606061,0.1931901362551245,0,0.04552182280277523,0.11515151515151516,0.2739985460463645,0,0.015827924394410952,0.03636363636363636,0.06878795416767904,0,0.009602958814931369
E06000026,0.17391304347826086,0.3553986401236808,0.062111801242236024,0.20337336353132912,0.037267080745341616,0.1310338773026542,0,0.11687604981863883,0.16770186335403728,0.33326247288241184,0.012422360248447204,0.07333949951815563
E06000027,0.11235955056179775,0.253737939260331,0.033707865168539325,0.14994583067305683,0.011235955056179775,0.10458979814943101,0,0.1382313498390459,0.19101123595505617,0.3283293975009726,0,0
E06000030,0.09848484848484848,0.2456272302336472,0.13636363636363635,0.21269900360320612,0.07575757575757576,0.2124835272330396,0,0.03887863271680193,0.007575757575757576,0.09490268247278244,0.022727272727272728,0.05702388139994813
E06000031,0.2767857142857143,0.4259658181082011,0.24107142857142858,0.4173590380985044,0.125,0.2012223623708343,0.09821428571428571,0.3761482386702671,0.008928571428571428,0.0767319108021839,0.017857142857142856,0.24206458277230686
E06000032,0.04132231404958678,0.188468950150553,0.09917355371900827,0.33323150664643686,0,0.059598293658587306,0.371900826446281,0.7456839128455888,0.008264462809917356,0.09110896913509209,0.0743801652892562,0.39906696313169976
E06000033,0.09345794392523364,0.25420347290780704,0.08411214953271028,0.253836986403543,0,0.026869843186472488,0,0.1674504895981319,0.028037383177570093,0.191545967840923,0,9.756724963484955e-4
E06000034,0.061224489795918366,0.18552956484803912,0.15306122448979592,0.4366243707920729,0.04081632653061224,0.16322200420951197,0.01020408163265306,0.29989831239143383,0.030612244897959183,0.11524746731922554,0.01020408163265306,0.048271437446905624
E06000035,0.15950920245398773,0.30977039296018033,0.06134969325153374,0.2389755763433241,0.018404907975460124,0.1065060634756894,0,0.13977358279934377,0.13496932515337423,0.25134573617479017,0.03067484662576687,0.29795094552932433
E06000036,0.05333333333333334,0.21220608460877874,0,0.015018201726790862,0.16,0.41387627240997926,0,0.059163338697820415,0,0,0,0
E06000037,0.030927835051546393,0.10774858443581327,0,0.02289259761877703,0.27835051546391754,0.4335752605507163,0,0,0.10309278350515463,0.2085737229839491,0,0
E06000038,0.13402061855670103,0.27812899637049404,0.061855670103092786,0.1355728522982151,0.010309278350515464,0.09711646153931279,0.20618556701030927,0.5846433915228203,0.020618556701030927,0.175703418167189,0.020618556701030927,0.1830546567592753
E06000039,0,0.0257483812792777,0.0125,0.20929844503341233,0,0.10262287537274002,0.6125,0.9205672496199618,0,0.041336141062059545,0.1625,0.5813511768025769
