lsoa_code,"IMD Deciles, 1: most deprived, 10: least deprived"
E01000458,10
E01000459,6
E01000460,10
E01000461,9
E01000462,6
E01000463,10
E01000464,4
E01000465,3
E01000466,4
E01000467,5
E01000468,5
E01000469,5
E01000470,2
E01000471,5
E01000472,4
E01000473,4
E01000474,4
E01000475,5
E01000476,5
E01000477,4
E01000478,4
E01000479,6
E01000480,7
E01000481,3
E01000482,2
E01000483,2
E01000484,2
E01000485,3
E01000486,6
E01000487,6
E01000488,4
E01000489,4
E01000490,4
E01000491,5
E01000492,7
E01000493,7
E01000494,5
E01000495,3
E01000497,4
E01000498,3
E01000499,3
E01000501,2
E01000502,3
E01000503,3
E01000504,5
E01000505,5
E01000506,3
E01000507,4
E01000508,2
E01000509,2
E01000510,3
E01000511,3
E01000512,5
E01000513,6
E01000514,6
E01000515,3
E01000516,5
E01000517,7
E01000518,4
E01000519,5
E01000520,5
E01000521,1
E01000522,3
E01000523,3
E01000524,1
E01000525,2
E01000526,2
E01000527,2
E01000528,1
E01000530,6
E01000531,4
E01000532,4
E01000533,2
E01000534,5
E01000535,3
E01000536,8
E01000538,8
E01000539,8
E01000540,8
E01000541,6
E01000543,5
E01000544,2
E01000545,3
E01000546,4
E01000547,4
E01000548,3
E01000549,6
E01000550,2
E01000551,2
E01000552,2
E01000553,3
E01000554,5
E01000555,6
E01000556,3
E01000557,4
E01000558,3
E01000559,4
E01000560,5
E01000561,4
E01000562,8
E01000563,8
E01000564,6
E01000565,4
E01000566,6
E01000567,5
E01000568,6
E01000569,8
E01000570,4
E01000571,4
E01000572,7
E01000573,7
E01000574,8
E01000575,6
E01000576,6
E01000577,3
E01000578,3
E01000579,3
E01000580,5
E01000581,6
E01000582,6
E01000583,5
E01000584,6
E01000585,7
E01000586,5
E01000587,6
E01000588,4
E01000589,5
E01000590,5
E01000591,5
E01000592,5
E01000593,5
E01000594,6
E01000595,1
E01000596,1
E01000599,1
E01000600,2
E01000601,1
E01000602,2
E01000603,2
E01000604,2
E01000605,1
E01000606,5
E01000607,5
E01000608,4
E01000609,5
E01000610,4
E01000611,4
E01000612,4
E01000613,4
E01000615,5
E01000616,4
E01000617,4
E01000618,4
E01000619,5
E01000620,5
E01000621,4
E01000622,3
E01000623,6
E01000624,5
E01000625,4
E01000626,2
E01000627,2
E01000628,2
E01000629,6
E01000630,3
E01000631,6
E01000632,5
E01000633,4
E01000634,4
E01000635,3
E01000636,5
E01000637,4
E01000638,3
E01000639,4
E01000640,3
E01000641,3
E01000642,3
E01000643,1
E01000644,4
E01000645,10
E01000646,8
E01000647,9
E01000648,9
E01000649,8
E01000650,7
E01000651,8
E01000652,9
E01000653,8
E01000654,9
E01000655,8
E01000656,9
E01000657,7
E01000658,9
E01000659,9
E01000661,2
E01000662,5
E01000663,6
E01000664,5
E01000665,8
E01000666,10
E01000667,9
E01000668,7
E01000669,8
E01000670,10
E01000671,8
E01000672,9
E01000673,9
E01000674,7
E01000675,8
E01000676,5
E01000677,7
E01000678,8
E01000679,8
E01000680,8
E01000681,10
E01000682,10
E01000683,7
E01000684,10
E01000685,7
E01000686,9
E01000687,9
E01000688,10
E01000689,4
E01000690,9
E01000691,7
E01000692,9
E01000693,7
E01000694,9
E01000695,9
E01000696,9
E01000697,10
E01000698,7
E01000699,5
E01000700,7
E01000701,7
E01000702,8
E01000703,8
E01000704,8
E01000705,6
E01000706,6
E01000707,10
E01000708,9
E01000709,6
E01000710,8
E01000711,7
E01000712,9
E01000713,9
E01000714,8
E01000715,9
E01000716,9
E01000717,9
E01000718,3
E01000719,4
E01000720,2
E01000721,2
E01000722,4
E01000723,7
E01000724,2
E01000725,3
E01000726,6
E01000727,6
E01000728,5
E01000729,2
E01000730,2
E01000731,3
E01000732,6
E01000733,5
E01000734,7
E01000735,3
E01000736,4
E01000737,3
E01000738,5
E01000739,2
E01000740,4
E01000741,4
E01000742,4
E01000743,2
E01000744,2
E01000745,5
E01000746,6
E01000747,5
E01000748,7
E01000749,7
E01000750,3
E01000751,9
E01000752,9
E01000753,9
E01000754,9
E01000755,10
E01000756,10
E01000757,10
E01000758,10
E01000759,9
E01000760,8
E01000761,9
E01000762,9
E01000763,10
E01000764,7
E01000765,9
E01000766,10
E01000767,10
E01000768,8
E01000769,4
E01000770,9
E01000771,10
E01000772,10
E01000773,9
E01000774,8
E01000775,9
E01000777,9
E01000778,7
E01000779,6
E01000780,4
E01000781,2
E01000782,1
E01000783,3
E01000784,8
E01000785,3
E01000786,8
E01000787,4
E01000788,4
E01000789,2
E01000790,7
E01000791,8
E01000792,5
E01000793,10
E01000794,10
E01000795,6
E01000796,3
E01000797,7
E01000798,2
E01000799,5
E01000800,3
E01000801,5
E01000802,5
E01000803,6
E01000804,9
E01000805,4
E01000806,4
E01000807,9
E01000808,9
E01000809,10
E01000810,10
E01000811,10
E01000812,8
E01000813,10
E01000814,10
E01000815,10
E01000816,7
E01000818,7
E01000819,4
E01000820,5
E01000822,7
E01000823,7
E01000824,6
E01000825,6
E01000826,10
E01000827,10
E01000828,8
E01000829,9
E01000830,10
E01000831,9
E01000832,9
E01000833,10
E01000834,10
E01000835,9
E01000836,10
E01000837,8
E01000838,10
E01000839,10
E01000840,8
E01000841,10
E01000842,9
E01000843,7
E01000844,8
E01000845,7
E01000846,4
E01000847,6
E01000848,9
E01000849,9
E01000850,6
E01000851,6
E01000852,6
E01000853,3
E01000854,6
E01000855,6
E01000856,3
E01000857,6
E01000858,2
E01000859,9
E01000860,5
E01000861,2
E01000862,8
E01000863,2
E01000864,5
E01000865,7
E01000866,4
E01000867,3
E01000868,2
E01000869,4
E01000870,3
E01000871,7
E01000872,4
E01000873,9
E01000874,10
E01000875,4
E01000876,3
E01000877,8
E01000878,10
E01000879,10
E01000880,9
E01000881,7
E01000882,10
E01000883,8
E01000884,10
E01000885,9
E01000886,8
E01000887,7
E01000888,6
E01000889,3
E01000890,2
E01000891,2
E01000892,6
E01000893,10
E01000894,9
E01000895,9
E01000896,10
E01000897,10
E01000898,7
E01000899,9
E01000900,4
E01000901,3
E01000902,2
E01000903,5
E01000904,4
E01000905,2
E01000906,8
E01000907,2
E01000908,3
E01000909,7
E01000910,8
E01000911,6
E01000912,4
E01000913,8
E01000914,7
E01000915,4
E01000916,5
E01000917,2
E01000918,5
E01000919,4
E01000920,6
E01000921,6
E01000922,4
E01000923,5
E01000924,7
E01000925,3
E01000926,6
E01000927,6
E01000928,5
E01000929,4
E01000930,3
E01000931,2
E01000932,5
E01000933,4
E01000934,2
E01000935,3
E01000936,5
E01000937,6
E01000938,2
E01000939,2
E01000940,5
E01000941,2
E01000942,6
E01000943,5
E01000944,4
E01000945,3
E01000946,6
E01000947,4
E01000948,3
E01000949,5
E01000950,2
E01000951,2
E01000952,2
E01000953,2
E01000954,2
E01000955,3
E01000956,2
E01000957,4
E01000958,4
E01000959,2
E01000960,6
E01000961,4
E01000962,9
E01000963,8
E01000964,5
E01000965,6
E01000966,9
E01000967,8
E01000968,6
E01000969,9
E01000970,8
E01000971,9
E01000972,3
E01000973,5
E01000974,4
E01000975,5
E01000976,4
E01000977,3
E01000978,5
E01000979,6
E01000980,4
E01000981,7
E01000982,5
E01000983,7
E01000984,3
E01000985,8
E01000986,7
E01000987,8
E01000989,7
E01000990,2
E01000991,8
E01000992,3
E01000993,7
E01000994,5
E01000995,5
E01000996,5
E01000997,4
E01000998,3
E01000999,4
E01001000,3
E01001001,2
E01001002,4
E01001003,4
E01001004,3
E01001005,4
E01001006,3
E01001007,5
E01001008,3
E01001009,4
E01001010,2
E01001011,3
E01001012,2
E01001013,1
E01001014,3
E01001015,4
E01001016,6
E01001017,9
E01001018,9
E01001019,10
E01001020,9
E01001021,2
E01001022,8
E01001023,4
E01001024,8
E01001025,9
E01001026,7
E01001027,8
E01001028,9
E01001029,6
E01001030,9
E01001031,9
E01001032,10
E01001033,6
E01001034,6
E01001035,5
E01001036,7
E01001037,5
E01001038,5
E01001039,8
E01001040,6
E01001041,5
E01001042,2
E01001043,3
E01001044,8
E01001045,2
E01001046,8
E01001047,4
E01001048,3
E01001049,7
E01001050,4
E01001051,2
E01001052,2
E01001053,3
E01001054,2
E01001055,2
E01001056,2
E01001057,2
E01001058,7
E01001059,6
E01001060,5
E01001061,4
E01001062,8
E01001063,9
E01001064,7
E01001065,6
E01001066,2
E01001067,9
E01001068,6
E01001069,8
E01001070,6
E01001071,7
E01001072,9
E01001073,6
E01001074,5
E01001075,7
E01001076,2
E01001077,5
E01001078,2
E01001079,2
E01001080,1
E01001081,2
E01001082,3
E01001083,7
E01001084,7
E01001085,5
E01001086,6
E01001087,4
E01001088,6
E01001089,3
E01001090,4
E01001091,6
E01001092,5
E01001093,7
E01001094,9
E01001095,6
E01001096,9
E01001097,4
E01001098,9
E01001099,5
E01001100,8
E01001101,10
E01001102,9
E01001103,9
E01001104,10
E01001105,5
E01001106,7
E01001107,9
E01001108,10
E01001109,3
E01001110,2
E01001111,3
E01001112,3
E01001113,3
E01001114,2
E01001115,1
E01001116,3
E01001117,3
E01001118,2
E01001119,8
E01001120,8
E01001121,9
E01001122,8
E01001123,8
E01001124,10
E01001125,7
E01001126,9
E01001127,8
E01001128,2
E01001129,10
E01001130,2
E01001131,7
E01001132,8
E01001133,7
E01001134,8
E01001135,9
E01001136,3
E01001137,4
E01001138,5
E01001139,5
E01001140,4
E01001141,3
E01001142,5
E01001143,3
E01001144,2
E01001145,2
E01001146,5
E01001147,2
E01001148,4
E01001149,6
E01001150,5
E01001151,2
E01001152,2
E01001153,4
E01001154,3
E01001155,2
E01001156,4
E01001157,5
E01001158,5
E01001159,6
E01001160,7
E01001161,2
E01001162,3
E01001163,6
E01001164,5
E01001165,4
E01001166,3
E01001167,4
E01001168,5
E01001169,3
E01001170,3
E01001171,4
E01001172,2
E01001173,5
E01001174,4
E01001175,3
E01001176,4
E01001177,3
E01001178,1
E01001179,5
E01001180,3
E01001181,2
E01001182,4
E01001183,4
E01001184,6
E01001185,5
E01001186,3
E01001187,5
E01001188,3
E01001189,5
E01001190,3
E01001191,2
E01001192,3
E01001193,2
E01001194,5
E01001195,7
E01001196,2
E01001197,4
E01001198,6
E01001199,4
E01001200,6
E01001201,6
E01001202,2
E01001203,3
E01001204,7
E01001205,3
E01001206,2
E01001207,6
E01001208,7
E01001209,9
E01001210,1
E01001211,8
E01001212,7
E01001213,3
E01001214,6
E01001215,3
E01001216,4
E01001217,6
E01001218,2
E01001219,2
E01001220,1
E01001221,4
E01001222,4
E01001223,7
E01001224,8
E01001225,4
E01001226,7
E01001227,8
E01001228,7
E01001229,3
E01001230,5
E01001231,7
E01001232,4
E01001233,4
E01001234,4
E01001235,7
E01001236,6
E01001237,6
E01001238,4
E01001239,3
E01001240,5
E01001241,4
E01001242,3
E01001243,4
E01001244,3
E01001245,6
E01001246,3
E01001247,5
E01001248,6
E01001249,2
E01001250,2
E01001251,5
E01001252,4
E01001253,6
E01001254,6
E01001255,7
E01001257,2
E01001258,6
E01001259,5
E01001260,5
E01001261,4
E01001262,3
E01001263,2
E01001264,4
E01001265,5
E01001266,6
E01001267,3
E01001268,5
E01001269,7
E01001270,6
E01001271,6
E01001272,5
E01001273,8
E01001274,9
E01001275,5
E01001276,5
E01001277,6
E01001278,4
E01001279,9
E01001280,7
E01001281,9
E01001282,2
E01001283,2
E01001284,6
E01001285,4
E01001286,4
E01001287,3
E01001288,6
E01001289,6
E01001290,7
E01001291,5
E01001292,7
E01001293,6
E01001294,4
E01001295,6
E01001296,4
E01001297,4
E01001298,3
E01001299,9
E01001300,8
E01001301,5
E01001302,7
E01001303,8
E01001304,7
E01001305,9
E01001306,9
E01001307,8
E01001308,7
E01001309,6
E01001310,5
E01001311,3
E01001312,6
E01001313,7
E01001314,8
E01001315,5
E01001316,3
E01001317,4
E01001318,2
E01001319,5
E01001320,2
E01001321,4
E01001322,4
E01001323,4
E01001324,2
E01001325,3
E01001326,3
E01001327,3
E01001328,2
E01001329,4
E01001330,2
E01001331,2
E01001332,2
E01001333,2
E01001334,2
E01001335,5
E01001336,4
E01001337,2
E01001338,3
E01001339,2
E01001340,2
E01001341,7
E01001342,6
E01001343,6
E01001344,5
E01001345,6
E01001346,7
E01001347,5
E01001348,5
E01001349,2
E01001350,6
E01001351,3
E01001352,6
E01001353,4
E01001354,4
E01001355,4
E01001356,1
E01001357,2
E01001358,1
E01001359,4
E01001360,3
E01001361,2
E01001362,3
E01001363,4
E01001364,2
E01001365,3
E01001366,3
E01001367,3
E01001368,3
E01001369,4
E01001370,4
E01001371,3
E01001372,3
E01001373,4
E01001374,8
E01001375,10
E01001376,4
E01001377,9
E01001379,9
