msoa_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_and_Access_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
E02000001,14.720484223119485,0,0.03220427695528636,0.06509989531927621,0,0.09573052190818003,0.05312098100792583,0,0.05602661881262149,5.456302078660087,0,0,-0.6863357260355915,0,0,-1.6559143113503814,0,0,35.6559796620308,0.6666666666666666,0.7072717684745735,38.97253192762076,0.3333333333333333,0.5175552722092355
E02000002,34.76755983195555,0,0.5904872290497214,0.21548570266973843,0,0.6428820051212188,0.13594633419162488,0,0.42851406195390895,31.11536454804174,0,0.3578177045812797,0.22725382843203681,0.25,0.2207616208158287,0.4659861769887519,0.25,0.2940653062388998,46.26591177666351,1,1,20.016724894972217,0,0
E02000003,25.149725932835818,0,0.09157060094265512,0.14097518656716418,0,0.04461090926944225,0.08623208955223881,0,0,17.860425186567163,0,0,-0.02410820895522388,0,0,0.5395361940298508,0,0.42427778868813826,39.823314458955224,0.6666666666666666,0.9293531520031422,30.670563712686565,0,0.2886991849960723
E02000004,23.560044369645045,0,0.15300119177993943,0.13829391064871482,0,0.14211573149520065,0.09985878212974296,0,0.10945935064098433,22.91992916156671,0,0.09857389035624554,0.02406992044063647,0,0.08768843007150678,0.11806227050183599,0,0,36.167014075887394,0.5,0.6630318720608129,20.186011627906975,0,0
E02000005,30.212965379205887,0,0.32548215719434903,0.16153121280969382,0,0.21595517518235702,0.10720913123444768,0,0.11434143619353478,27.022660932597642,0,0.17121577068279262,0.0837696635291572,0,0.008357676079195056,0.610199394136103,0,0.3547412835887186,41.60760305095748,1,1,35.7122382343395,0,0.5917260288013119
E02000007,36.007463265728475,0.2,0.5925115458347856,0.2177330298013245,0.2,0.5642601951899616,0.13180184188741723,0,0.3168062696061345,30.2492704884106,0,0.23550507581038688,0.3471748758278146,0,0.16407883844545137,0.45251169288079474,0.2,0.2575069710700592,49.404715438741725,1,1,23.58602876655629,0,0.10384906544092017
E02000008,34.4495850024426,0,0.5393502686858818,0.20251693535254844,0.14285714285714285,0.4685793930355934,0.1388814525321609,0,0.32431714361624625,28.685514574173588,0,0.15983296051560258,0.3292112848070347,0,0.14224324857086532,0.283155674971503,0,0.08703301365284241,44.616818026380066,1,1,31.31136248168051,0,0.31481221985104424
E02000009,36.33654626808835,0,0.6456948731310378,0.21519544935262758,0,0.5845530023650138,0.12725885376999238,0,0.2368025213452519,27.743731435643568,0,0.13455425502064372,0.33410300837776086,0,0.06742970096604801,0.7323471058644325,0.16666666666666666,0.44788651942117286,45.5152315308454,1,1,35.3678470106626,0.16666666666666666,0.5144644145588647
E02000010,34.49335914640853,0,0.5706201622194305,0.21962028379716203,0,0.6385491145088549,0.13633021669783302,0,0.2986750921964464,25.864053459465403,0,0.027861563489628243,0.25606500934990645,0,0.071530547852416193,0.3878483115168848,0,0.046830294854946164,46.58407105928941,1,1,26.540736882631176,0,0.026460524868435507
E02000011,25.713968791598877,0,0.086306525817576,0.14729847655672237,0,0.04972403646299596,0.09167312527732584,0,0,23.10781496819997,0,0.04884321067422289,0.2528914361780802,0,0.07293027347246979,0.19013356012424196,0,0,39.30958556426564,0.75,0.9157377061941943,27.131044520041414,0,0.14780980702013868
E02000012,20.63216642107202,0,0,0.12231313317369681,0,0,0.07309025603241849,0,0,15.779800147356788,0,0,-0.3234559771596979,0,0,0.15771431202799777,0,0.14147560372657558,40.50975161171487,0.6,0.9145456660623745,23.37690191563824,0,0.00866642107202062
E02000013,36.09122608596511,0,0.6522826419600477,0.20841409189374074,0,0.5698213010579121,0.13028708243073767,0,0.20463879171192143,34.474062706646905,0,0.43724804829311903,0.2677083570858511,0,0.057777124375183744,0.6695263937977426,0.4,0.48168635875402793,46.00952776194276,1,1,28.689152548170107,0,0.1977809647822669
