ltla21_code,Proportion,Extent
E06000001,0.3275862068965517,0.4603497702168646
E06000002,0.4883720930232558,0.5603659864286212
E06000003,0.2159090909090909,0.33997575792545853
E06000004,0.18333333333333332,0.27993565376021534
E06000005,0.15384615384615385,0.2438466639196044
E06000006,0.26582278481012656,0.4507543083594484
E06000007,0.09448818897637795,0.18563565557454126
E06000008,0.3076923076923077,0.5020915202916609
E06000009,0.3829787234042553,0.5074678856026074
E06000010,0.45180722891566266,0.542758132393586
E06000011,0.06190476190476191,0.09161560966835695
E06000012,0.29245283018867924,0.3809125471651795
E06000013,0.0891089108910891,0.18744303028256978
E06000014,0,0.059088045247434384
E06000015,0.18543046357615894,0.3371082059455653
E06000016,0.23958333333333334,0.4175269880089633
E06000017,0,0
E06000018,0.33516483516483514,0.5582645763097549
E06000019,0.008620689655172414,0.07019536057065641
E06000020,0.1388888888888889,0.2603087046345244
E06000021,0.3018867924528302,0.4895202707071396
E06000022,0.008695652173913044,0.04208024254440529
E06000023,0.1596958174904943,0.290577685381432
E06000024,0.06666666666666667,0.11027410859021222
E06000025,0,0.010413728507552034
E06000026,0.16770186335403728,0.30002937280494374
E06000027,0.15730337078651685,0.31141186095772083
E06000030,0.06060606060606061,0.14628656736729856
E06000031,0.16071428571428573,0.3595613794345735
E06000032,0.0743801652892562,0.3146396448800913
E06000033,0.12149532710280374,0.25486441283088523
E06000034,0.04081632653061224,0.13233445843740627
E06000035,0.0736196319018405,0.19785083753243476
E06000036,0,0.003082449949727871
E06000037,0,0.010574880912390628
E06000038,0.020618556701030927,0.11367580768040896
E06000039,0,0.11293020725646231
E06000040,0,0.0014491351748959968
E06000041,0,0
E06000042,0.05921052631578947,0.12852063238101602
E06000043,0.10303030303030303,0.20180128631134628
E06000044,0.128,0.24492635389304662
E06000045,0.12837837837837837,0.2686841138045675
E06000046,0.02247191011235955,0.15596036534506408
E06000047,0.1111111111111111,0.2651598549606846
E06000049,0.02564102564102564,0.08561026938171097
E06000050,0.0660377358490566,0.1575754486913832
E06000051,0.0051813471502590676,0.04102732709559012
E06000052,0.05214723926380368,0.14028869416222473
E06000053,0,0
