ltla22_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_Score,Housing_Proportion,Housing_Extent,Access_Score,Access_Proportion,Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
W06000001,18.267542359739032,0.022727272727272728,0.10711769537058814,19.24785268630016,0.045454545454545456,0.15904617238884083,18.29046968767464,0.045454545454545456,0.13445285865750134,16.97516871684751,0,0.10526405959647343,14.518064842264966,0,0.06485117788546434,16.946010068788244,0.06818181818181818,0.12896491403401067,20.064527986474307,0.022727272727272728,0.1985999201993963,30.20256709931665,0.1590909090909091,0.42162900684316473,3.656078357794569,0,0
W06000002,16.80651564994831,0.027777777777777776,0.05162239809216558,14.99919496188824,0.041666666666666664,0.05499937433349434,12.590275295447471,0.027777777777777776,0.04254557863047795,12.495640935398031,0.013888888888888888,0.04254581352234013,11.66063417599927,0.013888888888888888,0.04096341110816428,19.226363420752858,0.06944444444444445,0.15302384835723035,33.76820630594099,0.20833333333333334,0.3819453786734418,35.31322059079417,0.2638888888888889,0.4808827705964929,7.638653300129831,0.013888888888888888,0.024070863885290776
W06000003,18.29103039067079,0.056338028169014086,0.12041060562038783,19.465663120309003,0.07042253521126761,0.1460084325127298,19.80513891593265,0.07042253521126761,0.14922895812348974,16.134418024939702,0.014084507042253521,0.09808602438324507,14.823440412817531,0.04225352112676056,0.09759165047418851,20.91852929259338,0.08450704225352113,0.17881080823779882,20.062262873823283,0.08450704225352113,0.1885408223338993,22.554883235109205,0.1267605633802817,0.18758503577014599,9.266923364634174,0,0.045961887090190334
W06000004,22.88029458813012,0.1206896551724138,0.16581870550603225,24.49777687896701,0.1206896551724138,0.18939459604537173,22.946747401771024,0.1206896551724138,0.18075250904179022,21.377047931313683,0.08620689655172414,0.1654789783877014,24.811184612412234,0.1724137931034483,0.18850587166377739,20.672761549813764,0.10344827586206896,0.21643920111053422,25.849902243730174,0.15517241379310345,0.26731027090171505,23.579835373627184,0.13793103448275862,0.2910101835637413,10.538401437785833,0.017241379310344827,0.04393287075739843
W06000005,15.46830993028906,0.03260869565217391,0.11333725007586229,14.643798529602057,0.021739130434782608,0.11431860480798407,12.429257424164868,0.010869565217391304,0.08136169459523247,21.09428741157261,0.09782608695652174,0.2015675005900401,15.688060636934294,0.05434782608695652,0.11984274587814826,18.327170089068783,0.08695652173913043,0.15890883037189385,16.768293329925402,0.021739130434782608,0.12388499275093562,15.548910713759586,0.03260869565217391,0.13020523281297414,11.215963571965856,0.010869565217391304,0.0585204996796925
W06000006,19.730360923919555,0.07058823529411765,0.14845734893733814,19.312752495917003,0.058823529411764705,0.1484176111409838,16.832557024363968,0.03529411764705882,0.10854058732966265,25.312877261616688,0.11764705882352941,0.25462532077673167,20.461453616720274,0.07058823529411765,0.1726563119995757,31.890086513149363,0.18823529411764706,0.3513321549421779,18.849955311657663,0.058823529411764705,0.1282425209518644,19.494705410763064,0.07058823529411765,0.17135160381591236,6.03800462205793,0,0.003019414420116575
W06000008,17.137158922365625,0.021739130434782608,0.028524223413613475,12.796511292620194,0.021739130434782608,0.03461683819563351,12.748608609947466,0.043478260869565216,0.04393301501225379,9.841273332643098,0,0.006616106950090679,9.374995968187923,0,0.01432198696066116,13.669172791822396,0.06521739130434782,0.10932826770826923,34.84762210307493,0.2826086956521739,0.4420222559286999,50.45981191322995,0.5,0.672758497109408,11.28863007673525,0.021739130434782608,0.04834246183586072
W06000009,19.623074804338138,0.056338028169014086,0.11553691589606038,18.28496271477152,0.056338028169014086,0.12301216627860961,17.62424152393013,0.07042253521126761,0.12356551359482494,22.42601701700954,0.08450704225352113,0.19126840273042683,13.50769467629498,0.014084507042253521,0.06088746819758866,15.94122225914424,0.08450704225352113,0.16271924944217672,17.47370485265633,0.07042253521126761,0.10988420199268617,39.22020793533197,0.38028169014084506,0.5190544236411658,12.300240841364241,0,0.01927951903794202
W06000010,20.943581733247655,0.044642857142857144,0.12772851483376263,18.925381456730786,0.03571428571428571,0.1195417365903382,20.972666242993856,0.0625,0.1547070538544474,19.667039271587758,0.07142857142857142,0.12570264054274616,17.726934271132908,0.03571428571428571,0.10031381660151299,15.638615787547558,0.05357142857142857,0.11182478408118553,23.885778269206945,0.11607142857142858,0.21818099568706054,32.79770739279362,0.21428571428571427,0.38199928401134314,20.39759185975577,0.03571428571428571,0.2013385893071778
W06000011,21.8301726600458,0.11486486486486487,0.23572734961378616,24.019645380934396,0.12837837837837837,0.2576570889394479,23.82549582104403,0.14864864864864866,0.22439045257408743,20.88260408272396,0.11486486486486487,0.20402563081374347,24.439190925367956,0.12162162162162163,0.24717860105560202,21.59483674958254,0.10135135135135136,0.21319927668949493,19.878461222499723,0.07432432432432433,0.17708974066386285,15.322199667884718,0.013513513513513514,0.07484732680470167,14.226885912698656,0.013513513513513514,0.06992655023038155
W06000012,27.382814223603063,0.15384615384615385,0.31854391412365474,27.74868415579933,0.15384615384615385,0.3033004221470188,32.705882308029416,0.18681318681318682,0.36710874279513106,31.03432013510802,0.1978021978021978,0.3332495221236988,30.386648396010045,0.16483516483516483,0.32379186811532196,17.03355057968909,0.054945054945054944,0.11247267245320852,16.803325041782745,0.02197802197802198,0.1007818074649695,19.4107616946383,0,0.11226400439223866,24.220421445952258,0.08791208791208792,0.23700349065455742
