ltla21_code,Score,Proportion,Extent
E06000001,37.61700678758206,0.3898305084745763,0.5252010213583362
E06000002,40.73443886962296,0.5,0.570548955950712
E06000003,30.572791031905716,0.20652173913043478,0.3421500809367483
E06000004,25.551982772631238,0.1652892561983471,0.2963787454985587
E06000005,24.99718571146635,0.15384615384615385,0.25833982528850247
E06000006,34.2921806984984,0.3037974683544304,0.48868936090859844
E06000007,19.708418847625946,0.07086614173228346,0.17476030772078638
E06000008,32.27817243867244,0.23076923076923078,0.4478047391205286
E06000009,33.903660456942006,0.26595744680851063,0.3957058551475349
E06000010,40.643528395855085,0.46107784431137727,0.5620821372251418
E06000011,15.273157961540903,0.01904761904761905,0.07671110250081
E06000012,29.360126606317657,0.24299065420560748,0.3719696944456476
E06000013,21.133709050886964,0.07920792079207921,0.1607191778488043
E06000014,14.735013563368057,0,0.08415655838815789
E06000015,27.728512764564698,0.18543046357615894,0.31997071557357276
E06000016,32.810938833081046,0.234375,0.4092764334808398
E06000017,6.621927067892084,0,0
E06000018,42.88261884520014,0.4756756756756757,0.646365382105636
E06000019,15.651438046772256,0,0.03342823007544591
E06000020,21.810177794590505,0.046296296296296294,0.18934941382205275
E06000021,35.29225960738646,0.3,0.4894281536481363
E06000022,12.157178876430605,0,0.029467171385152587
E06000023,28.99301631248129,0.1596958174904943,0.30296121552009325
E06000024,13.713518106119286,0.037037037037037035,0.0766769690978026
E06000025,9.74635665426617,0,0.001470585139195041
E06000026,26.27574198605553,0.11801242236024845,0.27535876284630467
E06000027,23.74053530226119,0.0449438202247191,0.16615540928925915
E06000030,16.284713870515134,0.05303030303030303,0.11738772668291292
E06000031,22.061696871753433,0.07142857142857142,0.19772261948881203
E06000032,23.268088843530105,0.024793388429752067,0.19995688716877327
E06000033,21.65793428108243,0.04672897196261682,0.1724499707930507
E06000034,20.812817530096037,0.05102040816326531,0.12998462272277475
E06000035,17.9572769218424,0.006097560975609756,0.07459677419354838
E06000036,8.774653097345134,0,0.0015510013972985556
E06000037,7.924069767441861,0,0
E06000038,19.19285789682016,0,0.09337018492927131
E06000039,21.03141394598952,0,0.09227921678440355
E06000040,8.314802251518294,0,0
E06000041,5.150702770283609,0,0
E06000042,15.653953982300886,0.03289473684210526,0.0899089427107592
