msoa11_code,Score,Proportion,Extent
E02000001,13.601562204103104,0,0
E02000002,38.502440391069605,0,0.6908795226063115
E02000003,25.703632119788608,0,0.10731938478021238
E02000004,24.768259987317695,0,0.15916463638487469
E02000005,32.52578198614319,0,0.4034471860945666
E02000007,40.7326413618334,0.2,0.7065026907285843
E02000008,35.82000791125635,0,0.5971502731374829
E02000009,35.97644747828049,0,0.6137713260925075
E02000010,37.66721131053166,0,0.6813757641648992
E02000011,25.876739385297846,0,0.051010606363818246
E02000012,20.06037998607381,0,0
E02000013,38.54034903210576,0,0.7333979424481883
E02000014,39.221879043304185,0,0.7596129851549113
E02000015,43.23763898305084,0.5,0.8916125711933026
E02000016,35.92235389294404,0,0.5918267383787936
E02000017,28.694918346312413,0,0.22520433011066368
E02000018,38.62889563483271,0,0.7040841078988185
E02000019,34.89156687073228,0,0.5451488976738997
E02000020,33.472973779291834,0,0.47417890498932364
E02000021,33.123062887726554,0,0.4337700625484157
E02000022,41.70516173680098,0.2,0.8286756628148113
E02000023,41.849731176199974,0.25,0.8457162688964398
E02000024,10.758203279317287,0,0
E02000025,16.74752777777778,0,0.023781785192147017
E02000026,11.4488053316801,0,0
E02000027,25.645405804532867,0,0.2805833679676578
E02000028,14.328518300445577,0,0
E02000029,17.478919944470153,0,0
E02000030,14.434602278893108,0,0
E02000031,11.359115776764154,0,0
E02000032,9.318546524876568,0,0
E02000033,18.98517174163783,0,0.13026315789473683
E02000034,15.402337132987912,0,0
E02000035,15.581453339882122,0,0
E02000036,18.214295414867223,0,0.06468925460762076
E02000037,15.415301208429042,0,0.14401330901407114
E02000038,17.58259970525928,0,0
E02000039,12.78534205052006,0,0
E02000040,18.987532083333335,0,0.06405921052631579
E02000041,18.491246585818857,0,0.056879539063982444
E02000042,16.461538060384264,0,0
E02000043,7.4936570480081715,0,0
E02000044,26.7405712015646,0,0.22552512561197635
E02000045,23.17514919239224,0,0.20008727495887763
E02000046,12.986881444720154,0,0
E02000047,29.132353176327452,0,0.25555108332227977
E02000048,14.310527635670578,0,0
E02000049,39.85933804922936,0.2,0.7674500260312617
E02000050,19.839512922658376,0,0.1282674841982531
E02000051,11.610323579448792,0,0
E02000052,13.697613488325482,0,0.0715977236406981
E02000053,21.743435024619995,0,0.07044107539239877
E02000054,16.74865075479396,0,0
E02000055,18.500698316675432,0,0.06027275579796412
E02000056,8.256496368563687,0,0
E02000057,14.304981921351281,0,0
E02000058,11.16703952644644,0,0
E02000059,26.836292411975144,0.16666666666666666,0.19054717616862718
E02000060,14.107013386880858,0,0
E02000061,14.72054663748024,0,0
E02000062,33.575027717893434,0,0.47921846887005015
E02000063,24.63978107087935,0,0.1152696329107404
E02000064,24.80772545059043,0,0.2401687874129076
E02000065,21.86236243552648,0,0
E02000066,30.8441784236657,0,0.32939131807590966
E02000067,26.377775748803028,0,0.19814081188942734
E02000068,26.342106598984774,0,0.09923963328036892
E02000069,19.72543814267352,0,0
E02000070,12.905258052244484,0,0
E02000071,17.39031152858494,0,0.032042025593785765
E02000072,33.680015932914046,0,0.5271583360918017
E02000073,8.682448672400898,0,0
E02000074,29.127508690614135,0,0.21275843142038173
E02000075,8.904683419623689,0,0
E02000077,13.826601748606183,0,0
E02000078,9.558683599793707,0,0
E02000079,13.215092069978292,0,0
E02000080,12.735856334116642,0,0.01717103857700221
E02000081,15.348242049234864,0,0
E02000082,9.275845751779359,0,0
E02000083,21.00106724447101,0,0.11111565524690384
E02000084,8.73903704753804,0,0
E02000085,11.264346384788592,0,0
E02000086,6.883853389031128,0,0
E02000087,7.319736107453252,0,0
E02000088,8.086455789337808,0,0
E02000089,6.606054791029561,0,0
E02000090,10.79029642977813,0,0
E02000091,12.356520503451076,0,0
E02000092,28.38667084592145,0,0.24266735570042924
E02000093,18.3127537697683,0,0
E02000094,18.94816104102739,0,0
E02000095,19.7502995844735,0,0.009171987432856986
E02000096,11.234884004884005,0,0
E02000097,19.193469235895158,0,0
E02000098,20.931175784190714,0,0.13542560919236613
E02000099,18.842153606102634,0,0.10474456773000461
E02000100,12.567406376880824,0,0
E02000101,28.849855455983132,0,0.33219376855422683
E02000102,31.55350320924262,0,0.3438173096412404
E02000103,27.77105554288321,0,0.16654191077602762
E02000104,22.588322856721266,0,0.025284048989228237
E02000105,22.80289831585637,0,0.01785242419681233
E02000106,34.634928804765565,0,0.5320583356931914
E02000107,26.498497189992747,0,0.16888024312049155
E02000108,20.854368461070557,0,0
E02000109,21.737728157267675,0,0
E02000110,21.79139622868124,0,0
E02000111,23.085862322439652,0,0.009923512466474606
E02000112,23.64068271150815,0,0.04990900793760542
E02000113,47.051983088834554,0.6666666666666666,0.9588673701368335
E02000114,25.533749972870318,0,0.08456149870063108
E02000115,24.40460250148898,0,0.10009404093915548
E02000116,38.81852187134503,0.25,0.6087987072945521
E02000117,44.091256987832956,0.5,0.8319956212464736
E02000118,24.508496447327776,0,0.0818060365619021
E02000119,46.76916035370199,0.5,0.9215927009023152
E02000120,25.875037429151963,0,0.18505113441286883
E02000121,23.446049770372746,0,0.031983394885804685
E02000122,17.47992629606496,0,0
E02000123,41.646159260004026,0.2857142857142857,0.7825007673013219
E02000124,22.3862113462669,0,0.020272388790907283
E02000125,20.003933031590616,0,0.010072972473674474
E02000126,44.16125446428572,0.5,0.885089499316473
E02000127,35.964981885312106,0.16666666666666666,0.5404237488841521
E02000128,13.52766305391686,0,0.018474485706652412
E02000130,19.735174904000992,0,0
E02000131,26.945240897269183,0,0.16104960874227175
E02000132,16.987023208879922,0,0.06856680888227967
E02000133,6.542921781974954,0,0
E02000134,16.922343378995436,0,0
E02000135,40.12105122024707,0.3333333333333333,0.7456602866008044
E02000136,20.563276272075537,0,0.13739152041670882
E02000137,8.829507891139555,0,0
E02000138,6.576765844636251,0,0
E02000139,13.631109931460825,0,0
E02000140,36.63897024691358,0,0.6531601689408706
E02000141,18.492178262717868,0,0
E02000142,8.208915092083235,0,0
E02000144,9.57738657823741,0,0
E02000145,36.9691945281427,0.4,0.5753959896728684
E02000146,10.296497217713888,0,0
E02000147,4.7489015330923605,0,0
E02000148,6.716778734330162,0,0
E02000149,22.243950160153744,0,0.010787956438180639
E02000150,11.713743866651015,0,0
E02000151,3.724366455529163,0,0
E02000152,26.856855850598194,0.25,0.2640793697111176
E02000153,5.224699434592649,0,0
E02000154,12.295892233370495,0,0
E02000155,17.638999278915488,0,0
E02000156,6.522927599571204,0,0
E02000157,5.731815465072843,0,0
E02000158,20.14287674356223,0,0.2189776513440253
E02000159,7.063080408515535,0,0
E02000160,7.929318569636135,0,0
E02000161,5.003429617383089,0,0
E02000162,13.546479429674736,0,0.06445746402245028
E02000163,7.594884188536363,0,0
E02000165,9.678415730337079,0,0
E02000166,23.030178230110465,0,0.2085891313862414
E02000167,9.175183424266043,0,0
E02000168,21.308961708219016,0,0
E02000169,8.624490860215055,0,0
E02000170,16.257112065878985,0,0.04560178642093955
E02000171,17.780146983233386,0,0
E02000172,39.272654664020415,0.3333333333333333,0.6312767671944249
E02000173,12.432618367346938,0,0
E02000174,29.03143384369287,0,0.3223037741749254
E02000175,21.147084167424932,0,0.1850213711029165
E02000176,11.988698264150944,0,0
E02000177,33.49880652479205,0,0.5455874075379655
E02000178,32.55010655737705,0,0.4247056786703601
E02000179,19.17713796267972,0,0
E02000180,30.41617806648835,0.2,0.3318957021901333
E02000181,16.05489766905738,0,0
E02000182,17.96537501766285,0,0.022852755032983042
E02000183,22.570248893385607,0.2,0.24446692803844694
E02000184,36.49701312485733,0,0.6317633561191268
E02000185,37.285087727484836,0,0.6695305400692584
E02000186,29.27971655863288,0,0.3664807089910988
E02000187,40.32372583664872,0.2,0.7826496237082291
E02000188,30.845005541145955,0,0.31431607490785435
E02000189,33.954521624298444,0.25,0.4394406700144219
E02000190,25.845095844590247,0,0.2761691956638025
E02000191,17.99991355026712,0,0
E02000192,29.214605612798266,0.25,0.30180350211211326
E02000193,22.70025903538597,0,0.04017126306510512
E02000194,23.76392944475603,0,0.0475467131091891
E02000195,16.58631937285223,0,0
E02000196,25.874943218085107,0,0.23762632978723403
E02000197,23.3352443414529,0,0.06905384554293686
E02000198,30.715567984334847,0,0.3828903889880128
E02000199,24.768440765527767,0,0.10002224652861458
E02000200,29.88936657938586,0,0.3395995940816096
E02000201,35.93525277161862,0.2,0.5516119918187345
E02000202,22.865947811841796,0,0
E02000203,35.27669493537325,0.2,0.4982614641325021
E02000204,24.313492248885115,0,0.08016144896111588
E02000206,35.19546123951728,0,0.5533221732998891
E02000207,31.65449794594595,0,0.38174736842105256
E02000208,37.66770918468558,0.2,0.5375413712818049
E02000209,27.52659797739441,0,0.1983120949309621
E02000210,19.477946049176413,0,0
E02000211,10.431501043328833,0,0
E02000212,32.433577410724666,0,0.39648561615741107
E02000213,42.91219817009773,0.2,0.8030004049424873
E02000214,10.346290607734808,0,0
E02000215,24.739514721396375,0,0.09408090332285109
E02000216,13.443549248235655,0,0
E02000217,30.904119234543668,0,0.4061463767367388
E02000218,23.16877287390029,0,0.361802747337552
E02000219,9.194680754226267,0,0
E02000220,27.805309894027932,0,0.2257314574938882
E02000221,28.459736816068073,0,0.24800763410455492
E02000222,16.663494996911673,0,0
E02000223,42.12704372555991,0.2,0.8801837957852326
E02000224,18.031016195372754,0,0
E02000225,32.35015464452517,0,0.48975807773195307
E02000226,9.016612725844462,0,0
E02000227,19.075826424870467,0,0.114853195164076
E02000228,5.233019817470665,0,0
E02000229,40.63110835629018,0.25,0.681113769271664
E02000230,16.00655510805501,0,0
E02000231,10.318841058747578,0,0
E02000232,10.95961097775644,0,0
E02000233,15.829567307692308,0,0
E02000234,17.45475468483816,0,0
E02000235,11.991043022768542,0,0
E02000236,9.71765519019987,0,0
E02000237,12.471250758475135,0,0.10297176459153422
E02000238,19.244673161727004,0,0.041451079241535266
E02000239,12.946335095836087,0,0
E02000240,29.683524568138196,0,0.2841976462268916
E02000241,18.842325625920473,0,0
E02000242,15.720710944267976,0,0
E02000243,22.40829878900792,0,0.1343548525482313
E02000244,17.517914664117967,0,0
E02000245,38.45203734489821,0.2,0.7145645102999638
E02000246,31.063413325740317,0,0.30828527754465884
E02000247,28.128113487475918,0,0.22796851232126555
E02000248,18.11783747300216,0,0
E02000249,26.73404310565362,0,0.1769667838052537
E02000250,7.529921686746988,0,0
E02000251,18.802083091299405,0,0
E02000252,32.4603093715098,0.2,0.4014401675831369
E02000253,33.312754908038855,0.16666666666666666,0.40605524194864095
E02000254,22.712699160604366,0,0.03089123199717254
E02000255,23.02621345585129,0.16666666666666666,0.2638858314988993
E02000256,13.327264475743348,0,0
E02000257,15.559032432432433,0,0
E02000258,19.42209057706355,0,0
E02000259,14.68009835547122,0,0
E02000260,30.521422675736957,0,0.3750736961451247
E02000261,26.95040144318597,0,0.18832447166509622
E02000262,29.170673240057287,0,0.3497782132979248
E02000263,32.41272669706181,0.16666666666666666,0.37572277324516956
E02000264,18.0538411168767,0,0
E02000265,27.27362519440124,0,0.37870590161250717
E02000266,38.86698989734398,0.14285714285714285,0.7002281244907934
E02000267,18.715144117228622,0,0
E02000268,19.514607885615252,0,0.046698839277569994
E02000269,9.598951431049436,0,0
E02000270,40.08651306086739,0.4,0.5870641169853769
E02000271,10.383775944811036,0,0
E02000272,9.041488501427928,0,0
E02000274,32.64826034496094,0,0.4186742573814069
E02000275,30.97982473944048,0,0.36263424950197765
E02000276,12.908448188459818,0,0
E02000277,27.282361559888578,0,0.1341826711625861
E02000278,40.92642438271605,0.2,0.7533126798477675
E02000279,35.72438766255989,0,0.5651396844266724
E02000280,20.95285286103542,0,0.18713297875657034
E02000281,29.190499146272057,0.2,0.3578992301470808
E02000282,43.1790702945363,0.4,0.8690088574112386
E02000283,31.96654724362774,0,0.36530808348672505
E02000284,16.970468262604278,0,0
E02000285,12.099212688270196,0,0
E02000286,16.6527739650751,0,0.0387766644600266
E02000287,11.794294396679513,0,0
E02000288,34.83427141653403,0.16666666666666666,0.49292521398055567
E02000289,9.88413885523925,0,0
E02000290,41.02831322851721,0.25,0.7873507297655904
E02000291,24.005049436253252,0,0.14414370977313187
E02000292,21.875562163282222,0,0
E02000293,10.03130988353793,0,0
E02000294,29.743953212446833,0,0.22762244765708758
E02000295,14.832800304342737,0,0
E02000296,19.529669804563593,0,0
E02000297,11.939167462556979,0,0
E02000298,9.317119582764187,0,0
E02000299,34.93459282387807,0,0.555495454342885
E02000300,33.04318394125436,0,0.4099437380015586
E02000301,41.5836231954268,0.16666666666666666,0.7936965512317757
E02000302,19.79706117308384,0,0.04039349002228492
E02000303,45.21691229089219,0.4,0.8628310873605948
E02000304,7.706078513931889,0,0
E02000305,15.66171116670457,0,0
E02000306,48.31938197969543,1,1
E02000307,25.83490773987632,0,0.06172976576690074
E02000308,22.682547494581154,0,0.2659525423273854
E02000309,42.66440798739807,0.5,0.8675895400101439
E02000311,27.79930920341813,0,0.23270462523069282
E02000312,19.79266809636795,0,0.016932834458842833
E02000313,33.191888724474694,0,0.425670939704989
E02000314,25.71512409959286,0,0.12286931115763097
E02000315,37.17979124469127,0,0.6405397272993002
E02000316,29.689266241351422,0,0.3751736809000666
E02000317,35.95243266643267,0,0.62373193425825
E02000318,25.799471742543172,0,0.09136551887961661
E02000319,25.238560602012647,0,0.18028460143144395
E02000320,24.27621721251285,0.25,0.2709648993978558
E02000321,35.5556574389745,0.25,0.539922628062041
E02000323,34.51178012240796,0,0.540367223896958
E02000324,31.99235433494884,0,0.3552691806252302
E02000326,20.11357908514742,0,0.1461813461733695
E02000327,31.871587570621468,0,0.363564897413024
E02000328,16.744815393776985,0,0
E02000329,19.65876200384123,0,0
E02000331,26.205910304391217,0,0.20771680323563393
E02000332,16.58550762527233,0,0
E02000333,13.832827421663751,0,0
E02000334,23.236971660539215,0,0.0906016189370485
E02000335,10.733129183704376,0,0
E02000337,32.430876172607874,0,0.3910272867910865
E02000339,15.38680174686882,0,0
E02000340,16.069096668307896,0,0
E02000341,40.41571540469974,0.2,0.7696406486189363
E02000342,22.565737265830624,0,0
E02000343,26.152285735623597,0,0.3082591093117409
E02000344,13.496047392613727,0,0
E02000345,29.084700713893465,0,0.19587184600710997
E02000346,52.02187421694692,1,1
E02000347,31.89511234705228,0,0.3756308178678063
E02000348,35.50051827040195,0,0.5678562728380023
E02000350,25.31555836415947,0,0.02558948233716225
E02000351,27.326916569969832,0,0.22925639115193408
E02000352,28.299162579342184,0,0.28484526376529895
E02000353,24.153468666581922,0,0.11405136713653967
E02000354,39.241737267825044,0.16666666666666666,0.6863204671354839
E02000355,32.63501874499943,0,0.40828154796638405
E02000356,22.437160276385313,0,0
E02000357,49.966551847252404,1,1
E02000358,34.96816146953405,0.16666666666666666,0.5283345123561591
E02000359,33.96113527653214,0,0.5039721501062071
E02000360,38.00971627826389,0,0.6800004103649055
E02000361,36.33220477642276,0,0.6043766046213093
E02000362,46.42703631546134,0.5,0.8465698418427614
E02000363,48.19534830030904,0.8333333333333334,0.9573986547900382
E02000364,29.96769620391642,0,0.2622173665209956
E02000365,32.635292149099875,0,0.4740240925013662
E02000366,38.841391630159094,0.4,0.5750266980571095
E02000367,35.08298734302383,0.16666666666666666,0.5741018595138098
E02000368,40.33018112854619,0.3333333333333333,0.7531752325842143
E02000369,37.174228878261594,0,0.639985030535059
E02000370,34.89898844884488,0.25,0.4837294349735725
E02000371,30.23947047486895,0,0.3321366262557411
E02000372,38.424829205305784,0.2,0.6812289557089107
E02000373,45.79786878242295,0.75,0.9768686860575301
E02000374,28.970650317892826,0,0.28559324059467467
E02000375,32.51275693335269,0.25,0.4287758018539888
E02000376,33.22950247957993,0,0.44507308235583115
E02000377,30.62421690452756,0,0.35549594643597177
E02000378,25.69520491043854,0.25,0.22930821494749845
E02000379,20.579208652070694,0,0.08057726748948339
E02000380,18.151396995337592,0,0
E02000381,21.856181936153646,0,0.08294118048820467
E02000382,27.06229838177014,0,0.1778193005631648
E02000383,19.651328011295753,0,0.11503747148908437
E02000384,34.02269377593361,0.2,0.4858211399868967
E02000385,18.239770415769424,0,0
E02000386,33.41852177158497,0.2,0.4719585259491101
E02000387,24.508937326587237,0,0.1461774028673773
E02000388,21.070660074626865,0,0.04358208955223879
E02000389,11.835426869300912,0,0
E02000390,20.818053460620526,0,0
E02000391,18.209350098749177,0,0.09269186791864452
E02000392,19.157900833511434,0,0.13156544920754548
E02000393,10.281444612794614,0,0
E02000394,21.853885563153142,0,0
E02000395,10.857336341961853,0,0
E02000396,19.258664826740265,0,0.011721864458754968
E02000397,29.881731937043003,0,0.3236512709459856
E02000398,54.12342070665571,1,1
E02000400,25.63078931788932,0,0.16579929553613762
E02000401,43.614830888823704,0.25,0.8961599326859242
E02000402,48.29864103325416,1,1
E02000403,27.385579291917168,0,0.15712126006398758
E02000404,33.849182217489684,0.25,0.4064411161005134
E02000405,13.1308653934301,0,0
E02000406,35.89086200641831,0,0.5921361062765746
E02000407,46.40053492987563,0.5,0.9677351290372
E02000408,44.46246898294378,0.5,0.8254081191608206
E02000409,42.34073685852441,0.5,0.6502228899342413
E02000410,12.247770873786408,0,0
E02000411,38.50183647175422,0,0.7280925616817067
E02000412,40.6993020011274,0.25,0.6510561917759449
E02000413,15.408309044551798,0,0
