lad_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Housing_Proportion,Housing_Extent,Access_Proportion,Access_Extent,Environment_Proportion,Environment_Extent
W06000001,0.022727272727272728,0.10711769537058814,0.045454545454545456,0.15904617238884083,0.045454545454545456,0.13445285865750134,0,0.10526405959647343,0,0.06485117788546434,0.06818181818181818,0.12896491403401067,0.022727272727272728,0.1985999201993963,0.1590909090909091,0.42162900684316473,0,0
W06000002,0.0273972602739726,0.05107409660953926,0.0410958904109589,0.05441520467836257,0.0273972602739726,0.04209368556265423,0.0136986301369863,0.04209391795963898,0.0136986301369863,0.04052832285434202,0.0684931506849315,0.15139852280025687,0.2191780821917808,0.38850997616874555,0.273972602739726,0.48639651573538856,0.0136986301369863,0.02381519791772302
W06000003,0.056338028169014086,0.12041060562038783,0.07042253521126761,0.1460084325127298,0.07042253521126761,0.14922895812348974,0.014084507042253521,0.09808602438324507,0.04225352112676056,0.09759165047418851,0.08450704225352113,0.17881080823779882,0.08450704225352113,0.1885408223338993,0.1267605633802817,0.18758503577014599,0,0.045961887090190334
W06000004,0.1206896551724138,0.16581870550603225,0.1206896551724138,0.18939459604537173,0.1206896551724138,0.18075250904179022,0.08620689655172414,0.1654789783877014,0.1724137931034483,0.18850587166377739,0.10344827586206896,0.21643920111053422,0.15517241379310345,0.26731027090171505,0.13793103448275862,0.2910101835637413,0.017241379310344827,0.04393287075739843
W06000005,0.03260869565217391,0.11333725007586229,0.021739130434782608,0.11431860480798407,0.010869565217391304,0.08136169459523247,0.09782608695652174,0.2015675005900401,0.05434782608695652,0.11984274587814826,0.08695652173913043,0.15890883037189385,0.021739130434782608,0.12388499275093562,0.03260869565217391,0.13020523281297414,0.010869565217391304,0.0585204996796925
W06000006,0.07058823529411765,0.14845734893733814,0.058823529411764705,0.1484176111409838,0.03529411764705882,0.10854058732966265,0.11764705882352941,0.25462532077673167,0.07058823529411765,0.1726563119995757,0.18823529411764706,0.3513321549421779,0.058823529411764705,0.1282425209518644,0.07058823529411765,0.17135160381591236,0,0.003019414420116575
W06000008,0.021739130434782608,0.028524223413613475,0.021739130434782608,0.03461683819563351,0.043478260869565216,0.04393301501225379,0,0.006616106950090679,0,0.01432198696066116,0.06521739130434782,0.10932826770826923,0.2826086956521739,0.4420222559286999,0.5,0.672758497109408,0.021739130434782608,0.04834246183586072
W06000009,0.056338028169014086,0.11553691589606038,0.056338028169014086,0.12301216627860961,0.07042253521126761,0.12356551359482494,0.08450704225352113,0.19126840273042683,0.014084507042253521,0.06088746819758866,0.08450704225352113,0.16271924944217672,0.07042253521126761,0.10988420199268617,0.38028169014084506,0.5190544236411658,0,0.01927951903794202
W06000010,0.044642857142857144,0.12772851483376263,0.03571428571428571,0.1195417365903382,0.0625,0.1547070538544474,0.07142857142857142,0.12570264054274616,0.03571428571428571,0.10031381660151299,0.05357142857142857,0.11182478408118553,0.11607142857142858,0.21818099568706054,0.21428571428571427,0.38199928401134314,0.03571428571428571,0.2013385893071778
W06000011,0.11486486486486487,0.23572734961378616,0.12837837837837837,0.2576570889394479,0.14864864864864866,0.22439045257408743,0.11486486486486487,0.20402563081374347,0.12162162162162163,0.24717860105560202,0.10135135135135136,0.21319927668949493,0.07432432432432433,0.17708974066386285,0.013513513513513514,0.07484732680470167,0.013513513513513514,0.06992655023038155
W06000012,0.15384615384615385,0.31854391412365474,0.15384615384615385,0.3033004221470188,0.18681318681318682,0.36710874279513106,0.1978021978021978,0.3332495221236988,0.16483516483516483,0.32379186811532196,0.054945054945054944,0.11247267245320852,0.02197802197802198,0.1007818074649695,0,0.11226400439223866,0.08791208791208792,0.23700349065455742
W06000013,0.06818181818181818,0.20542384547077217,0.06818181818181818,0.20526328316626286,0.06818181818181818,0.2544051016292099,0.06818181818181818,0.15389562233283496,0.1590909090909091,0.3018357110465505,0.022727272727272728,0.08487990576717894,0.045454545454545456,0.10756020817980114,0,0.08511631103273487,0.045454545454545456,0.11641017619977015
W06000014,0.0379746835443038,0.12654672511861972,0.06329113924050633,0.14329029810259666,0.05063291139240506,0.12932092746181967,0.0379746835443038,0.09170820277579798,0.05063291139240506,0.10772796202592988,0.02531645569620253,0.13117534679745468,0.06329113924050633,0.11349932411481892,0.0379746835443038,0.09439826913507578,0.06329113924050633,0.12603312329871366
