lsoa_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile
W01000484,1253,1531,1716.5,1676,1375,682,33,1284,1392,7,9,9,9,8,4,1,7,8
W01000485,1400,1413,1503,1598,1128,1429,216,1012,1573,8,8,8,9,6,8,2,6,9
W01000486,1367,1061,1273.5,1673,968,865,1002,1099,1151,8,6,7,9,6,5,6,6,7
W01000487,1005,1071,1165.5,1047,640,1128,280,1710,1144,6,6,6,6,4,6,2,10,7
W01000488,1094,1570,1616,1670,1357,686,5,1076,1471,6,9,9,9,8,4,1,6,8
W01000489,992,1077,981,833,739,702,825,834,1040,6,6,5,5,4,4,5,5,6
W01000490,1779,1661,1616,1651,1430,1769,979,1057,1376,10,9,9,9,8,10,6,6,8
W01000491,388,258,427.5,1127,313,1320,527,1582,68,3,2,3,6,2,7,3,9,1
W01000492,1365,1241,1273.5,1330,1515,283,1642,813,414,8,7,7,8,8,2,9,5,3
W01000493,1728,1751,1802.5,1770,1208,1561,415,1619,1444,10,10,10,10,7,9,3,9,8
W01000494,1139,1428,1386.5,836,1176,1123,140,1221,1204,7,8,7,5,7,6,1,7,7
W01000495,1413,1599,1616,1666,1505,1168,67,1493,1726,8,9,9,9,8,7,1,8,10
W01000496,857,1110,821,749,837,1411,182,1309,1206,5,6,5,4,5,8,1,7,7
W01000497,1417,1356,1503,1754,1323,1028,162,1611,1673,8,8,8,10,7,6,1,9,9
W01000498,471,401,681,805,482,538,268,702,360,3,3,4,5,3,3,2,4,2
W01000499,625,703,744.5,168,821,821,1644,287,1119,4,4,4,1,5,5,9,2,6
W01000500,1226,1145,1386.5,1341,1003,749,378,800,1556,7,7,7,8,6,4,2,5,9
W01000501,1167,978,1165.5,1289,966,489,928,1092,793,7,6,6,7,6,3,5,6,5
W01000502,1016,1123,619.5,957,1227,1330,1211,277,1354,6,6,4,6,7,8,7,2,8
W01000503,1440,1824,1802.5,1766,1619,1298,18,1579,1895,8,10,10,10,9,7,1,9,10
W01000504,117,226,44,44,218,1465,963,1815,350,1,2,1,1,2,8,6,10,2
W01000505,797,816,619.5,646,1075,1061,901,494,998,5,5,4,4,6,6,5,3,6
W01000506,1446,1115,1066,1734,1320,693,1683,565,1298,8,6,6,10,7,4,9,3,7
W01000507,1511,1371,1616,1691,1245,1222,221,1780,1825,8,8,9,9,7,7,2,10,10
W01000508,874,777,900.5,1275,847,356,407,843,1744,5,5,5,7,5,2,3,5,10
W01000509,843,878,900.5,1200,724,535,279,1325,912,5,5,5,7,4,3,2,7,5
W01000510,379,288,202.5,872,595,131,1741,1242,480,2,2,1,5,4,1,10,7,3
W01000511,250,224,202.5,729,417,23,1352,703,275,2,2,1,4,3,1,8,4,2
W01000512,1822,1840,1883.5,1379,1850,191,1512,1271,1738,10,10,10,8,10,2,8,7,10
W01000513,1076,1491,1386.5,1040,1191,1,1895,719,132,6,8,7,6,7,1,10,4,1
W01000514,1584,1639,1503,1729,1729,26,1382,1236,1065,9,9,8,10,10,1,8,7,6
W01000515,652,626,681,924,659,28,1008,1869,562,4,4,4,5,4,1,6,10,3
W01000516,747,606,900.5,1302,551,77,774,1843,856,4,4,5,7,3,1,5,10,5
W01000517,1203,1209,1273.5,1741,1531,10,1748,659,251,7,7,7,10,9,1,10,4,2
W01000518,1369,1199,1616,1397,1188,125,1448,542,1153,8,7,9,8,7,1,8,3,7
W01000519,1051,977,1386.5,1316,1198,986,86,1265,1786,6,6,7,7,7,6,1,7,10
W01000520,1450,1628,1503,1857,1617,324,200,1252,1232,8,9,8,10,9,2,2,7,7
W01000521,905,922,821,1535,1252,432,444,286,860,5,5,5,9,7,3,3,2,5
W01000522,907,951,1066,1487,1091,763,49,1637,1631,5,6,6,8,6,5,1,9,9
W01000523,1385,1516,1616,1744,1463,518,126,1096,1762,8,8,9,10,8,3,1,6,10
W01000524,1174,1331,1386.5,1486,1024,610,106,1530,1697,7,8,7,8,6,4,1,9,9
W01000525,1836,1831,1802.5,1842,1841,1801,346,1877,1828,10,10,10,10,10,10,2,10,10
W01000526,1621,1547,1802.5,1731,1444,387,414,1759,1332,9,9,10,10,8,3,3,10,8
W01000527,1759,1641,1802.5,1816,1735,166,1678,739,1264,10,9,10,10,10,1,9,4,7
W01000528,854,742,981,1687,927,223,320,507,1352,5,4,5,9,5,2,2,3,8
W01000529,975,970,1386.5,1652,823,603,97,955,1604,6,6,7,9,5,4,1,6,9
W01000530,1778,1799,1858.5,1848,1737,497,775,631,1668,10,10,10,10,10,3,5,4,9
W01000531,936,1045,981,1082,995,513,219,1074,1541,5,6,5,6,6,3,2,6,9
W01000532,1186,1342,1386.5,1657,1255,556,66,1754,1606,7,8,7,9,7,3,1,10,9
W01000533,737,605,821,955,893,653,530,357,1165,4,4,5,6,5,4,3,2,7
W01000534,1588,1556,1716.5,1436,1573,1271,223,1311,1824,9,9,9,8,9,7,2,7,10
W01000535,931,994,1165.5,1668,1142,575,43,1222,1815,5,6,6,9,7,4,1,7,10
W01000536,988,1029,1165.5,1481,1192,688,59,1662,1723,6,6,6,8,7,4,1,9,10
W01000537,912,1116,1165.5,1695,997,380,39,1260,1774,5,6,6,9,6,2,1,7,10
W01000538,1146,1464,1503,1402,1611,528,44,811,1430,7,8,8,8,9,3,1,5,8
W01000539,1033,1284,1616,1575,994,708,12,1538,1833,6,7,9,9,6,4,1,9,10
W01000540,1176,1158,1273.5,1190,1090,691,330,760,1804,7,7,7,7,6,4,2,5,10
W01000541,954,1346,1386.5,1310,1173,483,23,844,1784,6,8,7,7,7,3,1,5,10
W01000542,1023,1179,1165.5,1485,1273,621,57,1375,1740,6,7,6,8,7,4,1,8,10
W01000543,1198,1431,1503,1713,1206,308,78,1363,1630,7,8,8,10,7,2,1,8,9
W01000544,1069,939,1165.5,1197,921,307,659,1812,879,6,5,6,7,5,2,4,10,5
W01000545,1015,1216,1273.5,1537,1260,741,30,1182,1826,6,7,7,9,7,4,1,7,10
W01000546,822,958,744.5,1014,1348,375,124,1511,1712,5,6,4,6,8,2,1,8,10
W01000547,1154,1197,1273.5,1594,1493,729,55,1793,1788,7,7,7,9,8,4,1,10,10
W01000548,1370,1347,1386.5,1321,1572,1015,205,1570,1629,8,8,7,7,9,6,2,9,9
W01000549,1559,1826,1716.5,1742,1582,1025,100,1364,1859,9,10,9,10,9,6,1,8,10
W01000550,838,897,981,1161,1007,268,169,1178,1195,5,5,5,7,6,2,1,7,7
W01000551,1017,1098,1386.5,1337,1040,612,65,1492,1860,6,6,7,8,6,4,1,8,10
W01000552,1387,1634,1716.5,1701,1590,933,47,1142,1886,8,9,9,9,9,5,1,7,10
W01000553,1166,1450,1165.5,1612,1340,601,69,1549,1734,7,8,6,9,8,4,1,9,10
W01000554,1405,1513,1386.5,1311,1579,1370,129,1797,1806,8,8,7,7,9,8,1,10,10
W01000555,1377,1576,1503,1690,1509,765,93,1431,1727,8,9,8,9,8,5,1,8,10
W01000556,1323,1446,1273.5,1242,1363,1329,148,1698,1876,7,8,7,7,8,8,1,9,10
W01000557,1343,1395,1503,1262,1490,866,150,1481,1694,8,8,8,7,8,5,1,8,9
W01000558,967,1104,1273.5,825,1329,963,70,1475,1499,6,6,7,5,8,6,1,8,8
W01000559,968,1289,1165.5,1335,1095,687,37,1519,1661,6,7,6,8,6,4,1,9,9
W01000560,1212,1224,1616,1646,1411,591,48,1638,1888,7,7,9,9,8,4,1,9,10
W01000561,1027,1026,1386.5,1388,1223,465,75,1398,1856,6,6,7,8,7,3,1,8,10
W01000562,1165,1245,1503,1620,1324,533,53,1779,1457,7,7,8,9,7,3,1,10,8
W01000563,1179,1204,1165.5,1272,1486,565,164,1788,1580,7,7,6,7,8,3,1,10,9
W01000564,1222,1214,1165.5,848,1261,973,399,1866,1426,7,7,6,5,7,6,3,10,8
W01000565,1052,717,981,1189,790,1237,1119,1427,959,6,4,5,7,5,7,6,8,6
W01000566,902,840,821,822,610,337,1577,1875,861,5,5,5,5,4,2,9,10,5
W01000567,726,649,744.5,1000,780,159,583,1629,1088,4,4,4,6,5,1,4,9,6
W01000568,425,489,373,250,950,86,1707,927,184,3,3,2,2,6,1,9,5,1
W01000569,1336,1328,1503,1430,1116,368,360,1425,1448,8,7,8,8,6,2,2,8,8
W01000570,102,66,273.5,57,258,195,652,1603,78,1,1,2,1,2,2,4,9,1
W01000571,1007,813,981,880,759,651,1123,1620,1123,6,5,5,5,4,4,6,9,6
W01000572,1424,1349,1273.5,1170,1182,643,970,912,1619,8,8,7,7,7,4,6,5,9
W01000573,1432,1143,1386.5,1177,1272,810,1058,872,1437,8,7,7,7,7,5,6,5,8
W01000574,1224,1242,1273.5,1493,1353,1058,116,1499,1611,7,7,7,8,8,6,1,8,9
W01000575,756,829,1066,582,606,928,233,1326,1061,4,5,6,4,4,5,2,7,6
W01000576,1018,921,1066,1381,1054,537,231,1789,1405,6,5,6,8,6,3,2,10,8
W01000577,1234,1306,1616,1689,1471,576,46,1478,1837,7,7,9,9,8,4,1,8,10
W01000578,1113,1391,1066,1401,1614,646,80,1301,1490,6,8,6,8,9,4,1,7,8
W01000579,1130,1171,1273.5,1447,1267,771,104,1290,1704,6,7,7,8,7,5,1,7,9
W01000580,1415,1434,1386.5,1300,1313,1231,234,1688,1841,8,8,7,7,7,7,2,9,10
W01000581,1259,1220,1386.5,1340,1387,1033,114,1787,1843,7,7,7,8,8,6,1,10,10
W01000582,865,966,1273.5,1454,1556,362,1,1792,1882,5,6,7,8,9,2,1,10,10
W01000583,1337,1089,1386.5,1808,1420,913,185,1782,1663,8,6,7,10,8,5,1,10,9
W01000584,1216,1147,1273.5,1497,1336,572,194,1745,1340,7,7,7,8,8,4,2,10,8
W01000585,1109,1422,1716.5,1228,1527,547,13,1593,1745,6,8,9,7,9,3,1,9,10
W01000586,778,675,1066,982,455,431,468,1258,1281,5,4,6,6,3,3,3,7,7
W01000587,741,819,681,850,783,475,1743,97,567,4,5,4,5,5,3,10,1,3
W01000588,495,382,373,1044,560,554,1173,1175,192,3,3,2,6,3,3,7,7,2
W01000589,631,478,744.5,847,487,252,1785,557,557,4,3,4,5,3,2,10,3,3
W01000590,875,807,821,1096,828,855,1524,83,1001,5,5,5,6,5,5,9,1,6
W01000591,799,832,1066,728,680,454,821,477,511,5,5,6,4,4,3,5,3,3
W01000592,213,216,320.5,525,134,9,726,983,559,2,2,2,3,1,1,4,6,3
W01000593,963,824,900.5,1130,862,505,829,1138,1041,6,5,5,6,5,3,5,6,6
W01000594,331,253,320.5,464,358,285,1479,635,434,2,2,2,3,2,2,8,4,3
W01000595,1095,770,981,846,1171,406,1739,1753,1082,6,5,5,5,7,3,10,10,6
W01000596,1297,1404,1386.5,954,1307,1139,186,1805,1761,7,8,7,6,7,7,1,10,10
W01000597,1180,1175,1066,1525,1248,384,324,1456,1323,7,7,6,9,7,3,2,8,7
W01000598,974,899,900.5,1182,652,638,880,1344,928,6,5,5,7,4,4,5,8,5
W01000599,759,883,981,902,669,382,284,479,1252,4,5,5,5,4,3,2,3,7
W01000600,404,426,273.5,533,499,219,1816,624,291,3,3,2,3,3,2,10,4,2
W01000601,52,45,84.5,140,113,61,950,356,120,1,1,1,1,1,1,6,2,1
W01000602,893,861,744.5,931,840,898,1009,531,982,5,5,4,5,5,5,6,3,6
W01000603,688,634,619.5,710,758,472,1018,1054,648,4,4,4,4,4,3,6,6,4
W01000604,466,400,553,620,343,302,721,1298,573,3,3,3,4,2,2,4,7,4
W01000605,721,686,821,504,721,527,839,1359,786,4,4,5,3,4,3,5,8,5
W01000606,99,94,136,160,194,6,1060,1354,274,1,1,1,1,2,1,6,8,2
W01000607,301,335,553,298,223,87,1040,787,252,2,2,3,2,2,1,6,5,2
W01000608,613,518,681,797,831,232,1626,499,134,4,3,4,5,5,2,9,3,1
W01000609,1425,1263,1066,1534,1316,1509,554,1474,1417,8,7,6,9,7,8,3,8,8
W01000610,1448,1631,1273.5,1136,1667,845,331,1550,1215,8,9,7,6,9,5,2,9,7
W01000611,1408,1579,1386.5,1683,1506,744,144,1294,1834,8,9,7,9,8,4,1,7,10
W01000612,1037,1128,981,925,1451,230,384,1367,1366,6,6,5,5,8,2,3,8,8
W01000613,860,836,1066,1403,1288,379,79,946,1547,5,5,6,8,7,2,1,5,9
W01000614,880,1226,1386.5,1372,1127,754,7,809,1157,5,7,7,8,6,4,1,5,7
W01000615,1581,1283,1503,1571,1473,881,540,1799,1560,9,7,8,9,8,5,3,10,9
W01000616,1383,1185,1386.5,1253,1443,373,822,1635,839,8,7,7,7,8,2,5,9,5
W01000617,829,1009,1165.5,723,945,828,73,1385,1497,5,6,6,4,5,5,1,8,8
W01000618,1128,1027,1386.5,1515,1275,581,135,1215,1651,6,6,7,8,7,4,1,7,9
W01000619,1373,992,1273.5,1201,1514,394,1242,1376,1335,8,6,7,7,8,3,7,8,8
W01000620,1014,865,900.5,1010,1567,105,1797,1357,308,6,5,5,6,9,1,10,8,2
W01000621,820,791,981,717,896,205,698,890,1033,5,5,5,4,5,2,4,5,6
W01000622,1217,1559,1503,1171,1391,619,145,450,1513,7,9,8,7,8,4,1,3,8
W01000623,1124,1365,1716.5,1191,1522,1182,17,897,1805,6,8,9,7,9,7,1,5,10
W01000624,1496,1638,1716.5,1353,1541,1487,132,947,1735,8,9,9,8,9,8,1,5,10
W01000625,373,480,320.5,177,465,1268,959,320,847,2,3,2,1,3,7,6,2,5
W01000626,684,583,427.5,663,1120,1059,1833,524,497,4,4,3,4,6,6,10,3,3
W01000627,692,771,821,513,888,1138,304,473,1209,4,5,5,3,5,6,2,3,7
W01000628,1021,1410,1066,436,1304,1463,565,183,1588,6,8,6,3,7,8,3,1,9
W01000629,739,639,619.5,705,854,1392,1454,593,364,4,4,4,4,5,8,8,4,2
W01000630,910,974,744.5,785,907,1092,1151,541,618,5,6,4,5,5,6,7,3,4
W01000631,75,135,65.5,49,95,1035,836,226,540,1,1,1,1,1,6,5,2,3
W01000632,612,406,373,947,742,1356,1621,625,997,4,3,2,5,4,8,9,4,6
W01000633,394,460,237.5,802,419,488,1379,200,374,3,3,2,5,3,3,8,2,2
W01000634,1144,1054,900.5,1043,1235,1305,596,828,1587,7,6,5,6,7,7,4,5,9
W01000635,906,1357,1066,732,1084,354,510,68,1564,5,8,6,4,6,2,3,1,9
W01000636,473,433,373,489,456,1108,644,1024,1355,3,3,2,3,3,6,4,6,8
W01000637,685,612,744.5,779,601,780,685,668,851,4,4,4,5,4,5,4,4,5
W01000638,342,289,427.5,553,126,520,1055,1399,446,2,2,3,3,1,3,6,8,3
W01000639,973,748,981,913,1049,664,1552,700,463,6,4,5,5,6,4,9,4,3
W01000640,1766,1860,1716.5,1704,1697,1622,400,970,1893,10,10,9,9,9,9,3,6,10
W01000641,566,645,373,772,801,186,1802,612,213,3,4,2,5,5,1,10,4,2
W01000642,1437,1633,1503,971,1685,1707,511,122,1810,8,9,8,6,9,9,3,1,10
W01000643,727,701,900.5,757,576,1205,820,188,921,4,4,5,4,4,7,5,1,5
W01000644,1416,1537,1503,1547,1379,1211,312,310,1491,8,9,8,9,8,7,2,2,8
W01000645,1105,1041,981,1111,1149,712,1253,300,914,6,6,5,6,7,4,7,2,5
W01000646,683,917,900.5,835,964,480,109,274,1267,4,5,5,5,6,3,1,2,7
W01000647,976,1152,1066,1794,1412,620,29,1154,1890,6,7,6,10,8,4,1,7,10
W01000648,1039,1380,1503,1380,1281,829,16,820,1878,6,8,8,8,7,5,1,5,10
W01000649,1491,1719,1503,1616,1663,1374,103,1122,1791,8,10,8,9,9,8,1,6,10
W01000650,892,1082,1165.5,1710,1202,857,3,1412,1869,5,6,6,10,7,5,1,8,10
W01000651,1191,1208,981,976,1294,1359,995,215,1258,7,7,5,6,7,8,6,2,7
W01000652,584,383,427.5,1230,510,826,1193,502,1420,4,3,3,7,3,5,7,3,8
W01000653,1024,982,900.5,397,1345,1604,1636,404,1229,6,6,5,3,8,9,9,3,7
W01000654,532,691,488.5,227,955,1085,1773,87,479,3,4,3,2,6,6,10,1,3
W01000655,419,342,373,394,402,935,1210,434,970,3,2,2,3,3,5,7,3,6
W01000656,573,607,488.5,385,677,1551,546,1014,1046,4,4,3,3,4,9,3,6,6
W01000657,556,678,619.5,387,462,1084,406,1137,827,3,4,4,3,3,6,3,6,5
W01000658,676,713,427.5,484,830,1485,1053,909,1107,4,4,3,3,5,8,6,5,6
W01000659,156,270,202.5,243,73,864,1548,14,264,1,2,1,2,1,5,9,1,2
W01000660,192,209,84.5,528,495,659,1274,21,510,2,2,1,3,3,4,7,1,3
W01000661,131,193,167.5,107,150,669,927,116,220,1,2,1,1,1,4,5,1,2
W01000662,815,1052,900.5,364,990,775,300,1694,1374,5,6,5,2,6,5,2,9,8
W01000663,1091,1133,1066,1001,1079,1552,351,560,1732,6,6,6,6,6,9,2,3,10
W01000664,927,1160,681,1329,1060,1170,313,381,1306,5,7,4,8,6,7,2,3,7
W01000665,1675,1659,1386.5,1520,1691,1482,489,1516,1706,9,9,7,9,9,8,3,8,9
W01000666,1242,1067,1066,904,1048,1352,1130,867,1329,7,6,6,5,6,8,6,5,8
W01000667,1131,1161,821,1069,1355,1157,713,464,1428,6,7,5,6,8,7,4,3,8
W01000668,256,275,202.5,163,571,1388,337,1458,791,2,2,1,1,4,8,2,8,5
W01000669,1428,1350,1165.5,1109,1480,1643,761,678,1359,8,8,6,6,8,9,5,4,8
W01000670,531,592,427.5,426,381,799,1132,1307,1097,3,4,3,3,3,5,6,7,6
W01000671,928,938,744.5,830,1184,1143,368,1304,1516,5,5,4,5,7,7,2,7,8
W01000672,824,952,1066,1331,761,342,122,879,1418,5,6,6,8,5,2,1,5,8
W01000673,1175,1207,1273.5,1429,829,815,317,1028,1293,7,7,7,8,5,5,2,6,7
W01000674,997,1120,1503,1543,1398,671,6,1581,1872,6,6,8,9,8,4,1,9,10
W01000675,1184,1398,1273.5,1018,1504,1197,96,1147,1792,7,8,7,6,8,7,1,7,10
W01000676,1307,1439,1165.5,1368,1731,1065,123,1588,1755,7,8,6,8,10,6,1,9,10
W01000677,996,744,821,689,1265,487,1792,1183,1190,6,4,5,4,7,3,10,7,7
W01000678,849,961,1165.5,879,1047,1101,77,606,1698,5,6,6,5,6,6,1,4,9
W01000679,1391,1192,1503,1019,1135,776,1521,332,1396,8,7,8,6,6,5,9,2,8
W01000680,1488,1529,1503,1135,1732,1775,243,743,1830,8,9,8,6,10,10,2,4,10
W01000681,769,705,553,731,786,1403,797,1127,1179,5,4,3,4,5,8,5,6,7
W01000682,1410,1397,1503,1716,1778,1423,94,967,1885,8,8,8,10,10,8,1,6,10
W01000683,879,896,1165.5,1610,1278,496,27,1305,1739,5,5,6,9,7,3,1,7,10
W01000684,1111,1206,1066,1409,1507,1036,91,1230,1863,6,7,6,8,8,6,1,7,10
W01000685,784,853,1066,1137,632,835,149,545,1505,5,5,6,6,4,5,1,3,8
W01000686,1204,1505,1273.5,1162,1012,918,134,1587,1864,7,8,7,7,6,5,1,9,10
W01000687,999,1288,1503,1206,1269,705,28,745,1708,6,7,8,7,7,4,1,4,10
W01000688,656,590,900.5,915,834,650,167,327,1618,4,4,5,5,5,4,1,2,9
W01000689,1006,1096,1273.5,1303,1190,529,72,1559,1558,6,6,7,7,7,3,1,9,9
W01000690,1031,1181,981,627,1097,1620,349,1283,1278,6,7,5,4,6,9,2,7,7
W01000691,948,849,821,988,1008,1709,316,1749,1393,5,5,5,6,6,10,2,10,8
W01000692,1236,1266,1066,799,1194,1072,898,856,1130,7,7,6,5,7,6,5,5,6
W01000693,1087,1086,981,834,947,1513,556,1253,1327,6,6,5,5,5,8,3,7,7
W01000694,1257,1476,1273.5,1342,1295,983,204,633,1403,7,8,7,8,7,6,2,4,8
W01000695,504,560,488.5,548,473,798,289,1437,1141,3,3,3,3,3,5,2,8,7
W01000696,813,858,821,910,957,1104,146,1343,1612,5,5,5,5,6,6,1,8,9
W01000697,554,809,488.5,480,349,447,1026,515,1118,3,5,3,3,2,3,6,3,6
W01000698,751,747,681,803,635,911,559,956,1201,4,4,4,5,4,5,3,6,7
W01000699,1228,1521,1386.5,899,1455,1167,160,704,1597,7,9,7,5,8,7,1,4,9
W01000700,1211,1500,1386.5,1153,1386,1077,81,1022,1796,7,8,7,7,8,6,1,6,10
W01000701,1099,1178,1503,1404,1233,514,71,1240,1873,6,7,8,8,7,3,1,7,10
W01000702,708,986,1273.5,562,672,253,227,237,1650,4,6,7,3,4,2,2,2,9
W01000703,635,664,488.5,560,650,1094,1717,692,293,4,4,3,3,4,6,10,4,2
W01000704,1277,1248,900.5,813,1468,1569,736,1276,1555,7,7,5,5,8,9,4,7,9
W01000705,273,311,320.5,50,569,1190,885,526,1077,2,2,2,1,3,7,5,3,6
W01000706,686,681,553,622,690,1259,1076,490,929,4,4,3,4,4,7,6,3,5
W01000707,259,196,237.5,322,247,367,1490,1206,785,2,2,2,2,2,2,8,7,5
W01000708,171,153,202.5,120,182,695,1719,533,309,1,1,1,1,1,4,10,3,2
W01000709,1019,1230,1066,1751,1296,1275,21,1476,1861,6,7,6,10,7,7,1,8,10
W01000710,1464,1503,1165.5,927,1477,1641,593,1287,1643,8,8,6,5,8,9,4,7,9
W01000711,422,378,273.5,443,500,836,753,1507,987,3,2,2,3,3,5,4,8,6
W01000712,1110,1097,900.5,1123,1139,1080,504,754,1857,6,6,5,6,7,6,3,4,10
W01000713,994,1114,619.5,744,1290,1258,656,1058,1685,6,6,4,4,7,7,4,6,9
W01000714,677,756,619.5,516,530,1048,1447,296,996,4,4,4,3,3,6,8,2,6
W01000715,1409,1358,1165.5,1108,1312,1563,605,1140,1508,8,8,6,6,7,9,4,7,8
W01000716,1300,1507,1165.5,1036,1150,1195,303,1625,1454,7,8,6,6,7,7,2,9,8
W01000717,760,786,681,984,443,1208,365,1770,1542,5,5,4,6,3,7,2,10,9
W01000718,651,662,681,435,772,696,751,699,720,4,4,4,3,5,4,4,4,4
W01000719,689,943,681,407,857,1083,353,708,1071,4,5,4,3,5,6,2,4,6
W01000720,1193,1196,1165.5,739,1053,949,572,1454,1586,7,7,6,4,6,6,4,8,9
W01000721,1235,1157,1503,1146,983,909,253,1409,1725,7,7,8,7,6,5,2,8,10
W01000722,1486,1575,1716.5,1506,1547,958,111,1391,1896,8,9,9,8,9,6,1,8,10
W01000723,1119,1223,1066,1057,1082,1294,252,1094,1591,6,7,6,6,6,7,2,6,9
W01000724,541,788,744.5,193,639,1474,215,697,1295,3,5,4,2,4,8,2,4,7
W01000725,733,1039,744.5,278,982,989,480,617,1512,4,6,4,2,6,6,3,4,8
W01000726,1678,1853,1503,1360,1725,1783,294,1573,1862,9,10,8,8,10,10,2,9,10
W01000727,1306,1520,821,941,1229,1735,584,1451,1894,7,9,5,5,7,10,4,8,10
W01000728,1001,1234,1386.5,1425,980,841,26,1524,1883,6,7,7,8,6,5,1,9,10
W01000729,383,404,273.5,256,342,755,931,1834,1628,3,3,2,2,2,4,5,10,9
W01000730,600,676,553,637,719,632,302,1248,1142,4,4,3,4,4,4,2,7,7
W01000731,1185,1112,1066,933,1044,1454,487,1767,1211,7,6,6,5,6,8,3,10,7
W01000732,510,598,681,318,507,571,1772,137,248,3,4,4,2,3,4,10,1,2
W01000733,44,92,18,67,212,466,1783,78,21,1,1,1,1,2,3,10,1,1
W01000734,161,146,65.5,640,556,726,1623,40,99,1,1,1,4,3,4,9,1,1
W01000735,899,1111,1273.5,1002,874,326,181,462,1603,5,6,7,6,5,2,1,3,9
W01000736,1820,1802,1716.5,1850,1859,1661,380,1852,1802,10,10,9,10,10,9,2,10,10
W01000737,1439,1652,1716.5,1076,1702,1149,89,1760,1803,8,9,9,6,9,7,1,10,10
W01000738,61,60,84.5,96,52,614,1259,672,103,1,1,1,1,1,4,7,4,1
W01000739,236,242,488.5,200,156,322,1065,398,216,2,2,3,2,1,2,6,3,2
W01000740,926,1066,981,284,999,1609,1052,694,1098,5,6,5,2,6,9,6,4,6
W01000741,424,284,488.5,350,382,736,1489,595,831,3,2,3,2,3,4,8,4,5
W01000742,41,80,18,51,86,352,1789,465,79,1,1,1,1,1,2,10,3,1
W01000743,62,123,13.5,149,172,296,1564,191,77,1,1,1,1,1,2,9,2,1
W01000744,282,371,373,182,221,333,1649,605,197,2,2,2,1,2,2,9,4,2
W01000745,278,249,488.5,248,480,57,1841,458,57,2,2,3,2,3,1,10,3,1
W01000746,660,743,744.5,701,310,305,1503,888,507,4,4,4,4,2,2,8,5,3
W01000747,671,673,1165.5,145,798,145,1848,1369,552,4,4,6,1,5,1,10,8,3
W01000748,585,726,619.5,811,603,278,1031,189,257,4,4,4,5,4,2,6,1,2
W01000749,289,208,320.5,493,401,251,1746,525,189,2,2,2,3,3,2,10,3,1
W01000750,529,481,553,547,537,1140,623,353,1286,3,3,3,3,3,7,4,2,7
W01000751,1457,1675,1273.5,1210,1550,1484,435,403,1529,8,9,7,7,9,8,3,3,9
W01000752,338,266,373,714,148,1052,1152,252,750,2,2,2,4,1,6,7,2,4
W01000753,690,679,821,541,611,1402,841,257,1026,4,4,5,3,4,8,5,2,6
W01000754,743,764,681,594,784,1386,1810,89,736,4,5,4,4,5,8,10,1,4
W01000755,979,844,981,974,544,1006,1237,1584,664,6,5,5,6,3,6,7,9,4
W01000756,279,291,167.5,591,362,1332,873,293,418,2,2,1,4,2,8,5,2,3
W01000757,937,798,821,738,749,1251,1090,1541,1069,5,5,5,4,4,7,6,9,6
W01000758,1229,1202,1165.5,743,853,1448,1022,1696,814,7,7,6,4,5,8,6,9,5
W01000759,1188,1310,1273.5,473,1401,1478,1094,156,1488,7,7,7,3,8,8,6,1,8
W01000760,524,715,744.5,308,398,923,440,573,679,3,4,4,2,3,5,3,4,4
W01000761,650,569,821,502,344,1134,1536,1517,250,4,3,5,3,2,6,9,8,2
W01000762,254,158,427.5,312,81,1416,1540,1677,298,2,1,3,2,1,8,9,9,2
W01000763,920,800,981,755,534,636,1800,776,1164,5,5,5,4,3,4,10,5,7
W01000764,971,848,900.5,1151,554,519,1534,1470,743,6,5,5,7,3,3,9,8,4
W01000765,914,721,900.5,1235,715,389,1850,485,688,5,4,5,7,4,3,10,3,4
W01000766,1178,885,1165.5,989,931,859,1687,857,758,7,5,6,6,5,5,9,5,4
W01000767,490,343,427.5,581,400,661,1530,1725,584,3,2,3,4,3,4,9,10,4
W01000768,1525,1459,1273.5,1290,1302,1041,699,1348,1693,9,8,7,7,7,6,4,8,9
W01000769,1663,1442,1386.5,1439,1491,1804,689,1693,1683,9,8,7,8,8,10,4,9,9
W01000770,1813,1683,1616,1759,1498,1529,944,1545,1482,10,9,9,10,8,9,5,9,8
W01000771,1378,1210,1165.5,1195,1568,1575,391,1689,1544,8,7,6,7,9,9,3,9,9
W01000772,1647,1536,1386.5,1426,1740,1694,469,1775,1523,9,9,7,8,10,9,3,10,9
W01000773,610,571,553,558,738,897,1511,279,516,4,4,3,3,4,5,8,2,3
W01000774,1004,900,681,1217,1001,1554,1776,626,287,6,5,4,7,6,9,10,4,2
W01000775,1546,1654,1716.5,1559,1632,964,138,1599,1702,9,9,9,9,9,6,1,9,9
W01000776,1624,1779,1716.5,1346,1819,1553,193,982,1844,9,10,9,8,10,9,2,6,10
W01000777,1652,1555,1503,1317,1563,1851,1320,256,1350,9,9,8,7,9,10,7,2,8
W01000778,1636,1344,1386.5,1256,1410,1633,1589,860,1125,9,8,7,7,8,9,9,5,6
W01000779,1103,857,981,866,1088,1580,1178,1103,747,6,5,5,5,6,9,7,6,4
