lsoa_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile
W01000268,1819,1861,1858.5,1771,1768,1765,684,368,1845,10,10,10,10,10,10,4,2,10
W01000269,1045,877,981,1034,873,627,1283,885,919,6,5,5,6,5,4,7,5,5
W01000270,1608,1711,1716.5,1546,1612,1611,174,1202,1653,9,10,9,9,9,9,1,7,9
W01000271,1298,1453,1386.5,871,1216,1018,298,1216,1647,7,8,7,5,7,6,2,7,9
W01000272,1568,1745,1616,1707,1757,1288,137,926,1880,9,10,9,9,10,7,1,5,10
W01000273,591,622.5,681,722,453,791,1243,177,292,4,4,4,4,3,5,7,1,2
W01000274,260,228,320.5,339,411,543,1313,39,493,2,2,2,2,3,3,7,1,3
W01000275,1171,1388,1386.5,751,1205,734,1046,103,828,7,8,7,4,7,4,6,1,5
W01000276,1288,1177,1503,1868,1148,376,792,172,960,7,7,8,10,7,2,5,1,6
W01000277,1331,1063,1503,1653,1172,1234,638,382,815,8,6,8,9,7,7,4,3,5
W01000278,153,112,320.5,95,314,796,1203,90,162,1,1,2,1,2,5,7,1,1
W01000279,1470,1408,1503,1207,1078,1438,627,943,1120,8,8,8,7,6,8,4,5,6
W01000280,1360,1132,1273.5,1387,1209,1400,502,1823,984,8,6,7,8,7,8,3,10,6
W01000281,1325,1412,1273.5,1490,826,1304,748,493,871,7,8,7,8,5,7,4,3,5
W01000282,1824,1845,1883.5,1859,1670,1882,383,1234,1672,10,10,10,10,9,10,3,7,9
W01000283,1157,1184,1273.5,1157,737,1090,1537,186,462,7,7,7,7,4,6,9,1,3
W01000284,1739,1808,1802.5,1790,1813,1666,398,435,1659,10,10,10,10,10,9,3,3,9
W01000285,1823,1877,1802.5,1765,1827,1818,588,939,1092,10,10,10,10,10,10,4,5,6
W01000286,1730,1721,1802.5,1748,1736,1761,455,480,1459,10,10,10,10,10,10,3,3,8
W01000287,580,842,900.5,576,517,457,315,136,617,4,5,5,4,3,3,2,1,4
W01000288,209,189,237.5,428,158,281,1798,114,423,2,1,2,3,1,2,10,1,3
W01000289,1583,1518,1503,1579,1217,1300,524,1172,1346,9,9,8,9,7,7,3,7,8
W01000290,421,370,427.5,923,286,872,1815,108,138,3,2,3,5,2,5,10,1,1
W01000291,1101,1006,1066,1538,813,948,452,1288,1000,6,6,6,9,5,5,3,7,6
W01000292,351,367,553,239,230,136,1295,1082,371,2,2,3,2,2,1,7,6,2
W01000293,697,817,744.5,767,548,704,639,461,790,4,5,4,5,3,4,4,3,5
W01000294,1371,1668,1616,551,1301,1504,336,1876,1207,8,9,9,3,7,8,2,10,7
W01000295,1209,1021.5,1066,949,941,951,1329,1208,965,7,6,6,6,5,6,8,7,6
W01000296,214,285,373,197,149,116,949,248,496,2,2,2,2,1,1,6,2,3
W01000297,1290,993,1273.5,1362,985,968,766,1528,948,7,6,7,8,6,6,5,9,5
W01000298,636,637,681,851,631,710,287,938,906,4,4,4,5,4,4,2,5,5
W01000299,1672,1645,1716.5,1760,1700,1651,260,1009,1636,9,9,9,10,9,9,2,6,9
W01000300,1689,1664,1716.5,1674,1533,1549,308,1277,1747,9,9,9,9,9,9,2,7,10
W01000301,1502,1498,1616,1283,1635,910,269,1163,1463,8,8,9,7,9,5,2,7,8
W01000302,1853,1753,1616,1711,1800,1849,942,1509,1316,10,10,9,10,10,10,5,8,7
W01000303,1880,1834,1858.5,1845,1807,1706,688,1565,1620,10,10,10,10,10,9,4,9,9
W01000304,155,129,108,226,250,360,1832,1867,137,1,1,1,2,2,2,10,10,1
W01000305,1207,1019,1066,1186,967,602,1015,1384,1110,7,6,6,7,6,4,6,8,6
W01000306,658,682,744.5,565,621,284,813,1881,345,4,4,4,3,4,2,5,10,2
W01000307,1682,1833,1802.5,631,1762,1670,650,1690,1397,9,10,10,4,10,9,4,9,8
W01000308,1310,1153,1273.5,1118,1383,244,1250,671,1291,7,7,7,6,8,2,7,4,7
W01000309,1035,1064,1165.5,712,1140,946,367,1089,1126,6,6,6,4,7,5,2,6,6
W01000310,1474,1522,1616,1218,1503,1357,322,600,1310,8,9,9,7,8,8,2,4,7
W01000311,1138,1018,1165.5,1264,1161,787,728,424,792,6,6,6,7,7,5,4,3,5
