lsoa_code,IMD_decile,Income_decile,Employment_decile,Education_decile,Health_decile,Crime_decile,Housing_and_Access_decile,Environment_decile,IMD_rank,Income_rank,Employment_rank,Education_rank,Health_rank,Crime_rank,Housing_and_Access_rank,Environment_rank
E01000001,9,10,10,10,10,10,3,3,29199,32831,32742,32842,32113,32662,7319,7789
E01000002,10,10,10,10,10,10,4,4,30379,29901,31190,32832,29705,32789,11707,13070
E01000003,5,6,5,9,6,9,1,2,14915,18510,15103,26386,17600,29363,2157,4092
E01000005,3,2,3,4,6,10,1,3,8678,6029,7833,12370,17907,31059,2217,9397
E01000006,5,5,7,6,7,6,1,4,14486,14023,21692,17511,21581,18848,1033,10629
E01000007,3,2,4,7,5,2,1,4,7256,6261,11487,20536,16414,4925,274,11162
E01000008,2,2,2,4,4,4,1,3,5010,3382,6431,10569,12334,11113,981,8672
E01000009,3,3,4,6,3,2,1,3,6736,7506,11132,16819,9661,4431,554,9611
E01000010,3,3,6,7,5,1,1,1,6900,8902,17988,20182,16050,2164,259,2269
E01000011,3,3,5,4,6,3,1,2,7698,9033,16108,12224,18178,8727,110,4309
E01000012,2,2,5,5,6,3,1,2,5990,4570,13201,13896,16887,8515,39,5437
E01000013,2,2,3,4,3,1,1,3,4573,5966,7013,11346,7172,2236,1018,8569
E01000014,2,3,3,3,4,2,1,4,5650,6627,7932,7994,10972,5163,872,11704
E01000015,2,2,3,4,5,4,1,4,6405,5755,9271,10318,15626,10845,278,11351
E01000016,3,3,3,3,4,3,1,4,6739,6711,9461,8971,10676,8699,1273,11815
E01000017,2,2,2,4,3,4,1,4,4570,4033,5016,11972,6950,11685,902,10141
E01000018,2,2,3,4,4,3,1,4,6504,5998,7832,10125,12006,9663,1323,11373
E01000019,2,3,3,4,3,3,1,4,6410,7049,7641,10264,9374,7142,1855,10667
E01000020,2,2,3,4,2,3,1,3,5520,5760,8401,11245,6282,7066,1319,8756
E01000021,2,2,3,3,4,3,1,1,4611,5007,7865,7939,10085,8283,961,3095
E01000022,2,3,3,3,4,3,1,3,6098,6941,7576,9771,9980,9002,1191,8559
E01000023,2,2,4,4,5,1,1,2,5243,5088,11325,11907,15505,1812,912,4268
E01000024,3,4,4,3,4,4,1,3,8333,10056,12570,8860,12148,12816,940,8892
E01000025,2,2,3,4,4,2,1,4,5303,5570,7683,10465,10405,5042,707,9925
E01000027,2,2,3,2,5,1,1,5,5097,5730,6959,5869,13752,3211,1062,15032
E01000028,2,2,2,3,1,6,1,6,4240,3610,6080,9522,3254,18303,494,18166
E01000029,4,5,6,5,7,4,1,5,12389,14506,17567,15570,20355,11162,627,13867
E01000030,2,2,2,2,5,3,1,5,4760,3448,5569,5699,15751,9086,1127,14570
E01000031,4,4,6,6,5,2,2,4,12267,12951,17380,19087,15303,4231,4505,10136
E01000032,3,4,4,4,5,2,1,2,8037,10854,11603,11882,14597,4275,2210,4853
E01000033,2,2,3,3,4,5,1,5,4879,3732,7857,7805,11932,14128,52,14002
E01000034,2,2,3,3,3,4,1,6,5575,5759,6863,7148,7279,11900,1044,16800
E01000035,4,4,5,4,4,4,1,4,10070,10489,13897,10551,10364,12838,2476,13084
E01000036,5,5,6,6,6,4,2,4,15028,14690,17997,16612,18923,10655,5829,10188
E01000037,5,6,4,5,8,6,3,5,16128,16924,12386,13611,23465,17649,7168,15997
E01000038,5,4,6,5,6,5,3,4,14671,12877,16560,14630,17616,13426,8490,10547
E01000039,4,4,6,5,5,5,1,6,12542,12861,17820,13908,13416,15241,1472,17185
E01000040,2,2,3,3,5,3,1,3,6028,5648,9313,8063,13665,7641,915,9203
E01000041,3,3,4,3,4,4,1,3,6601,8647,11669,7142,10992,10010,501,7142
E01000042,2,2,2,3,3,4,1,4,3842,3492,5445,8009,8795,12499,32,11945
E01000043,3,4,5,3,5,3,1,3,8992,10803,15314,8996,15334,8080,1445,6764
E01000044,3,4,6,4,7,1,1,1,8825,12202,16632,12369,22250,2950,1507,3119
E01000045,2,3,3,4,4,1,1,2,5639,7494,9056,11338,11924,2160,1145,6123
E01000046,3,3,4,3,4,6,1,3,8138,8795,10956,9321,12756,17088,996,8655
E01000048,1,1,2,4,3,4,1,5,3117,1195,4191,10073,9163,12778,449,14836
E01000049,2,1,3,3,4,4,1,4,3928,2525,7156,9454,10214,10784,58,10818
E01000050,2,3,4,4,3,2,1,2,5994,8360,10452,12144,7817,6059,567,5545
E01000051,2,2,3,3,4,2,1,4,5228,4785,8540,9315,10460,4814,892,10252
E01000052,2,3,4,3,6,4,1,2,6549,7440,10931,9645,18434,11417,163,4788
E01000053,2,2,3,3,3,1,1,4,4249,5037,8972,9519,6865,2144,395,10870
E01000054,3,3,5,4,4,3,1,3,8124,8012,13318,9978,13087,8887,1537,8004
E01000055,3,2,4,3,5,5,1,3,7604,6032,10475,9752,14090,15940,1392,9167
E01000056,2,3,3,4,3,3,1,4,5571,6839,7099,10670,9652,9269,165,12777
E01000057,3,3,4,3,5,3,1,3,6712,6909,9877,8006,14559,7156,1279,8781
E01000058,3,3,4,4,5,4,1,4,7176,6736,10069,10397,13772,11053,848,10066
E01000059,3,3,3,3,5,4,1,3,6950,8297,8597,9341,13932,10248,1021,7356
E01000060,2,2,3,4,4,1,1,4,5475,6512,8627,10548,11879,2737,509,11955
E01000061,1,1,2,2,2,5,1,6,2802,2125,3923,5414,4136,14393,375,18454
E01000062,3,4,5,3,6,3,1,5,9781,11124,14664,8286,18285,8288,1042,15164
E01000063,2,3,3,2,4,4,1,2,6520,7943,9225,6017,11816,11295,1689,6036
E01000064,2,2,3,4,4,5,1,3,5791,6220,8440,11115,10490,13303,310,6602
E01000065,2,2,2,4,2,4,1,3,4296,5065,4770,10220,5745,11574,634,9210
E01000066,4,4,4,5,5,7,1,6,10329,10725,13108,14926,15169,20658,249,16885
E01000067,5,4,7,6,7,4,1,5,13573,12329,19905,16594,21963,10735,1551,14035
E01000068,4,5,6,5,5,2,1,3,10421,13349,17599,16416,13509,3970,1777,8062
E01000069,6,6,6,5,8,5,2,3,17580,18292,18888,16211,25051,16201,5792,9748
E01000070,5,5,6,6,7,2,2,4,13531,14981,17070,17805,22662,5018,3806,10170
E01000071,5,4,7,6,7,6,1,5,15370,12518,22157,18062,20051,18962,1935,13807
E01000072,2,2,3,3,3,1,1,3,3974,4451,7689,7028,9357,2249,722,8754
E01000073,2,2,3,3,3,1,1,4,4645,6133,7982,6712,8284,1554,1340,12681
E01000074,2,2,3,3,3,6,1,5,5870,4794,8763,7662,9581,16602,641,13256
E01000075,2,3,4,2,5,1,1,2,5215,6873,9943,6343,13939,3101,1086,4325
E01000076,2,2,3,2,5,4,1,4,5451,6177,6722,6380,14560,12141,338,10531
E01000077,2,2,2,3,3,3,1,2,3967,3973,5768,7276,6631,9244,1218,6233
E01000078,2,2,3,3,5,3,1,3,5874,5086,8778,7216,15460,9512,1183,7156
E01000079,2,2,3,4,5,4,1,3,6057,5141,7379,11072,15314,12695,566,9200
E01000080,3,3,3,4,3,5,1,4,6596,7274,6934,10114,9777,14386,989,12095
E01000081,3,3,4,3,4,5,1,3,7738,9449,10130,8201,12703,13643,1281,7318
E01000082,3,3,4,3,6,7,1,3,9100,9753,10671,8160,17747,19918,1396,8806
E01000083,2,3,3,3,4,4,1,2,6111,6904,8025,9793,10842,9982,1199,6063
E01000084,2,2,3,2,4,1,1,3,4315,5030,7393,6237,11120,1715,1344,9648
E01000085,2,3,3,2,6,1,1,3,5838,7390,9203,6360,19518,3245,871,7484
E01000086,2,2,3,3,2,2,1,4,4822,5632,7318,9185,5137,4717,1477,11002
E01000087,2,2,3,3,5,5,1,3,6122,5212,8331,9744,15307,14563,506,8076
E01000088,3,4,4,5,4,3,1,2,8574,10790,12495,13589,12126,8365,1238,6458
E01000089,3,4,5,4,6,5,1,2,8508,9981,13980,10703,18445,13690,668,3962
E01000090,3,3,5,4,6,2,1,3,8873,8855,14060,12523,18942,6503,973,9116
E01000091,2,2,2,3,4,2,1,4,3669,3775,4635,7594,11282,3573,540,12738
E01000092,2,2,4,5,5,3,1,3,6348,5804,11606,14566,16131,7000,11,8818
E01000093,1,2,2,3,2,1,1,1,2669,3596,5065,9411,5519,2977,370,3282
E01000094,3,3,5,7,6,3,1,5,8930,9003,13554,21017,16555,8737,4,14763
E01000095,3,3,5,4,6,2,1,5,6984,6925,13425,12341,17759,3990,7,16305
E01000096,2,2,3,3,5,1,1,3,3997,3651,7977,7010,15882,1816,534,8823
E01000097,2,2,3,3,2,3,1,3,4866,5351,8344,7462,5831,9503,692,9628
E01000098,2,2,2,3,3,2,1,3,4455,4575,5822,8040,9792,4288,1332,9574
E01000099,3,3,4,4,4,6,1,4,8373,8476,11800,10808,12858,16553,688,10685
E01000100,3,3,4,3,5,3,1,2,7152,9665,10100,8731,14418,7277,1444,4920
E01000101,2,2,2,3,3,2,1,2,4126,3849,6223,8974,9545,5094,1362,5302
E01000102,2,1,2,4,3,2,1,3,3557,3043,4646,11364,7036,5806,1167,6799
E01000103,3,3,4,4,4,3,1,5,6708,8028,10618,10205,9979,7987,227,15230
E01000104,2,2,3,3,4,5,1,6,6002,5419,8092,7929,11958,14637,304,16764
E01000105,1,2,2,2,2,1,1,4,3229,4221,5349,6402,4774,3225,670,11416
E01000106,2,1,2,3,3,2,1,4,3355,3032,5211,9725,7543,5569,180,11010
E01000107,3,4,5,3,3,6,1,5,8865,10392,13329,8851,8175,17090,1156,13252
E01000108,3,3,4,5,5,5,1,2,8940,8694,11946,13397,13637,13794,1914,6178
E01000109,4,5,5,4,6,2,1,3,10373,13637,15539,12247,19119,4478,2272,6609
E01000110,5,5,6,6,5,7,2,5,16365,14678,16725,19168,16046,21211,5156,14867
E01000111,3,3,4,5,5,4,1,4,8544,8457,10920,13216,13246,11745,1179,10690
E01000112,4,4,7,5,7,3,1,2,10925,12627,19995,14420,21026,7729,1404,4026
E01000113,4,4,5,5,6,2,1,4,10601,10322,16043,15827,17933,6421,1615,10582
E01000114,4,5,6,5,6,4,1,2,11855,13863,17792,14308,17851,10125,1978,6563
E01000115,9,8,8,9,10,8,7,5,29174,24852,26011,28835,31772,24388,20425,16164
E01000116,9,7,8,9,10,7,6,6,27318,20597,25160,28684,31379,22839,17651,16614
E01000117,8,7,7,8,10,6,5,6,24958,21222,21069,26087,29887,19170,14896,17080
E01000118,8,7,7,8,10,7,5,6,24743,20191,21699,23320,32170,19710,13923,18191
E01000119,7,7,8,9,10,3,4,5,22657,19862,23311,29365,32503,7366,12644,13884
E01000120,10,8,9,9,10,8,6,6,29572,23592,28933,27995,31931,24686,17894,19324
E01000121,2,2,2,4,4,4,1,7,5463,3532,3444,12192,12164,11408,3010,20733
E01000122,8,7,8,10,10,8,2,5,24308,21201,23116,30583,30581,25342,6494,13971
E01000123,8,7,8,8,9,8,2,6,23278,20571,24914,23385,29311,26038,4252,18691
E01000124,4,3,3,6,8,3,2,5,11634,9081,8789,17610,24615,9189,6538,14719
E01000125,3,3,5,4,8,3,1,5,9759,8105,14613,11445,24898,7913,904,14835
E01000126,2,2,2,6,6,6,1,4,6407,4366,6354,18871,17202,19092,201,12134
E01000127,3,3,3,4,8,4,1,5,9275,7125,8594,12944,23367,10103,2978,13192
E01000128,3,3,4,4,7,2,2,4,9555,8718,12046,12220,21389,3869,4215,10444
E01000129,3,2,4,4,6,2,1,4,7554,5873,11084,11367,18366,3487,2603,11448
E01000130,3,3,4,5,7,2,1,2,7621,7670,9925,14311,21139,5021,1334,6102
E01000131,5,5,6,7,9,1,1,5,13623,14225,19498,20987,27020,2608,2472,14578
E01000132,4,3,4,4,7,4,2,4,10459,7554,11581,12100,22939,11812,3895,11269
E01000133,3,3,2,4,6,5,1,4,7660,7489,5788,11075,16936,15664,2166,10732
E01000134,4,3,5,5,8,6,1,4,10969,7770,13810,13625,24429,19554,1626,10405
E01000135,7,7,8,9,9,4,4,3,21585,20336,25207,28090,29489,10680,10648,6935
E01000136,8,9,10,10,10,5,3,2,25840,29403,32200,32080,32547,13707,8749,5733
E01000137,3,2,3,8,5,4,2,5,8611,4769,7065,23802,14846,11200,4917,13240
E01000138,3,3,3,8,8,1,2,3,9114,8210,8832,23460,24007,3016,3762,7778
E01000139,7,6,9,9,10,3,4,3,21727,19148,27475,27939,30993,7591,10558,9230
E01000140,6,5,6,7,9,6,3,3,17164,13979,16748,22414,28092,17079,6833,8608
E01000141,3,4,5,7,9,1,2,1,8601,10621,15544,20639,26316,998,3781,1546
E01000142,6,4,6,8,8,7,2,3,17305,12982,17086,23016,25666,22062,6375,9571
E01000143,3,2,2,5,6,2,2,5,7380,4534,6262,16148,17289,5800,4795,15838
E01000144,5,5,5,8,9,2,2,3,15833,16060,15795,23604,28028,6317,6215,9289
E01000145,6,6,6,9,10,5,3,3,19310,18244,18151,27693,31703,13588,7564,7415
E01000146,5,5,5,9,10,3,2,3,15647,15846,14465,27554,31821,7217,4289,8905
E01000147,7,7,9,7,10,4,3,3,21282,19924,27874,21938,32596,11383,8877,6999
E01000148,3,3,4,6,6,6,1,3,9213,7576,10390,16751,16658,16537,1401,8909
E01000150,6,5,7,7,10,6,2,3,18371,15457,22713,22579,31284,17184,4710,6930
E01000151,2,1,2,5,6,5,1,5,4606,1383,3621,14541,19182,15355,1948,15489
E01000152,3,2,3,4,8,5,1,6,6908,3391,7125,10713,24090,15902,1193,18424
E01000153,2,1,2,2,6,2,1,6,3826,3020,4735,6415,16727,4658,407,16737
E01000154,3,3,3,4,5,2,1,5,6805,6589,7428,12409,15897,5150,1350,13307
E01000155,5,4,7,7,10,6,1,1,13700,12048,20992,19786,30874,18553,2470,2383
E01000156,9,7,9,10,9,6,5,5,26669,20480,27970,31256,28748,18997,14049,15291
E01000157,7,6,8,7,9,7,4,3,21431,18020,23337,21468,29471,20763,11191,7699
E01000158,5,4,5,7,8,3,3,3,14606,12554,14944,21097,24692,8251,8292,8183
E01000159,6,5,6,9,10,3,2,6,17696,14637,16967,27445,30795,8253,5117,17292
E01000160,7,7,8,8,9,3,3,4,22025,21491,25821,24450,29047,9589,9329,11117
E01000161,6,5,8,9,8,3,3,5,19434,15071,23203,28785,23738,7561,8832,15281
E01000162,5,5,4,7,8,3,4,4,15689,14118,12852,21882,23118,9327,11836,10428
E01000163,3,3,3,6,5,4,1,5,8744,6673,7026,18746,15455,12561,2815,13854
E01000164,4,3,4,7,8,2,2,3,10557,8617,11407,20020,25537,4999,3614,9562
E01000165,7,6,8,9,10,5,2,6,20782,16434,24651,27089,30809,13551,3791,18378
E01000166,6,5,5,8,9,4,3,7,19054,15602,15856,24869,28162,12305,7702,20472
E01000167,3,3,3,4,5,3,2,6,8854,6730,9073,12139,13541,8847,4625,16601
E01000168,9,8,9,9,10,6,5,5,28357,26071,29238,29243,31651,18057,14471,14193
E01000169,7,6,7,9,10,3,4,4,20813,18500,20563,27460,30347,9541,10718,11383
E01000170,5,4,4,7,8,3,5,4,14031,10719,10414,21554,25024,8594,13749,11534
E01000171,4,3,4,6,6,4,3,3,11210,6871,11775,19665,18595,12123,9720,6704
E01000172,9,7,9,10,10,9,4,4,26533,20565,28221,30143,32018,26715,11275,11181
E01000173,8,6,8,9,10,6,6,4,24872,19433,24580,26333,29803,17910,17062,13018
E01000174,6,4,6,8,8,7,3,3,17685,12760,19157,23885,25607,20317,6828,8830
E01000175,9,8,8,10,10,5,5,6,27536,25718,25725,30711,31540,13765,14085,18613
E01000176,3,2,3,5,7,4,1,6,7768,4859,7899,14011,22882,10772,1205,16934
E01000177,9,8,10,9,10,5,5,3,26742,25054,31483,27761,32421,16208,13256,8862
E01000178,9,8,8,10,10,6,5,4,27008,24124,26228,31906,30902,18895,13319,12599
E01000179,9,7,9,10,8,6,4,5,26462,22746,29121,30869,26043,17939,11205,15597
E01000180,6,4,6,9,9,7,3,5,19391,12478,17950,27500,29166,20452,7258,15732
E01000181,9,8,9,10,10,5,5,3,26821,24244,28293,32678,32071,15601,15696,9010
E01000182,9,9,10,10,10,6,5,2,27057,28697,30147,32588,32281,19306,13308,5210
E01000183,8,6,8,10,8,8,3,5,23760,18766,25825,31018,25664,23864,6841,14718
E01000184,3,2,3,5,6,4,1,2,7110,5967,7398,15371,18934,11888,1365,5952
E01000185,4,2,3,6,6,7,2,5,10299,4541,8723,19497,19242,22953,5260,15701
E01000186,10,9,9,9,10,8,6,5,30326,27519,29214,29202,32593,26212,17370,16097
E01000187,7,5,7,8,8,8,3,6,21042,13871,20781,24295,24697,24590,8435,19649
E01000188,9,10,9,10,10,3,5,4,27036,30414,28966,30119,32615,8968,15409,10331
E01000189,4,4,5,4,9,8,1,1,11051,10587,14045,10515,27729,23049,2658,3275
E01000190,8,6,7,9,10,7,4,6,24311,17811,22730,26945,30863,22930,10564,18206
E01000191,9,8,8,10,10,8,5,5,28527,25033,25233,31153,31996,24413,14254,16169
E01000192,6,5,7,8,9,3,3,4,18475,15682,19723,25275,29094,8607,9186,9877
E01000193,6,6,6,8,10,3,3,3,17828,17895,18479,23988,31313,8454,7727,7146
E01000194,5,5,6,9,9,2,2,3,14920,14371,16742,26490,28883,4540,4831,8938
E01000195,3,3,4,4,8,5,1,5,9593,8228,11220,11639,24457,14429,706,15323
E01000196,7,6,6,9,10,8,3,5,21850,17436,19382,26345,30188,25935,7602,13191
E01000197,7,6,7,10,10,5,3,2,21591,18468,22711,31164,31942,16146,9434,6454
E01000198,7,6,8,10,10,8,2,4,22353,18412,25333,30790,32466,25140,3536,11317
E01000199,9,8,9,10,10,6,3,6,28042,24764,29076,31831,32707,18711,9205,18404
E01000200,8,6,8,10,10,6,4,5,25046,19357,23175,31907,32399,16549,13009,15396
E01000201,9,9,10,10,10,6,6,3,28084,28364,29698,32270,32469,17627,16487,7463
E01000202,9,8,10,10,10,8,4,4,28623,25482,30478,31446,32558,23739,10979,13100
E01000203,6,5,6,9,10,8,1,4,18422,14462,18236,26424,30128,24624,3280,11805
E01000204,8,7,8,10,10,4,5,4,24436,21863,25965,29593,32369,11927,13199,10412
E01000205,9,8,9,10,10,5,5,4,27397,25441,29476,31937,32600,13254,13351,12790
E01000206,8,10,10,10,10,5,1,4,25629,32706,32692,31108,32823,14364,2636,12215
E01000207,9,9,9,10,10,8,5,4,28804,28150,29472,29862,32645,23598,13623,10436
E01000208,9,10,10,10,10,5,3,5,28766,31181,32744,31699,32795,13995,9612,13475
E01000209,9,9,9,10,10,6,4,5,28249,26588,29393,32595,31889,16887,12593,13289
E01000210,9,8,10,10,10,4,6,4,26833,24220,29944,32505,32462,11037,16778,10330
E01000211,6,5,6,9,9,7,3,4,19377,14654,18292,29476,27338,22011,6679,10106
E01000212,8,8,6,10,10,7,4,4,24145,23021,18960,32546,32148,19894,10825,11349
E01000213,9,10,10,10,10,8,2,3,27586,31216,31617,31659,32733,23109,6517,8092
E01000214,8,9,9,10,10,4,2,4,23881,27180,28460,32591,32660,12197,3331,12462
E01000215,7,5,7,8,8,8,2,5,20414,15859,20859,26065,24381,23197,6431,13727
E01000216,8,7,7,10,10,7,4,5,24507,21332,21286,30600,30884,20587,9956,14375
E01000217,8,7,7,7,10,7,4,3,23520,22376,22862,22543,30365,21624,11971,9244
E01000218,6,5,6,7,9,5,3,4,18612,15821,18558,22091,26523,14620,7938,11456
E01000219,5,6,5,6,9,4,2,3,14460,16734,13697,17613,26620,10389,4298,8190
E01000220,6,5,5,8,8,7,3,3,16891,14048,13981,24209,23139,22479,7749,9132
E01000221,1,1,2,4,4,1,1,3,2878,2886,3909,11630,11027,2639,44,8955
E01000222,3,3,3,6,7,2,1,3,9539,9338,8480,19703,20458,6190,3179,8884
E01000223,2,2,3,4,5,2,1,3,5606,5219,7310,13036,16092,4500,582,9686
E01000224,5,4,4,6,9,6,3,4,14638,10311,13101,18160,28221,17484,7085,10450
E01000225,8,7,8,8,9,6,3,5,23364,22472,23306,25545,29235,16830,8226,13328
E01000226,3,2,3,4,4,6,1,3,7222,5288,9332,11624,10680,19222,1925,8364
E01000227,8,6,8,9,10,8,3,6,24577,19223,24076,27735,32188,25093,7533,16456
E01000228,7,6,8,9,10,3,3,6,21621,19698,23078,27227,30502,7481,8123,17584
E01000229,4,4,4,7,9,5,1,6,13079,12047,11304,20727,27683,15566,1385,16706
E01000230,9,7,9,8,10,7,5,7,27204,21300,26803,23054,31585,21540,15942,20064
E01000231,6,5,7,9,10,5,1,5,16447,15887,20544,28133,29693,14223,745,13506
E01000232,6,5,6,9,9,5,3,5,19413,14404,18344,27272,27433,16385,7095,15093
E01000233,8,7,8,9,10,6,5,5,25991,21747,23380,28531,32427,19066,13908,15270
E01000234,8,7,8,9,10,7,4,6,26226,22186,25571,28687,30198,20474,11062,16530
E01000235,4,3,4,5,8,3,2,3,11811,9316,12345,14759,24980,9335,5689,9812
E01000236,8,6,7,9,10,8,4,4,23808,19680,21799,28956,29846,24391,10944,11051
E01000237,8,8,9,10,10,4,3,3,25066,24986,29142,31373,32251,12465,9308,9041
E01000238,6,6,6,9,10,6,3,3,19485,16992,17719,27606,31453,19488,6642,8164
E01000239,4,4,6,8,9,6,1,4,13120,11811,16948,25549,27733,16770,308,11552
E01000240,5,5,7,9,10,5,1,3,14717,13892,19999,26426,29663,15563,511,9725
E01000241,8,7,9,10,10,6,2,4,23646,21281,27860,31496,32334,19355,4182,11802
E01000242,5,4,5,9,9,4,1,5,15111,13112,15495,29017,28490,12135,1516,14489
E01000243,7,6,8,9,9,5,3,2,19861,18854,23716,27755,28790,15063,6931,5126
E01000244,6,7,7,8,9,4,3,1,18293,20321,22860,25656,29007,12038,7188,2831
E01000245,4,3,3,7,7,3,2,3,11312,8983,9813,20172,21679,9778,6032,9019
E01000246,8,9,9,10,10,3,2,5,23751,26762,27831,31198,31610,9108,4693,14047
E01000247,8,7,7,10,10,8,3,7,24330,20059,19922,30127,30591,24522,7674,20763
E01000248,9,9,9,10,10,3,6,5,27938,27165,28987,31482,31384,8790,19451,15516
E01000249,10,10,9,10,10,5,5,6,29613,31437,26762,31821,32562,15324,15076,18222
E01000250,7,5,6,9,10,5,4,5,21023,15300,18377,29054,31547,15679,10078,14715
E01000251,5,4,4,8,8,5,4,5,15365,11035,10435,24848,24423,14914,11258,13305
E01000252,7,5,6,10,9,5,2,7,20654,16417,17637,30730,29137,14082,6516,20457
E01000253,8,9,10,9,9,5,2,7,25200,27890,30107,29154,27601,13716,3340,22627
E01000254,9,9,10,10,10,6,3,3,27346,28579,31105,30689,31021,18455,9693,9273
E01000255,5,4,5,8,9,5,3,4,15471,10582,13154,25354,28882,13597,6713,12365
E01000256,8,7,9,9,10,6,2,6,23742,19723,26979,29160,31768,16460,5455,16810
E01000257,4,3,3,5,7,4,1,5,10770,8979,9751,15743,21902,12703,2609,14265
E01000258,8,8,9,9,10,4,5,4,25595,24275,27890,29064,30395,11007,14493,11644
E01000259,7,6,7,9,10,4,3,5,20665,17032,19832,28639,31968,11664,6797,15873
E01000260,5,5,6,7,9,5,1,4,14473,14972,17840,21242,28756,13443,791,12152
E01000261,9,9,10,10,10,9,2,5,27512,27097,30945,31884,32578,28637,3667,16408
E01000262,7,6,8,8,10,7,2,6,22595,17210,26157,24324,31803,22489,4163,19041
E01000263,10,10,10,10,10,7,3,5,29609,31818,31702,31787,32671,21188,8614,14624
E01000264,6,5,6,9,10,5,2,3,17488,14146,16955,26596,30350,13598,6377,8899
E01000265,6,4,5,8,9,7,3,5,18822,12969,16377,25897,26727,21847,8086,14393
E01000266,9,9,10,10,10,3,5,5,27042,27414,30474,30659,31967,8110,13452,14994
E01000267,7,6,7,10,9,8,2,3,21327,18565,22319,30360,29372,25397,4885,8426
E01000268,6,4,6,7,9,6,4,5,18670,10687,19000,22903,29031,18630,11269,13285
E01000269,8,7,8,9,10,5,3,5,23965,22236,25808,26465,31764,13940,8504,13616
E01000270,7,6,6,10,10,5,3,5,22199,18355,19081,30040,32015,15000,9672,14508
E01000271,9,9,10,10,10,8,3,6,28725,28349,29713,30811,32452,23780,7162,17600
E01000272,10,10,10,10,10,6,5,7,30661,30815,32508,31830,31949,16784,13878,19802
E01000273,7,5,5,9,9,6,4,5,19790,13572,15698,28957,28539,18549,10384,16080
E01000274,6,4,5,8,9,6,4,5,18373,12948,15095,24193,27984,17561,10967,13334
E01000275,7,5,7,10,9,9,2,7,20490,13890,20745,29716,28792,27720,3323,19792
E01000276,10,10,10,10,10,10,4,7,31443,31263,31878,32273,32661,30864,10019,20649
E01000277,5,4,4,9,9,9,2,5,15935,11081,11602,28453,26671,28752,3486,15787
E01000278,10,10,10,10,10,10,3,5,29998,30148,32414,32060,32433,30478,7633,14479
E01000279,8,10,10,10,10,3,1,7,25843,32440,32474,31123,32783,8570,2872,21169
E01000280,10,10,10,10,10,8,5,6,31544,31895,30700,32085,32712,25425,14821,18824
E01000281,8,6,7,8,9,6,4,6,23416,19336,21750,25974,28786,19304,9960,16789
E01000282,9,8,9,10,10,5,4,5,26321,24495,26407,30925,32352,13611,11718,14307
E01000283,10,10,10,10,10,9,3,7,30858,30868,32311,32446,32727,28510,8383,19864
E01000284,6,4,5,9,8,6,3,6,18467,11861,15680,27035,25901,18045,9370,17083
E01000285,6,5,5,8,8,5,3,6,18783,15593,15977,23595,25983,13179,9160,16941
E01000286,4,3,3,7,7,3,2,4,11433,8775,9812,20812,22693,7200,6025,12839
E01000287,4,3,4,4,7,4,3,5,12242,9601,11832,12759,22171,11726,6871,13401
E01000288,7,6,7,8,10,5,3,5,21005,17775,20153,23923,30211,15125,8510,14109
E01000289,2,2,2,3,7,3,1,6,4786,4091,5003,9238,21072,6583,152,16547
E01000290,5,5,4,7,8,3,1,7,14405,13651,12905,20958,26065,9251,2694,20685
E01000291,3,2,2,4,7,2,1,7,6697,4977,5288,10485,20149,6270,2494,22109
E01000292,7,7,6,9,10,5,5,6,22974,19725,17108,28916,30345,13764,16070,16462
E01000293,9,8,9,10,10,5,6,5,27550,23643,26644,31603,31374,15240,17920,14440
E01000294,7,6,5,10,7,9,4,7,21893,17451,15044,30625,20573,29109,11108,21397
E01000295,7,8,7,10,10,3,4,2,20731,23730,22914,31886,30624,9175,10380,3732
E01000296,7,6,8,9,10,4,3,4,22036,18623,23664,28145,30194,13009,7899,13127
E01000297,8,7,9,8,10,7,4,5,25783,20617,26560,24800,30976,22390,11937,15374
E01000298,7,6,8,10,10,4,3,4,22372,17269,26166,31204,31538,11476,9761,10460
E01000299,6,5,7,10,8,4,3,2,16989,13854,21404,29746,25202,10309,9779,3851
E01000300,7,6,7,10,8,6,3,5,21880,16788,21876,29630,25728,19354,8538,13954
E01000301,9,9,8,10,10,7,5,5,28246,26564,25290,31950,32019,20484,14519,14074
E01000302,6,4,5,8,8,7,3,6,18360,12599,15064,25292,26172,20855,8217,16427
E01000303,9,8,10,10,10,8,2,7,28555,26128,30069,31875,32083,24865,5900,21551
E01000304,7,6,7,9,8,8,2,4,20455,18405,21451,28304,25168,25561,3328,12922
E01000305,3,3,4,6,8,3,1,2,9115,9250,10049,17322,25317,9339,978,6512
E01000306,7,7,9,6,9,5,2,3,19906,20530,26653,19039,28384,14218,5189,8081
E01000307,4,4,5,5,9,2,2,3,11835,10789,16027,14779,28967,5064,3948,7576
E01000308,3,2,4,4,8,1,1,3,7151,6394,11234,10346,23868,3251,1563,7763
E01000309,7,6,7,9,10,6,2,4,20046,17904,21812,29214,31992,17570,3397,10666
E01000310,5,5,7,6,9,4,1,4,15067,15185,20489,17988,26473,12245,1741,9884
E01000311,8,9,8,10,10,3,3,3,23246,27778,23824,30927,32457,8559,9425,7921
E01000312,4,4,5,7,7,7,1,5,10806,10365,13246,22228,19872,19877,74,14245
E01000313,5,5,6,7,8,5,1,3,14409,14288,17359,20002,24532,13714,2132,8780
