lsoa_code,IMD_decile,Income_decile,Employment_decile,Education_decile,Health_decile,Crime_decile,Housing_and_Access_decile,Environment_decile,IMD_rank,Income_rank,Employment_rank,Education_rank,Health_rank,Crime_rank,Housing_and_Access_rank,Environment_rank
E01020717,9,9,6,9,6,10,9,10,29215,29311,18347,28028,17694,32230,29506,32632
E01020718,9,8,6,10,5,10,10,10,26971,24327,17486,29624,13411,31319,32027,30520
E01020719,10,10,8,10,7,10,8,10,31495,30545,24254,30873,22144,32026,24314,32631
E01020720,7,5,4,8,4,9,10,10,19923,14198,11580,23159,12069,28152,32119,32566
E01020721,9,9,7,10,5,10,5,10,28410,29161,22942,30470,15713,31017,13384,32505
E01020722,3,2,2,2,2,2,8,10,6617,6181,5567,6022,3753,5470,24090,32569
E01020723,5,5,5,4,2,3,10,10,14773,15198,14047,12792,6402,6986,29951,30788
E01020724,1,1,1,1,1,2,7,10,1695,849,1682,843,2792,4965,22881,32571
E01020725,7,8,6,8,4,3,9,10,21861,23113,17660,24203,12285,8282,27893,29913
E01020726,5,5,5,6,4,2,10,9,16260,14886,14598,18509,10853,4482,31607,26562
E01020727,1,1,1,2,1,1,10,10,3026,2957,1781,3775,2525,2558,31328,31004
E01020729,3,3,2,3,3,3,2,10,7365,6889,5856,8149,8509,7074,6301,32613
E01020730,4,4,3,3,2,6,10,10,11528,10021,8435,9426,4515,19270,31975,32079
E01020731,7,6,5,7,4,5,10,10,21503,19295,15159,20870,12761,15659,32227,31184
E01020732,10,9,8,10,8,10,4,10,29938,28800,25229,32353,23587,30081,11083,32185
E01020733,2,1,1,2,1,1,9,10,3649,3052,2170,5716,3134,3152,26911,32255
E01020734,2,2,1,3,1,2,5,9,4626,4788,3101,7182,2321,6056,16147,28004
E01020735,4,4,3,5,3,3,9,10,12044,11396,7660,13267,8399,7208,28941,32153
E01020736,1,2,1,2,1,1,6,10,2401,3932,1471,4885,680,2154,17237,30663
E01020737,2,4,2,3,1,1,10,9,5908,10692,5057,9212,1472,907,31341,29434
E01020738,3,3,2,3,1,2,10,10,7362,9543,5094,7894,3029,3917,32551,30638
E01020739,1,1,1,1,1,1,10,10,751,1267,155,2762,384,1043,32143,31496
E01020740,5,5,4,4,3,4,10,10,14665,14158,11034,11461,7333,12563,32122,31347
E01020741,2,2,1,2,2,1,10,8,4178,4960,1957,4471,4620,3071,31276,25569
E01020742,3,2,2,3,2,4,8,9,6644,5544,3806,8144,3824,12676,25881,27140
E01020743,2,1,1,2,2,3,8,10,4846,3208,2938,5745,4304,8603,23732,32611
E01020744,2,3,1,3,2,1,10,10,5821,9036,2935,8831,4100,1197,29878,32435
E01020745,1,1,1,1,1,1,8,10,665,995,161,2916,922,293,25857,32532
E01020746,3,4,2,5,1,1,7,10,6832,10815,4810,14731,1510,2244,22815,32812
E01020747,1,1,1,1,1,1,9,10,774,472,455,520,2595,2446,27651,31188
E01020748,2,2,2,2,2,3,9,10,5391,3383,4361,5022,3969,7920,28519,32239
E01020749,1,1,1,1,1,3,10,10,1215,1888,132,2026,570,7853,30538,32004
E01020750,8,7,5,8,5,9,7,10,23865,22486,13683,25786,16048,28998,21080,32334
E01020751,2,3,1,3,2,2,10,10,6088,8518,2889,6824,3390,4439,31423,31998
E01020752,1,1,1,1,1,1,10,9,221,376,33,1330,536,2,30923,27212
E01020753,2,2,1,3,1,2,9,10,4876,4995,3081,7604,2158,3850,29541,32737
E01020754,4,4,3,6,3,3,3,10,10316,11724,6762,17292,6931,7753,8193,30984
E01020756,8,9,6,8,5,5,7,10,25567,29075,18879,25439,15941,14278,21733,30689
E01020757,1,1,1,1,1,1,8,10,466,585,269,2235,636,125,25026,31860
E01020758,1,1,1,1,1,1,8,10,615,587,714,1023,1062,265,25122,32371
E01020759,1,1,1,1,1,1,7,10,529,219,282,1978,625,2940,22552,32493
E01020760,3,3,2,4,1,3,10,10,8326,9845,4615,11999,2730,7766,30777,32694
E01020761,2,2,1,2,1,3,10,10,4744,5733,2155,3875,2831,9308,31062,29861
E01020762,1,1,1,1,1,1,9,10,1362,1779,1226,1411,898,880,27715,31526
E01020763,2,2,1,2,2,1,7,8,3766,4624,2350,6349,3547,1220,22310,26126
E01020764,1,1,1,1,1,1,10,10,291,748,77,915,527,29,29561,29970
E01020765,1,1,1,2,1,2,5,10,1819,1964,678,3317,1347,5961,14361,32382
E01020766,2,3,1,3,1,1,9,10,4582,7891,3088,7306,1940,750,29344,32158
E01020767,1,1,1,1,1,1,10,9,569,1552,207,3016,155,56,30522,26538
E01020768,2,3,2,3,1,3,9,10,6474,8061,3426,7930,2248,8563,29520,31001
E01020769,2,2,2,3,3,2,5,10,6541,5401,3878,9778,6676,6141,14731,31323
E01020770,2,2,2,4,1,3,8,10,6150,5539,3337,11228,3181,6679,25137,31231
E01020771,2,2,1,2,2,4,8,8,4825,4593,2249,4831,3960,12285,23375,25492
E01020772,5,5,4,7,3,5,2,6,13511,15742,10322,20700,9332,14969,5910,19694
E01020773,2,2,1,2,2,2,9,10,4564,4901,2306,3801,4570,5039,26424,32547
E01020775,1,1,1,1,1,1,8,10,1447,2341,951,672,1039,3041,23982,32526
E01020776,6,6,4,4,5,5,10,10,17072,17649,10438,11530,13668,13218,29775,32824
E01020777,1,1,1,2,1,2,9,10,1922,1644,654,4828,1036,4939,28962,32695
E01020778,6,7,3,8,3,8,5,10,17667,21029,9136,23116,8443,25825,13419,32733
E01020779,9,10,7,9,6,10,3,10,26953,30507,21481,28369,18351,29636,7410,32518
E01020780,2,2,2,3,1,1,10,10,4295,5480,3326,8887,2581,381,29610,31632
E01020781,5,5,3,5,3,4,6,10,14417,15190,9177,14992,9588,11073,19063,32197
E01020782,6,6,3,6,2,6,10,10,16493,17678,9729,19033,5297,19487,32278,32530
E01020783,4,3,3,4,2,6,7,10,10831,8935,7579,11256,5134,17620,22888,31519
E01020784,2,2,1,2,1,2,10,10,3625,4163,1690,6065,1592,5179,31498,29789
E01020786,9,9,7,8,6,9,7,10,28851,29505,19949,26000,19445,29156,22412,31612
E01020787,3,2,2,3,3,5,10,10,8076,5781,3965,8797,7221,13595,30303,30538
E01020788,2,2,1,3,2,1,10,10,5199,6567,3147,8443,3602,1103,31323,31552
E01020789,3,3,2,3,2,2,10,10,7758,7070,5935,8095,5354,3859,29923,31966
E01020790,1,1,1,1,1,1,10,10,1217,1377,750,2335,1007,783,31658,32027
E01020791,3,2,2,3,2,4,10,10,7529,6239,4081,8699,4459,11495,29939,32576
E01020792,2,2,1,2,1,1,10,10,4275,5348,2877,6263,3140,911,31791,31508
E01020793,2,2,1,2,1,2,9,10,4304,5108,1827,6063,2369,5783,28649,32600
E01020794,6,6,4,6,4,4,8,10,17689,17088,11569,18084,12905,10752,24041,32581
E01020795,2,2,1,3,1,1,10,9,3671,5271,3022,7612,2384,137,31042,27269
E01020796,7,6,6,9,3,7,9,10,22913,18728,18570,27310,9221,21964,28366,32322
E01020797,2,2,1,3,1,3,9,10,4703,3817,2396,8727,1890,9582,28882,32356
E01020798,2,2,1,3,1,4,6,10,3773,3688,1635,6659,1946,10165,18781,32754
E01020799,3,2,3,4,2,3,10,10,8754,5611,7536,9970,5419,6959,31968,32595
E01020801,3,3,3,5,4,2,10,6,9721,7038,7491,14438,11127,3474,32301,18561
E01020802,2,2,2,3,1,1,10,6,4011,3728,3501,8527,1561,3233,30506,17236
E01020803,5,4,4,4,4,4,9,10,15038,13034,10371,12579,11116,12081,29206,29708
E01020805,2,2,1,2,1,4,9,10,4657,3799,2800,3917,2773,12597,27749,32591
E01020806,2,2,2,2,2,1,9,10,4821,4618,4091,4359,5671,1174,28828,32522
E01020807,1,1,1,1,1,1,10,8,496,373,127,2459,955,858,30940,25477
E01020808,3,3,2,4,2,2,10,10,8619,8840,5251,11975,4113,5666,31441,32353
E01020809,2,2,1,1,1,2,10,10,4144,6209,3158,2834,1345,4391,31845,32413
E01020810,4,4,3,6,3,3,10,10,12812,12121,8287,17053,6612,8341,31225,29947
E01020811,3,2,2,4,1,6,10,10,7457,6386,4003,10213,2421,17593,32206,32450
E01020812,4,4,3,5,2,3,10,10,11250,11238,7105,14376,4990,8628,30708,32546
E01020813,9,9,7,9,4,9,8,10,27087,27725,20190,26857,12579,27068,23879,32544
E01020814,5,5,5,7,2,4,7,8,15674,14750,14178,20356,6367,11275,21513,23790
E01020815,5,5,4,6,3,5,4,10,15149,14117,12202,17122,8178,14843,13084,32352
E01020816,1,1,1,1,1,1,5,10,1719,1183,1638,2579,1699,2226,15673,32099
E01020817,9,9,7,7,4,8,7,10,26309,27960,21386,21815,12786,25441,21206,32709
E01020818,4,4,2,4,3,3,10,9,9966,9898,5648,11879,6808,6574,32366,28410
E01020819,1,1,1,2,1,2,10,10,3192,3238,1512,3496,2353,5522,32425,30191
E01020820,2,2,2,2,2,2,9,10,4984,3852,3991,4833,3379,5336,27899,31964
E01020821,6,6,4,6,5,5,8,10,19076,16745,13049,18396,14159,13548,25590,32310
E01020822,6,6,5,7,5,6,3,10,19428,18677,14871,22832,14897,16910,9076,32301
E01020823,1,2,1,2,1,2,9,10,3187,3966,1719,3323,2035,3746,27309,32428
E01020824,3,3,3,3,2,4,9,10,9519,8445,7621,8849,4142,9958,29021,31829
E01020825,3,3,3,3,2,3,10,10,8589,7890,6575,7963,3944,8605,30235,32146
E01020826,4,3,3,4,2,9,7,10,12375,9669,8537,11815,6445,26659,19907,31807
E01020827,3,3,2,3,2,2,10,10,7861,8587,5536,7882,4690,3969,29646,32124
E01020828,8,9,9,10,5,6,2,6,23504,29042,26907,31282,14190,16468,5047,18724
E01020829,10,9,9,10,7,8,9,10,31540,28824,26575,32074,22421,25886,26495,32494
E01020830,6,5,4,9,3,6,10,7,17675,15924,10761,27829,8360,17267,32266,21082
E01020831,3,3,2,4,2,1,10,10,8249,8248,5620,12121,4833,3091,30922,31891
E01020832,4,4,2,4,3,4,10,10,11354,10905,6229,11380,7284,11210,30599,32806
E01020833,4,4,3,4,3,4,10,10,12174,10966,7629,11597,7494,12075,29995,32465
E01020834,3,2,2,4,2,6,8,10,7616,5297,4321,9905,3951,18143,26134,32279
E01020835,2,2,2,3,2,1,10,8,6264,6432,5568,6630,4268,2119,31286,26109
E01020836,3,3,3,3,2,2,9,10,8726,8345,6951,8415,6250,3985,28224,30856
E01020837,9,9,8,7,6,7,5,10,26523,29456,23232,21069,17777,20402,13449,32726
E01020838,2,2,2,3,2,1,10,6,4453,4730,3656,7645,3864,1052,30864,17116
E01020839,1,1,1,2,1,1,10,9,2996,3177,2010,4330,2478,1341,32180,27267
E01020840,2,2,1,2,2,2,6,10,4500,3800,2531,5594,4963,5221,18219,31951
E01020841,1,1,1,1,1,1,9,10,584,264,383,724,1234,3050,28861,32539
E01020842,2,2,2,2,3,5,7,10,6159,4423,3676,4150,6834,16229,20198,31591
E01020843,6,5,5,6,5,7,5,10,18254,15160,14410,17560,13288,20072,13712,32035
E01020844,1,1,1,1,1,1,6,10,1961,2422,1401,1925,1458,2266,18658,32602
E01020845,2,2,2,3,1,3,10,10,5395,3714,3575,6763,3024,8455,31998,32562
E01020846,3,3,2,4,4,3,2,10,8939,9808,6049,12524,10050,8312,4233,32537
E01020847,1,1,1,1,1,2,6,7,2307,1671,2528,2148,2111,3906,18467,22870
E01020848,5,4,4,6,3,6,5,10,14248,10918,12002,17059,7508,17322,14998,32597
E01020849,1,1,1,2,1,4,4,8,2561,1979,1423,4697,1918,10710,13026,23545
E01020850,8,8,7,9,6,9,4,10,25988,23476,21134,28513,18194,27971,10786,32828
E01020851,8,8,6,8,5,10,5,10,24407,25038,17100,25645,13495,32177,13414,32800
E01020852,4,4,3,2,2,7,10,9,10939,10679,7407,5823,6436,22282,30248,26291
E01020853,7,6,5,6,4,10,10,9,21811,17758,15273,17590,13113,30949,30953,27707
E01020854,8,7,6,7,4,7,6,10,23119,21192,19574,22679,12937,22494,16941,30330
E01020855,8,7,8,7,5,9,9,10,26225,20506,24639,20441,13879,28781,26924,32419
E01020856,3,3,2,3,3,3,10,3,7570,6680,5552,8395,7503,8845,32290,8765
E01020857,7,8,8,7,6,9,2,4,21624,25477,25087,22707,18503,29152,4145,10174
E01020858,6,6,4,6,3,7,9,10,17815,16497,10998,16525,9715,19838,29031,32761
E01020859,7,8,7,6,4,5,10,7,22430,23258,21312,17166,11536,14760,30350,22304
E01020860,2,2,1,2,1,2,10,9,3459,3354,2480,4066,1420,5693,32395,27319
E01020861,3,4,3,4,3,4,4,4,8885,10663,6747,9950,8836,11382,9990,10522
E01020862,7,8,7,8,6,9,3,4,22493,23544,22458,26095,18496,28445,7031,11849
E01020863,5,9,9,9,8,7,1,1,15192,26602,29022,28115,23793,20254,430,805
E01020864,5,6,5,6,5,9,3,2,15678,16863,14797,16924,16204,27213,7457,6263
E01020865,5,7,6,6,4,7,2,1,13603,20030,18880,18308,13129,22455,4299,1536
E01020866,4,6,6,5,4,8,2,1,13113,18923,19199,14407,12378,24842,4638,1629
E01020867,6,6,6,7,6,8,2,5,17728,17104,17083,20083,19082,23557,4696,14386
E01020868,3,3,2,6,2,1,6,9,6624,7640,4206,16839,4628,1450,17625,29325
E01020869,2,2,2,4,2,1,6,6,5895,6458,4558,11822,3876,2551,19041,18169
E01020870,9,10,7,10,5,8,7,10,28337,30019,21541,30158,13155,26085,22207,32319
E01020871,3,3,3,3,2,3,10,7,9170,8787,7523,7800,5611,7543,32770,20344
E01020872,4,4,3,6,2,2,10,8,11087,10352,8918,16544,5141,5510,31633,24057
E01020873,1,1,1,1,1,1,10,10,1184,1019,543,1670,1376,2774,30823,32740
E01020874,2,2,1,1,1,2,10,8,3373,4101,1651,3026,2735,5303,31161,25461
E01020875,4,4,3,4,3,3,3,6,10166,12079,9138,11249,9379,7331,6808,19345
E01020876,3,2,2,5,3,3,8,10,8770,6049,5167,13472,7323,8086,25758,30739
E01020877,2,2,1,4,1,3,10,9,6459,6328,2946,11920,2929,8435,31078,28680
