lad_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Employment_Score,Employment_Proportion,Education_Score,Education_Proportion,Health_Score,Health_Proportion,Crime_Score,Crime_Proportion,Housing_and_Access_Score,Housing_and_Access_Proportion,Environment_Score,Environment_Proportion
E07000040,12.764,0,0.0077,0.081,0,0.072,0,14.52,0.0123,-0.672,0,-0.938,0,18.942,0.0494,21.903,0.1605
E07000041,16.215,0,0.0848,0.095,0,0.077,0,18.085,0.0541,-0.09,0.0405,-0.352,0.0135,17.54,0,23.485,0.1216
E07000042,16.928,0,0.0196,0.093,0,0.077,0,19.625,0.0465,-0.757,0,-0.911,0,25.493,0.2093,35.035,0.4651
E07000043,20.559,0.0517,0.1135,0.11,0.0345,0.092,0.069,20.6,0.0172,0.099,0.069,-0.728,0,26.966,0.1724,28.635,0.2414
E07000044,13.724,0,0.0012,0.087,0,0.074,0,8.381,0,-0.598,0,-1.026,0,22.374,0.1837,28.759,0.3265
E07000045,15.893,0,0.0401,0.101,0,0.084,0,15.698,0,-0.268,0,-0.648,0,18.932,0.0714,25.047,0.2143
E07000046,23.269,0,0.1025,0.121,0,0.101,0.027,24.535,0.0541,0.116,0,-0.894,0,28.345,0.3243,36.788,0.4865
E07000047,18.052,0,0,0.098,0,0.084,0,13.317,0,-0.186,0,-0.968,0,25.592,0.2258,37.429,0.4516
E07000061,22.11,0.0656,0.1815,0.141,0.0492,0.119,0.1148,24.884,0.0984,0.038,0.0164,-0.045,0.0656,22.703,0.0656,14.178,0
E07000062,34.281,0.3019,0.4376,0.202,0.2642,0.16,0.2453,33.115,0.1887,0.633,0.2075,0.46,0.1887,27.208,0.0377,22.811,0.1321
E07000063,15.758,0,0.0569,0.099,0,0.083,0,20.567,0.0484,-0.404,0,-0.517,0,24.272,0.0968,14.585,0.0645
E07000064,19.768,0.0345,0.111,0.113,0.0517,0.1,0.0517,19.528,0.069,-0.082,0.0172,-0.419,0,26.617,0.1724,22.97,0.1379
E07000065,12.311,0,0.0248,0.073,0,0.06,0,14.304,0.0421,-0.97,0,-0.746,0,26.133,0.1789,20.914,0.1474
E07000066,23.243,0.1091,0.2623,0.138,0.0727,0.102,0.0727,32.304,0.1909,-0.092,0.0182,0.41,0.3182,24.425,0.0545,10.265,0
E07000067,14.723,0,0.0273,0.092,0,0.075,0,21.593,0.046,-0.382,0,-0.29,0,20.727,0.0805,13.819,0.0115
E07000068,10.007,0,0,0.064,0,0.051,0,12.123,0,-1.059,0,-0.061,0,22.327,0.087,9.72,0
E07000069,16.842,0.0175,0.0734,0.107,0.0526,0.087,0.0175,29.411,0.1404,-0.311,0,-0.204,0,19.567,0,8.887,0
E07000070,12.221,0,0.0229,0.077,0.0093,0.063,0.0093,13.338,0.0093,-0.85,0,-0.227,0.0093,25.408,0.1215,12.476,0.0093
E07000071,16.778,0.0095,0.0841,0.099,0.0095,0.076,0.0095,17.449,0.0571,-0.13,0.0286,-0.105,0.0571,26.591,0.1333,12.819,0.0286
E07000072,15.068,0,0.0211,0.091,0,0.066,0,19.608,0.0128,-0.778,0,0.308,0.0128,23.282,0.0897,16.876,0.0128
E07000073,21.413,0,0.0794,0.134,0,0.097,0,26.764,0,0.203,0,0.222,0.0185,26.754,0.0926,3.885,0
E07000074,14.169,0,0.0081,0.086,0,0.071,0,20.526,0,-0.555,0,-0.628,0,23.099,0.2,17.556,0.025
E07000075,10.449,0,0.0163,0.073,0.0189,0.059,0,20.451,0.0189,-0.953,0,-0.589,0,19.737,0.0377,6.551,0
E07000076,30.484,0.1798,0.3139,0.173,0.1461,0.153,0.1798,35.781,0.2022,0.693,0.1685,0.205,0.1236,19.157,0.0449,19.782,0.0674
E07000077,9.258,0,0,0.054,0,0.041,0,9.793,0,-1.308,0,-0.551,0,29.161,0.2391,14.464,0
E07000078,14.26,0.0267,0.0963,0.091,0.04,0.074,0.0267,15.212,0.0933,-0.167,0.0267,-0.149,0,17.268,0.0267,13.496,0.0133
E07000079,11.061,0,0,0.064,0,0.049,0,11.074,0,-0.891,0,-1.042,0,28.298,0.3333,21.075,0.1373
E07000080,18.013,0.02,0.0423,0.107,0.02,0.092,0.02,23.968,0.06,-0.432,0,-0.822,0,22.883,0.12,24.988,0.16
E07000081,21.807,0.1154,0.237,0.126,0.0897,0.101,0.1026,26.928,0.1154,0.378,0.1538,-0.23,0.0769,21.975,0.0256,14.195,0.0128
E07000082,10.797,0,0.0074,0.078,0,0.067,0,11.741,0.0145,-0.591,0,-1.02,0,18.68,0.0145,14.931,0.0145
E07000083,12.142,0,0.0212,0.077,0,0.061,0,15.883,0.06,-0.592,0,-0.845,0,23.885,0.1,15.408,0.02
E07000084,12.823,0,0.024,0.071,0,0.059,0,16.648,0.0275,-0.52,0,-0.149,0.0459,23.848,0.1009,11.394,0.0459
E07000085,10.284,0,0.0025,0.06,0,0.053,0,10.782,0.0139,-0.909,0,-0.392,0.0278,23.296,0.1111,17.533,0.0556
E07000086,10.192,0,0.0138,0.066,0,0.056,0,14.99,0.026,-0.786,0,-0.233,0,15.604,0,14.075,0
E07000087,9.019,0,0.0081,0.056,0,0.051,0,10.646,0,-0.838,0,-0.528,0,19.961,0.0274,16.235,0
E07000088,20.541,0.0189,0.1693,0.107,0,0.089,0.0189,30.357,0.1887,0.062,0,0.337,0.0943,18.61,0,22.557,0.0566
E07000089,5.544,0,0,0.042,0,0.035,0,6.429,0,-1.529,0,-0.659,0,19.535,0.0351,8.233,0
E07000090,21.806,0.0769,0.2554,0.126,0.0385,0.103,0.0513,30.68,0.2821,0.056,0.0385,0.267,0.1538,18.153,0.0256,16.939,0
E07000091,13.015,0,0.0286,0.077,0,0.069,0,15.074,0.0175,-0.628,0,-0.192,0,23.814,0.114,13.986,0.0614
E07000092,15.903,0,0.0707,0.104,0.0345,0.065,0,19.017,0.0345,-0.126,0.0345,-0.007,0.0172,23.201,0.069,13.063,0.0172
E07000093,11.931,0,0.015,0.066,0,0.056,0,13.466,0.0423,-0.736,0,-0.453,0.0423,25.394,0.1831,16.491,0.0563
E07000094,9.615,0,0.0025,0.058,0,0.048,0,8.774,0.0286,-1.061,0,-0.534,0,24.284,0.1286,17.473,0.1
E07000095,17.989,0,0.0705,0.108,0,0.077,0,25.104,0.0179,-0.693,0,0.068,0.0179,30.803,0.1964,14.492,0
E07000096,13.004,0,0.0202,0.085,0,0.066,0,16.579,0.0213,-0.743,0,-0.05,0.0106,22.746,0.0426,9.537,0.0106
E07000098,13.938,0.0161,0.0231,0.089,0.0161,0.069,0.0161,13.77,0,-0.668,0,0.012,0.0323,25.876,0.0968,12.905,0.0161
E07000099,11.627,0,0.0253,0.079,0,0.064,0,12.868,0.0122,-0.712,0,-0.362,0,21.441,0.0488,13.089,0.0122
E07000102,9.871,0,0.0158,0.071,0,0.054,0.0189,12.196,0,-1.106,0,-0.429,0,22.133,0,9.181,0
E07000103,15.41,0,0.031,0.092,0,0.068,0,12.578,0,-0.406,0,0.168,0.0377,25.052,0,22.088,0.0566
E07000105,18.546,0.0128,0.1088,0.11,0.0385,0.083,0,22.784,0.0897,-0.473,0,0.122,0.1154,28.454,0.2051,15.135,0.0256
E07000106,16.798,0.0222,0.1064,0.1,0,0.078,0.0222,18.271,0.0778,-0.177,0.0111,0.091,0.1333,23.401,0.0667,11.947,0.0222
E07000107,18.812,0.0172,0.0921,0.095,0.0172,0.071,0.0172,19.595,0.0172,-0.247,0,0.579,0.1724,25.274,0.0862,26.217,0.1034
E07000108,22.161,0.0746,0.1776,0.134,0.0746,0.113,0.0746,24.745,0.1194,-0.033,0,0.151,0.1493,23.488,0.1493,16.133,0.0448
E07000109,21.414,0.0313,0.1864,0.122,0.0313,0.095,0.0156,27.216,0.0781,-0.152,0,0.826,0.3906,15.903,0,18.842,0.0156
E07000110,16.503,0.0211,0.0824,0.095,0.0211,0.073,0.0105,18.885,0.0632,-0.49,0,0.003,0.0421,24.751,0.1474,22.247,0.1368
E07000111,12.437,0,0.0274,0.075,0,0.058,0.0135,13.179,0,-1.037,0,0.128,0.0405,23.139,0.1216,17.288,0.0676
E07000112,24.149,0.0597,0.2091,0.145,0.0597,0.123,0.0746,25.876,0.0746,0.128,0.0299,-0.011,0.1045,23.804,0.1045,19.517,0.0746
E07000113,27.076,0.1882,0.2555,0.149,0.1529,0.12,0.1765,34.111,0.2588,0.23,0.0588,0.461,0.0941,24.111,0.1412,19.252,0.0824
E07000114,31.314,0.2143,0.3642,0.185,0.2024,0.155,0.25,32.475,0.2024,0.379,0.0714,0.675,0.3214,21.569,0.0119,18.633,0.0238
E07000115,13.333,0,0.0391,0.08,0,0.065,0,17.262,0.0417,-0.734,0,-0.192,0.0278,23.712,0.1111,14.998,0.0417
E07000116,11.31,0,0.0143,0.073,0,0.059,0,12.294,0.0441,-0.877,0,-0.392,0.0147,20.741,0.0441,19.705,0.0882
E07000117,37.793,0.3833,0.5357,0.203,0.25,0.163,0.3,35.598,0.2333,1.087,0.4667,0.774,0.4,10.585,0,37.221,0.3833
E07000118,16.863,0.0455,0.1236,0.102,0.0303,0.091,0.0606,15.628,0.0455,0.179,0.1212,-0.22,0,14.278,0.0152,18.205,0.0606
E07000119,15.875,0.0392,0.0766,0.096,0.0196,0.096,0.0784,12.511,0,0.208,0.0784,-0.562,0,12.381,0.0196,18.923,0.098
E07000120,34.333,0.2692,0.4796,0.182,0.2115,0.151,0.3077,30.772,0.1731,1.068,0.4423,0.441,0.1731,7.439,0,40.82,0.4615
E07000121,24.165,0.1461,0.2323,0.129,0.1124,0.106,0.1461,20.064,0.1011,0.512,0.2135,0.009,0.1461,15.182,0.0112,32.233,0.3146
E07000122,30.723,0.3158,0.4077,0.168,0.2105,0.132,0.2281,32.825,0.2281,0.653,0.2105,0.067,0.0526,9.661,0,46.129,0.5965
E07000123,29.531,0.186,0.416,0.162,0.2093,0.123,0.1395,26.411,0.1163,0.758,0.2791,0.495,0.2558,13.566,0.0116,34.357,0.3023
E07000124,10.594,0,0,0.057,0,0.06,0,7.396,0,-0.454,0,-0.802,0,19.411,0.125,23.207,0.125
E07000125,24.062,0.1395,0.2202,0.145,0.1163,0.122,0.1628,21.724,0.093,0.344,0.1163,0.087,0.0698,16.688,0,26.183,0.0698
E07000126,15.33,0.0429,0.0604,0.091,0.0429,0.081,0.0429,14.155,0.0429,0.093,0.0429,-0.321,0,12.102,0.0143,23.616,0.1143
E07000127,18.645,0.0822,0.1638,0.123,0.1096,0.105,0.1507,19.109,0.0548,0.008,0.0137,-0.472,0.0411,19.47,0.0137,14.123,0.0137
E07000128,20.858,0.1449,0.1586,0.125,0.1449,0.112,0.1304,19.271,0.1014,0.427,0.1739,-0.394,0.0725,13.605,0,19.488,0.0725
E07000129,10.629,0,0,0.069,0,0.059,0,16.8,0,-0.497,0,-0.255,0,13.26,0,11.911,0
E07000130,13.238,0.0202,0.0401,0.084,0.0202,0.066,0.0202,18.295,0.0202,-0.451,0.0101,-0.156,0.0404,16.539,0,15.702,0.0101
E07000131,8.015,0,9e-4,0.056,0,0.047,0,10.977,0,-1.084,0,-0.65,0,19.032,0.1702,10.643,0.0213
E07000132,13.461,0,0.0269,0.082,0,0.071,0.0152,21.59,0.0606,-0.442,0,-0.201,0,16.332,0.0606,13.976,0.0152
E07000133,12.532,0,0.0093,0.072,0,0.059,0,15.417,0.0333,-0.574,0,-0.554,0,23.917,0.2,18.782,0.0667
E07000134,14.573,0.0345,0.0379,0.09,0.0345,0.079,0.0345,22.006,0.0862,-0.169,0,-0.299,0,16.267,0,12.045,0.0172
E07000135,12.958,0,0.0434,0.086,0,0.071,0,17.704,0.0278,-0.189,0.0278,-0.436,0,16.681,0,9.13,0
E07000136,22.967,0.0278,0.1554,0.128,0.0278,0.101,0.0278,42.053,0.2778,0.083,0,-0.541,0,20.896,0.1389,21.222,0.0833
E07000137,29.892,0.1605,0.3396,0.162,0.1235,0.148,0.2593,32.359,0.2222,0.571,0.2099,-0.604,0.0247,24.4,0.2222,26.393,0.1852
E07000138,26.889,0.1754,0.2915,0.155,0.1404,0.121,0.2281,30.752,0.2281,0.653,0.2807,0.101,0.0175,22.459,0,15.438,0.0175
E07000139,11.553,0,0.0073,0.081,0,0.071,0,13.244,0,-0.602,0,-1.406,0,19.975,0.0938,13.252,0.0313
E07000140,17.896,0,0.0206,0.103,0,0.084,0,32.664,0.0816,-0.214,0,-0.744,0,23.983,0.1224,14.623,0
E07000141,13.499,0.0123,0.0348,0.091,0.037,0.074,0.0123,15.959,0.0494,-0.525,0,-0.937,0,22.907,0.1235,13.151,0
E07000142,20.355,0.0769,0.1609,0.123,0.0962,0.109,0.1346,19.889,0.1154,-0.049,0.0385,-0.84,0.0769,23.524,0.2115,21.565,0.0962
E07000143,19.614,0.0128,0.0966,0.1,0,0.086,0,33.049,0.1667,-0.038,0.0128,-0.586,0.0128,25.799,0.2179,18.319,0.1026
E07000144,11.817,0,0,0.072,0,0.069,0,16.17,0,-0.533,0,-1.059,0,21.599,0.1071,15.325,0.0238
E07000145,33.097,0.2459,0.3926,0.184,0.2295,0.162,0.2459,42.049,0.2623,0.587,0.1639,0.074,0.1148,20.752,0.0492,24.196,0.1475
E07000146,23.72,0.0787,0.17,0.12,0.0562,0.103,0.0562,33.164,0.1348,0.426,0.0562,-0.679,0.0112,25.552,0.1573,23.673,0.1124
E07000147,21.058,0,0.047,0.106,0,0.095,0.0161,24.231,0,-0.021,0.0161,-1.041,0,31.664,0.3065,30.109,0.2258
E07000148,27.599,0.2048,0.3669,0.163,0.1566,0.116,0.1687,34.178,0.3614,0.689,0.2651,0.237,0.1325,14.13,0.012,19.993,0.0482
E07000149,13.318,0,0,0.078,0,0.067,0,15.43,0,-0.625,0,-0.911,0,25.116,0.1975,22,0.0864
E07000150,25.706,0.0976,0.2723,0.136,0.0732,0.113,0.0732,39.075,0.3171,0.61,0.2195,0.025,0.0488,24.621,0,8.937,0
E07000151,13.184,0.0227,0.0412,0.073,0,0.061,0.0227,17.363,0.0455,-0.57,0.0227,-0.155,0.0227,23.765,0.1136,15.251,0.0227
E07000152,13.897,0,0.048,0.084,0,0.069,0,22.458,0.102,-0.492,0,-0.349,0,20.232,0.1429,14.07,0.0204
E07000153,19.23,0.0702,0.15310000000000001,0.113,0.0702,0.092,0.0702,24.256,0.0702,0.051,0.0702,0.009,0.0702,19.687,0.0526,15.507,0.0175
E07000154,23.358,0.0902,0.2365,0.123,0.0677,0.093,0.0526,26.477,0.1128,0.349,0.0827,0.462,0.2105,24.223,0.0376,18.827,0.0451
E07000155,7.652,0,0,0.049,0,0.043,0,10.543,0,-1.042,0,-0.752,0,20.473,0.1176,13.232,0.0196
E07000156,21.676,0.0638,0.2052,0.126,0.0851,0.099,0.0851,29.522,0.1489,0.14,0.0213,0.2,0.1064,21.549,0.0426,13.821,0
E07000163,12.76,0,0.0237,0.067,0,0.064,0,12.235,0.0313,-0.532,0,-1.098,0,18.679,0.1875,33.925,0.2188
E07000164,11.987,0,0.005,0.067,0,0.058,0,14.659,0.0577,-0.789,0,-1.235,0,24.217,0.2115,22.413,0.1346
E07000165,10.897,0.0096,0.0128,0.062,0.0096,0.056,0.0096,10.342,0,-0.611,0.0096,-0.964,0,21.472,0.1635,22.427,0.0865
E07000166,12.135,0,0.0121,0.059,0,0.05,0,19.463,0.0588,-0.667,0,-1.393,0,27.967,0.2647,19.284,0.1471
E07000167,15.665,0,0,0.082,0,0.064,0,18.379,0,-0.551,0,-1.334,0,26.968,0.3667,34.572,0.3667
E07000168,26.28,0.1268,0.2609,0.145,0.0986,0.129,0.1549,29.336,0.169,0.499,0.1408,-0.462,0.0563,19.536,0.0423,28.305,0.2817
E07000169,12.73,0.02,0.03,0.079,0.02,0.07,0.02,18.669,0.06,-0.523,0,-0.802,0,19.017,0.08,14.733,0
E07000170,26.308,0.1622,0.2598,0.152,0.1351,0.132,0.2027,35.49,0.2297,0.542,0.1351,0.193,0.0946,16.32,0,11.255,0
E07000171,22.588,0.0714,0.2078,0.122,0.0429,0.114,0.1286,27.32,0.1429,0.419,0.1143,0.002,0.0571,20.126,0.0714,14.867,0.0143
E07000172,14.238,0,0.0543,0.097,0.0282,0.084,0.0563,16.417,0.0282,-0.286,0,-0.24,0.0141,10.671,0,16.434,0.0141
E07000173,14.894,0.013,0.0379,0.102,0.013,0.092,0.026,18.694,0.013,-0.256,0.013,-0.377,0,14.746,0,12.855,0
E07000174,28.503,0.1493,0.3705,0.156,0.1343,0.144,0.1791,36.748,0.3134,0.74,0.2239,0.198,0.1045,17.628,0,12.804,0
E07000175,19.227,0.0429,0.1455,0.109,0.0429,0.101,0.0714,25.939,0.1571,-0.07,0,-0.298,0,20.677,0.0857,16.017,0.0429
E07000176,7.18,0,0,0.059,0,0.054,0,5.775,0.0147,-1.135,0,-0.911,0,15.198,0.0441,12.123,0.0294
E07000177,14.41,0,0.0606,0.076,0,0.059,0,21.259,0.0968,-0.387,0.0215,-0.431,0.0323,24.32,0.172,19.905,0.086
E07000178,16.707,0.012,0.1082,0.093,0,0.061,0,16.468,0.0964,-0.271,0.012,-0.042,0.0361,23.557,0.0482,27.418,0.0723
E07000179,8.459,0,0,0.054,0,0.043,0,11.952,0.0225,-1.24,0,-0.774,0,21.535,0.1573,15.269,0.0674
E07000180,8.358,0,0.0065,0.057,0,0.048,0,11.619,0.0132,-1.122,0,-1.055,0,21.93,0.0789,12.408,0
E07000181,8.684,0,0,0.059,0,0.048,0,13.309,0.0303,-0.924,0,-1.05,0,22.444,0.1061,11.238,0.0455
E07000187,16.6,0.0152,0.0296,0.099,0.0303,0.084,0.0303,17.677,0,-0.254,0.0152,-0.242,0.0152,23.161,0.1212,19.1,0.0606
E07000188,21.306,0.0571,0.1683,0.117,0.0571,0.1,0.0714,25.31,0.1,-0.066,0.0286,-0.083,0.0857,20.938,0.1,28.549,0.2
E07000189,17.347,0.0097,0.0571,0.095,0,0.08,0.0097,20.102,0.0583,-0.25,0,-0.307,0.0291,24.18,0.1165,25.018,0.1553
E07000192,20.426,0.0333,0.143,0.127,0.0333,0.105,0.05,30.143,0.1333,0.131,0.0167,-0.162,0,15.309,0,15.205,0
E07000193,19.028,0.0417,0.1611,0.103,0.0278,0.086,0.0278,22.829,0.0694,0.043,0.0278,-0.213,0.0139,18.783,0.0556,29.436,0.2222
E07000194,12.566,0,0.0352,0.084,0,0.074,0.0172,15.448,0.0345,-0.432,0,-0.595,0,19.444,0.0517,11.842,0
E07000195,18.929,0.025,0.12,0.108,0.0125,0.098,0.025,23.163,0.125,0.312,0.0625,-0.162,0.0125,13.123,0,16.399,0.025
E07000196,13.124,0,0.0195,0.086,0,0.072,0,16.784,0.0147,-0.484,0,-0.425,0,17.309,0.0588,17.731,0.0294
E07000197,13.678,0,0.0496,0.078,0.0125,0.075,0.0125,13.947,0.0125,-0.216,0.025,-0.582,0,21.42,0.125,15.299,0.0625
E07000198,15.04,0,0.0521,0.084,0,0.081,0,18.228,0.0508,-0.249,0,-0.597,0,19.592,0.1186,20.639,0.1186
E07000199,21.061,0.0784,0.163,0.126,0.0784,0.096,0.0392,30.922,0.1765,0.27,0.0784,0.081,0,19.193,0,10.662,0
E07000200,14.267,0,0.0222,0.08,0,0.066,0,17.815,0.037,-0.693,0,-0.362,0,27.848,0.1852,19.409,0.037
E07000202,25.89,0.1412,0.3129,0.141,0.0706,0.109,0.1294,33.404,0.2353,0.396,0.0824,0.409,0.1647,19.255,0.0118,25.099,0.0941
E07000203,13.225,0,0.0208,0.071,0,0.056,0.0179,15.8,0.0357,-0.907,0,-0.642,0,29.028,0.3571,22.648,0.1071
E07000207,7.944,0,0.0023,0.057,0,0.043,0,7.012,0.0123,-1.478,0,-0.223,0,19.823,0.0494,13.087,0
E07000208,8.833,0,0.0078,0.056,0,0.047,0,8.46,0,-1.138,0,-0.057,0,20.907,0.0455,13.507,0
E07000209,9.395,0,0.012,0.057,0,0.045,0,11.311,0.0238,-0.968,0,-0.522,0,22.506,0.0952,14.622,0.0238
E07000210,9.511,0,0.0091,0.054,0,0.051,0,9.002,0.0185,-0.867,0,-0.492,0,23.756,0.1296,16.585,0.0185
E07000211,11.276,0,0.0152,0.067,0,0.055,0,11.92,0.0116,-0.671,0,-0.217,0,23.293,0.0814,16.324,0
E07000212,12.012,0,0.0059,0.066,0,0.047,0,13.543,0.0192,-0.78,0,-0.095,0,27.105,0.1538,18.575,0
E07000213,14.943,0,0.0169,0.079,0,0.061,0,18.213,0,-0.56,0,0.053,0.0167,26.914,0.0833,23.911,0.0167
E07000214,8.066,0,0,0.054,0,0.044,0,9.757,0.0182,-0.95,0,-0.653,0,22.036,0.0364,9.851,0
E07000215,11.896,0,0,0.063,0,0.054,0,12.767,0,-0.654,0,0.108,0,23.931,0.1,16.917,0
E07000216,7.494,0,0.0027,0.054,0,0.049,0,7.59,0,-0.917,0,-0.751,0,19.499,0.0488,9.515,0
E07000217,10.804,0,0.0143,0.067,0,0.055,0,10.152,0,-0.655,0,-0.235,0,23.576,0.0328,13.645,0.0164
E07000218,17.907,0.0263,0.0565,0.097,0.0263,0.08,0.0263,25.791,0.0789,-0.109,0,-0.067,0.0263,21.346,0.1053,22.43,0.0789
E07000219,23.54,0.0617,0.2093,0.136,0.0494,0.113,0.0864,30.122,0.1358,0.279,0.037,0.295,0.0988,17.657,0.0123,18.541,0.0123
E07000220,14.119,0,0.0391,0.087,0,0.069,0,15.666,0.0164,-0.395,0,-0.064,0.0164,21.335,0.0984,17.229,0
E07000221,11.728,0,5e-4,0.068,0,0.056,0,9.137,0,-0.626,0,-0.512,0,25.426,0.1644,23.282,0.0822
E07000222,12.005,0,0.0194,0.07,0,0.057,0.0116,9.664,0.0116,-0.351,0,-0.199,0.0465,21.527,0.0465,17.826,0.0349
E07000223,17.594,0,0.0789,0.108,0,0.089,0,26.162,0.0714,-0.055,0,-0.366,0,17.69,0,20.329,0
E07000224,18.638,0.0426,0.1053,0.104,0.0106,0.09,0.0319,24.399,0.0851,0.128,0.0532,-0.236,0.0426,24.554,0.0745,14.402,0.0213
E07000225,14.085,0,0.0114,0.079,0,0.064,0,14.874,0,-0.453,0,-0.622,0,25.712,0.2113,24.211,0.1972
