lad_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Employment_Score,Employment_Proportion,Education_Score,Education_Proportion,Health_Score,Health_Proportion,Crime_Score,Crime_Proportion,Housing_and_Access_Score,Housing_and_Access_Proportion,Environment_Score,Environment_Proportion
E08000025,38.067,0.4131,0.5792,0.222,0.3975,0.153,0.3396,32.085,0.2347,0.67,0.216,0.335,0.1111,31.628,0.169,40.841,0.4147
E08000026,25.613,0.1436,0.2669,0.154,0.159,0.105,0.1128,25.238,0.0923,0.367,0.1282,0.068,0.041,21.224,0.0256,32.103,0.1949
E08000027,24.103,0.1095,0.2708,0.156,0.1393,0.124,0.1443,28.321,0.1493,0.287,0.0647,-0.131,0.01,12.587,0,24.049,0.0547
E08000028,34.884,0.1989,0.5349,0.215,0.2634,0.15,0.2043,36.936,0.2097,0.705,0.1344,0.277,0.0269,20.866,0,37.156,0.2312
E08000029,17.37,0.1194,0.1708,0.108,0.1343,0.09,0.1493,18.354,0.1418,-0.256,0.0597,-0.138,0.0448,21.459,0.0224,13.257,0.0075
E08000030,31.555,0.2635,0.4844,0.2,0.3174,0.143,0.1976,37.845,0.2814,0.562,0.1377,0.171,0.0599,18.097,0,26.678,0.053900000000000003
E08000031,32.102,0.2089,0.4828,0.211,0.2975,0.154,0.2532,31.717,0.1772,0.607,0.0949,0.066,0.0316,20.63,0.0127,26.558,0.0316
E08000032,34.666,0.3355,0.4981,0.189,0.2806,0.137,0.1903,37.34,0.329,0.632,0.1806,0.919,0.4677,16.485,0,36.543,0.3419
E08000033,26.351,0.1563,0.2929,0.149,0.1563,0.118,0.1484,21.575,0.1328,0.264,0.1094,0.573,0.2344,12.989,0.0078,38.369,0.375
E08000034,25.151,0.1197,0.2938,0.143,0.1042,0.113,0.0927,25.144,0.1467,0.166,0.0541,0.483,0.1776,18.323,0.0039,31.195,0.2046
E08000035,27.301,0.2365,0.3284,0.143,0.1805,0.107,0.1743,26.25,0.1971,0.415,0.1743,0.666,0.3465,15.464,0.0021,35.006,0.2469
E08000036,27.306,0.1579,0.3248,0.147,0.0957,0.132,0.1914,35.794,0.2823,0.539,0.15310000000000001,0.514,0.2392,15.797,0,14.29,0.0096
E08000037,28.217,0.1667,0.3397,0.167,0.1587,0.139,0.2063,26.881,0.127,0.824,0.3333,0.357,0.1905,17.644,0,11.259,0
E09000001,14.72,0,0.0322,0.065,0,0.052,0,5.457,0,-0.686,0,-1.656,0,35.656,0.6667,38.972,0.3333
E09000002,32.768,0.0364,0.4724,0.194,0.0455,0.117,0,25.513,0,0.204,0.0091,0.542,0.1455,46.252,0.9364,29.103,0.0364
E09000003,16.148,0.0047,0.0523,0.111,0.0142,0.073,0,7.83,0,-1.074,0,0.082,0.0237,31.211,0.2038,24.662,0.0237
E09000004,16.273,0,0.0755,0.106,0.0068,0.077,0.0068,18.331,0.0068,-0.561,0,-0.13,0.0205,25.879,0.1164,19.754,0
E09000005,25.558,0.0578,0.2074,0.155,0.0867,0.097,0.0462,15.223,0,-0.453,0,0.428,0.1156,42.783,0.7746,28.694,0.0289
E09000006,14.163,0.0051,0.0734,0.091,0.0457,0.068,0.0051,10.551,0,-0.908,0,-0.038,0.0558,27.839,0.1015,18.37,0
E09000007,20.131,0,0.1379,0.141,0.0827,0.091,0.0075,10.523,0,-0.556,0,0.325,0.1128,21.611,0,33.469,0.1429
E09000008,22.477,0.0227,0.1897,0.136,0.0636,0.092,0.0091,15.577,0.0136,-0.174,0.0045,0.28,0.0545,33.996,0.3773,26.027,0.0636
E09000009,22.71,0.0204,0.163,0.14,0.0663,0.091,0.0204,12.546,0,-0.326,0,0.239,0.0765,36.52,0.4592,30.34,0.0408
E09000010,25.781,0.0546,0.2942,0.171,0.1311,0.102,0.0164,20.255,0.0055,-0.535,0,0.199,0.0383,39.666,0.6066,27.479,0.0273
E09000011,24.464,0.0066,0.2017,0.159,0.0596,0.102,0.0199,15.639,0,-0.021,0.0066,0.457,0.0927,32.314,0.298,24.635,0.0331
E09000012,32.526,0.1111,0.4319,0.196,0.1944,0.114,0.0347,14.972,0.0069,0.371,0.0208,0.621,0.2292,42.745,0.9375,36.053,0.1667
E09000013,22.27,0.0088,0.1644,0.142,0.0708,0.094,0.0177,8.141,0,-0.05,0.0088,0.34,0.0619,28.264,0.0708,35.009,0.1416
E09000014,27.956,0.0966,0.321,0.17,0.131,0.106,0.0483,17.6,0,-0.128,0.0069,0.732,0.2552,35.08,0.3793,34.361,0.069
E09000015,15.031,0,0.0268,0.109,0,0.067,0,8.044,0,-1.04,0,-0.143,0,33.882,0.2774,18.953,0
E09000016,16.789,0.0067,0.0814,0.108,0.0267,0.078,0.0067,22.594,0.0267,-0.538,0,0.13,0.04,22.713,0.04,16.749,0
E09000017,18.223,0,0.0692,0.114,0.0062,0.075,0,16.402,0,-0.379,0,0.235,0.0683,29.628,0.1615,20.298,0.0062
E09000018,21.487,0.007,0.089,0.129,0.0141,0.079,0.007,13.287,0,-0.27,0,0.373,0.0845,35.101,0.4225,29.818,0.0563
E09000019,27.535,0.0488,0.2705,0.179,0.1057,0.111,0.0732,12.483,0,0.274,0.0081,0.607,0.1545,28.204,0.0325,35.373,0.1789
E09000020,21.526,0.0874,0.1985,0.117,0.165,0.08,0.1068,5.192,0,-1.243,0,0.331,0.0971,36.056,0.4369,42.014,0.4078
E09000021,11.381,0,0.0122,0.078,0.0102,0.053,0,6.938,0,-0.963,0,-0.332,0,24.744,0.0306,24.718,0.0204
E09000022,25.422,0,0.1949,0.153,0.0449,0.093,0.0112,10.493,0,0.148,0.0225,0.532,0.1348,28.43,0.0337,44.402,0.4438
E09000023,26.661,0.0296,0.2464,0.164,0.0592,0.104,0.0296,13.911,0,0.067,0.0059,0.402,0.0651,34.751,0.3846,36.405,0.213
E09000024,14.649,0,0.0389,0.1,0.0161,0.064,0,9.184,0,-0.615,0,-0.051,0.0161,22.234,0.0161,29.557,0.0403
E09000025,29.577,0.0244,0.2884,0.169,0.0427,0.093,0.0122,17.775,0,-0.03,0.0061,0.497,0.1098,49.306,1,32.471,0.0976
E09000026,17.203,0,0.0405,0.121,0.0186,0.072,0.0062,11.126,0,-0.74,0,0.295,0.0559,27.979,0.0745,25.177,0.0186
E09000027,9.425,0,0.0076,0.064,0,0.05,0.0087,3.534,0,-1.373,0,-0.07,0.0087,17.494,0,26.621,0
E09000028,25.811,0.0301,0.2305,0.162,0.0783,0.097,0.006,11.086,0,0.112,0.012,0.475,0.1506,32.727,0.1867,35.982,0.1867
E09000029,13.987,0.0083,0.0582,0.095,0.0248,0.07,0.0248,11.953,0.0083,-0.57,0,-0.174,0,22.792,0.0083,21.317,0.0083
E09000030,27.913,0.0139,0.3057,0.192,0.1528,0.1,0.0069,16.934,0.0069,0.195,0.0139,0.509,0.2153,30.491,0.0694,33.213,0.1389
E09000031,25.209,0.0208,0.1783,0.152,0.0694,0.093,0.0208,16.968,0,-0.161,0,0.406,0.0417,36.465,0.4792,34.303,0.1667
E09000032,16.611,0,0.0495,0.107,0.0168,0.064,0,6.649,0,-0.388,0,0.118,0.0335,26.981,0.095,32.499,0.0838
E09000033,20.339,0.0234,0.1587,0.135,0.1094,0.088,0.1016,8.535,0,-0.855,0.0078,0.105,0.0703,23.114,0,40.92,0.375
